isl,osl,concurrency,requests,failures,duration_s,request_throughput_rps,output_throughput_tps,median_ttft_ms,p99_ttft_ms,median_tpot_ms,p99_tpot_ms,expected_transfer_bytes,validated
1024,8192,1,1,0,65.457,0.0153,125.151,214.093,214.093,7.965,7.965,100663296,True
1024,8192,2,2,0,67.019,0.0298,244.468,355.104,355.171,8.139,8.139,201326592,True
1024,8192,4,4,0,72.859,0.0549,449.745,678.84,679.151,8.812,8.812,402653184,True
1024,8192,8,8,0,83.735,0.0955,782.663,844.989,2838.559,9.86,9.876,805306368,True
1024,8192,16,16,0,100.317,0.1595,1306.574,1766.538,5686.955,11.51,11.553,1610612736,True
1024,8192,32,32,0,132.991,0.2406,1971.144,5905.654,11831.076,14.691,14.808,3221225472,True
1024,8192,64,64,0,293.134,0.2183,1788.56,18775.605,34779.644,31.541,31.942,6442450944,True
8192,8192,1,1,0,74.718,0.0134,109.639,1279.747,1279.747,8.966,8.966,805306368,True
8192,8192,2,2,0,78.264,0.0256,209.343,1911.094,2442.422,9.248,9.255,1610612736,True
8192,8192,4,4,0,94.275,0.0424,347.578,3259.582,4822.74,10.914,10.926,3221225472,True
8192,8192,8,8,0,115.082,0.0695,569.472,6661.596,14824.947,12.25,12.321,6442450944,True
8192,8192,16,16,0,173.442,0.0922,755.711,27818.743,44247.367,15.818,16.155,12884901888,True
8192,8192,32,32,0,298.251,0.1073,878.937,77376.159,146828.454,20.222,21.331,25769803776,True
8192,8192,64,64,0,647.994,0.0988,809.094,136242.976,324594.087,45.672,52.838,51539607552,True
8192,1024,1,1,0,9.986,0.1001,102.541,1314.061,1314.061,8.476,8.476,805306368,True
8192,1024,2,2,0,11.341,0.1763,180.579,1904.553,2431.804,8.698,8.698,1610612736,True
8192,1024,4,4,0,14.639,0.2732,279.798,3759.754,4802.372,9.614,9.633,3221225472,True
8192,1024,8,8,0,26.895,0.2975,304.593,8848.933,16782.046,10.016,10.175,6442450944,True
8192,1024,16,16,0,48.936,0.327,334.804,20309.098,38987.619,10.199,10.876,12884901888,True
8192,1024,32,32,0,93.368,0.3427,350.955,44365.47,83639.11,10.181,10.88,25769803776,True
8192,1024,64,64,0,166.366,0.3847,393.928,83285.653,156061.643,10.784,11.488,51539607552,True
