Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),222.65,0.00,54603.97,,,,,,209.84,,357.30,424.83,630.72,137.79
Active Decode Throughput Per User (tokens/sec/user),56.68,0.00,10920.79,,,,,,50.15,,94.06,111.81,171.49,34.58
Active Prefill Throughput (tokens/sec),2191.35,136.96,7709.02,,,,,,1444.77,,5529.27,7709.02,7709.02,2015.17
Active Prefill Throughput Per User (tokens/sec/user),218.34,136.96,796.37,,,,,,180.60,,368.62,481.81,481.81,91.58
Active Total Throughput (tokens/sec),1908.57,58.62,7709.02,,,,,,1220.12,,4486.27,5617.16,7709.02,1946.12
Credit-to-Start Latency (ms),2.59,1.40,4.58,41.52,1.40,1.42,1.49,1.55,1.80,3.97,4.49,4.57,4.58,1.25
Decode Duration (ms),19432.74,11605.16,22596.30,310923.79,12478.91,15973.90,17869.33,18636.27,19699.01,20660.87,21738.73,22221.19,22521.28,2442.45
E2E Output Token Throughput (tokens/sec/user),24.58,13.24,66.46,393.26,13.30,13.53,13.80,14.93,20.35,28.60,38.01,46.78,62.52,13.43
Effective Concurrency,10.53,0.00,16.00,,,,,,11.00,,16.00,16.00,16.00,4.67
Effective Decode Concurrency,4.03,0.00,6.00,,,,,,5.00,,6.00,6.00,6.00,1.64
Effective Decode Throughput (tokens/sec),211.80,0.00,54603.97,,,,,,201.14,,351.77,419.81,621.48,142.68
Effective Decode Throughput Per User (tokens/sec/user),53.91,0.00,10920.79,,,,,,49.18,,91.70,110.44,170.88,35.87
Effective Latency (CO-aware) (ms),50824.65,15365.80,77249.85,813194.46,16876.91,22921.35,27029.09,35864.81,50437.42,68605.79,74246.85,75688.78,76937.64,18906.59
Effective Prefill Concurrency,6.50,0.00,16.00,,,,,,6.00,,14.00,15.00,16.00,5.26
Effective Prefill Throughput (tokens/sec),1696.66,0.00,7709.02,,,,,,971.83,,4343.22,5529.27,7709.02,1995.87
Effective Prefill Throughput Per User (tokens/sec/user),169.05,0.00,796.37,,,,,,161.97,,310.23,368.62,481.81,121.76
Effective Total Throughput (tokens/sec),1908.46,0.00,7709.02,,,,,,1220.12,,4486.27,5617.16,7709.02,1946.12
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,298.19,194.00,395.00,4771.00,195.65,202.25,218.00,243.75,284.50,367.25,382.50,389.00,393.80,67.13
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),20.43,0.00,24.16,326.88,2.98,14.88,19.86,20.15,22.07,22.85,23.09,23.49,24.03,5.44
HTTP Connection Overhead (ms),20.43,0.00,24.16,326.88,2.98,14.88,19.86,20.15,22.07,22.85,23.09,23.49,24.03,5.44
HTTP Connection Reused (ratio),0.06,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.85,0.24
HTTP Data Received (KB),129.26,113.98,140.08,2068.22,114.35,115.82,119.62,126.69,129.01,134.12,137.89,139.68,140.00,7.08
HTTP Data Sent (KB),33.82,30.82,34.98,541.08,31.05,31.98,32.74,33.40,34.13,34.55,34.70,34.82,34.95,1.04
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),50821.83,15363.29,77246.35,813149.26,16874.08,22917.26,27025.95,35861.16,50435.66,68602.14,74244.92,75686.48,76934.38,18906.88
HTTP Receiving (ms),19457.46,11605.16,22671.92,311319.40,12479.70,15977.84,17882.84,18638.36,19739.39,20714.85,21761.06,22258.87,22589.31,2452.49
HTTP Sending (ms),21.13,0.26,25.00,338.10,3.27,15.30,20.34,20.58,22.62,23.43,24.81,24.98,24.99,5.61
HTTP Total Time (ms),50842.26,15363.29,77268.60,813476.14,16877.11,22932.39,27047.49,35881.48,50458.19,68623.04,74267.14,75708.49,76956.58,18909.89
HTTP Waiting (TTFB) (ms),31343.24,3757.86,59787.49,501491.77,4227.10,6104.03,8574.52,16288.49,30235.31,46879.12,54675.08,57298.69,59289.73,17871.20
Input Sequence Length (tokens),8192.06,8192.00,8193.00,131073.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.25,8192.85,0.24
Inter Chunk Latency (ms),51.11,0.00,279.59,310923.79,0.00,0.00,0.00,23.80,50.71,63.18,96.72,135.66,218.96,43.74
