Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),107.39,0.00,1306.02,,,,,,107.42,,119.34,126.44,186.02,32.41
Active Decode Throughput Per User (tokens/sec/user),107.39,0.00,1306.02,,,,,,107.42,,119.34,126.44,186.02,32.41
Active Prefill Throughput (tokens/sec),2423.27,2423.27,2423.27,,,,,,2423.27,,2423.27,2423.27,2423.27,0.00
Active Prefill Throughput Per User (tokens/sec/user),2423.27,2423.27,2423.27,,,,,,2423.27,,2423.27,2423.27,2423.27,0.00
Active Total Throughput (tokens/sec),714.17,107.39,2423.27,,,,,,107.39,,2423.27,2423.27,2423.27,1018.36
Credit-to-Start Latency (ms),1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,0.00
Decode Duration (ms),9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,9522.81,0.00
E2E Output Token Throughput (tokens/sec/user),79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,79.35,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.74,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.44
Effective Decode Throughput (tokens/sec),79.22,0.00,1306.02,,,,,,103.60,,116.35,123.96,172.27,54.83
Effective Decode Throughput Per User (tokens/sec/user),79.22,0.00,1306.02,,,,,,103.60,,116.35,123.96,172.27,54.83
Effective Latency (CO-aware) (ms),12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,12909.92,0.00
Effective Prefill Concurrency,0.26,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.44
Effective Prefill Throughput (tokens/sec),634.72,0.00,2423.27,,,,,,0.00,,2423.27,2423.27,2423.27,1065.47
Effective Prefill Throughput Per User (tokens/sec/user),634.72,0.00,2423.27,,,,,,0.00,,2423.27,2423.27,2423.27,1065.47
Effective Total Throughput (tokens/sec),713.94,0.00,2423.27,,,,,,107.39,,2423.27,2423.27,2423.27,1018.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,381.00,381.00,381.00,381.00,381.00,381.00,381.00,381.00,381.00,381.00,381.00,381.00,381.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,0.00
HTTP Connection Overhead (ms),18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,18.01,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),130.66,130.66,130.66,130.66,130.66,130.66,130.66,130.66,130.66,130.66,130.66,130.66,130.66,0.00
HTTP Data Sent (KB),34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,12908.45,0.00
HTTP Receiving (ms),9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,9526.49,0.00
HTTP Sending (ms),18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,0.00
HTTP Total Time (ms),12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,12926.46,0.00
HTTP Waiting (TTFB) (ms),3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,3363.48,0.00
Input Sequence Length (tokens),8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,0.00
