Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),198.31,0.00,31192.31,,,,,,211.12,,237.17,258.54,370.23,93.34
Active Decode Throughput Per User (tokens/sec/user),104.11,0.00,15596.16,,,,,,106.63,,126.27,141.60,198.47,46.59
Active Prefill Throughput (tokens/sec),2387.12,1193.56,3350.23,,,,,,3350.23,,3350.23,3350.23,3350.23,1072.16
Active Prefill Throughput Per User (tokens/sec/user),1460.07,1193.56,1675.11,,,,,,1675.11,,1675.11,1675.11,1675.11,239.40
Active Total Throughput (tokens/sec),379.34,103.03,3350.23,,,,,,207.90,,207.90,1298.43,3350.23,669.20
Credit-to-Start Latency (ms),4.54,1.30,7.78,9.08,1.37,1.62,1.95,2.92,4.54,6.16,7.13,7.46,7.71,3.24
Decode Duration (ms),78726.10,77983.66,79468.54,157452.20,77998.51,78057.90,78132.15,78354.88,78726.10,79097.32,79320.05,79394.30,79453.69,742.44
E2E Output Token Throughput (tokens/sec/user),97.43,94.85,100.01,194.86,94.91,95.11,95.37,96.14,97.43,98.72,99.49,99.75,99.96,2.58
Effective Concurrency,1.95,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.22
Effective Decode Concurrency,1.82,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.48
Effective Decode Throughput (tokens/sec),189.54,0.00,31192.31,,,,,,209.83,,236.49,254.76,368.49,99.94
Effective Decode Throughput Per User (tokens/sec/user),99.51,0.00,15596.16,,,,,,106.22,,125.54,140.57,196.16,50.33
Effective Latency (CO-aware) (ms),84064.16,81792.63,86335.68,168128.32,81838.07,82019.79,82246.94,82928.40,84064.16,85199.92,85881.38,86108.53,86290.25,2271.52
Effective Prefill Concurrency,0.12,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.44
Effective Prefill Throughput (tokens/sec),189.75,0.00,3350.23,,,,,,0.00,,0.00,1193.56,3350.23,712.97
