Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),106.63,0.00,521.94,,,,,,108.42,,123.96,134.90,217.93,29.95
Active Decode Throughput Per User (tokens/sec/user),106.63,0.00,521.94,,,,,,108.42,,123.96,134.90,217.93,29.95
Active Prefill Throughput (tokens/sec),2328.88,2328.88,2328.88,,,,,,2328.88,,2328.88,2328.88,2328.88,0.00
Active Prefill Throughput Per User (tokens/sec/user),2328.88,2328.88,2328.88,,,,,,2328.88,,2328.88,2328.88,2328.88,0.00
Active Total Throughput (tokens/sec),703.02,106.63,2328.88,,,,,,106.63,,2328.88,2328.88,2328.88,984.71
Credit-to-Start Latency (ms),1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.00
Decode Duration (ms),9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,9591.73,0.00
E2E Output Token Throughput (tokens/sec/user),78.10,78.10,78.10,78.10,78.10,78.10,78.10,78.10,78.10,78.10,78.10,78.10,78.10,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.73,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.44
Effective Decode Throughput (tokens/sec),77.99,0.00,521.94,,,,,,103.57,,120.30,131.39,214.24,53.76
Effective Decode Throughput Per User (tokens/sec/user),77.99,0.00,521.94,,,,,,103.57,,120.30,131.39,214.24,53.76
Effective Latency (CO-aware) (ms),13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,13114.90,0.00
Effective Prefill Concurrency,0.27,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.44
Effective Prefill Throughput (tokens/sec),624.80,0.00,2328.88,,,,,,0.00,,2328.88,2328.88,2328.88,1031.85
Effective Prefill Throughput Per User (tokens/sec/user),624.80,0.00,2328.88,,,,,,0.00,,2328.88,2328.88,2328.88,1031.85
Effective Total Throughput (tokens/sec),702.79,0.00,2328.88,,,,,,106.63,,2328.88,2328.88,2328.88,984.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,379.00,379.00,379.00,379.00,379.00,379.00,379.00,379.00,379.00,379.00,379.00,379.00,379.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,0.00
HTTP Connection Overhead (ms),10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),132.36,132.36,132.36,132.36,132.36,132.36,132.36,132.36,132.36,132.36,132.36,132.36,132.36,0.00
HTTP Data Sent (KB),34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,34.45,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
