Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),139.52,0.00,2127.36,,,,,,149.23,,198.06,213.16,281.07,68.74
Active Decode Throughput Per User (tokens/sec/user),92.40,0.00,1063.68,,,,,,93.80,,119.68,138.16,203.57,37.08
Active Prefill Throughput (tokens/sec),2293.05,1146.57,3293.18,,,,,,3293.18,,3293.18,3293.18,3293.18,1070.79
Active Prefill Throughput Per User (tokens/sec/user),1413.65,1146.57,2146.61,,,,,,1646.59,,1646.59,1646.59,1646.59,249.46
Active Total Throughput (tokens/sec),997.90,90.27,3293.18,,,,,,184.86,,3293.18,3293.18,3293.18,1240.36
Credit-to-Start Latency (ms),1.07,0.88,1.26,2.13,0.88,0.89,0.91,0.97,1.07,1.16,1.22,1.24,1.25,0.19
Decode Duration (ms),11062.04,10802.32,11321.76,22124.08,10807.51,10828.29,10854.26,10932.18,11062.04,11191.90,11269.82,11295.79,11316.57,259.72
E2E Output Token Throughput (tokens/sec/user),62.69,55.40,69.98,125.38,55.54,56.13,56.86,59.04,62.69,66.33,68.52,69.25,69.83,7.29
Effective Concurrency,1.79,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.41
Effective Decode Concurrency,1.20,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.76
Effective Decode Throughput (tokens/sec),110.66,0.00,2127.36,,,,,,111.17,,195.89,205.21,244.15,83.32
Effective Decode Throughput Per User (tokens/sec/user),73.28,0.00,1063.68,,,,,,88.86,,115.89,129.64,195.72,49.91
Effective Latency (CO-aware) (ms),16544.93,14622.04,18467.83,33089.87,14660.50,14814.33,15006.62,15583.49,16544.93,17506.38,18083.25,18275.54,18429.37,1922.89
Effective Prefill Concurrency,0.59,0.00,2.00,,,,,,0.00,,2.00,2.00,2.00,0.81
Effective Prefill Throughput (tokens/sec),886.98,0.00,3293.18,,,,,,0.00,,3293.18,3293.18,3293.18,1300.26
Effective Prefill Throughput Per User (tokens/sec/user),546.82,0.00,2146.61,,,,,,0.00,,1646.59,1646.59,1646.59,705.74
Effective Total Throughput (tokens/sec),997.64,0.00,3293.18,,,,,,184.86,,3293.18,3293.18,3293.18,1240.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,337.50,294.00,381.00,675.00,294.87,298.35,302.70,315.75,337.50,359.25,372.30,376.65,380.13,43.50
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),8.35,0.00,16.70,16.70,0.17,0.84,1.67,4.18,8.35,12.53,15.03,15.87,16.54,8.35
HTTP Connection Overhead (ms),8.35,0.00,16.70,16.70,0.17,0.84,1.67,4.18,8.35,12.53,15.03,15.87,16.54,8.35
HTTP Connection Reused (ratio),0.50,0.00,1.00,1.00,0.01,0.05,0.10,0.25,0.50,0.75,0.90,0.95,0.99,0.50
HTTP Data Received (KB),125.42,121.44,129.40,250.83,121.52,121.83,122.23,123.43,125.42,127.41,128.60,129.00,129.32,3.98
HTTP Data Sent (KB),32.62,30.82,34.41,65.23,30.86,31.00,31.18,31.72,32.62,33.51,34.05,34.23,34.38,1.80
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),16543.72,14621.09,18466.35,33087.44,14659.55,14813.36,15005.62,15582.41,16543.72,17505.03,18081.82,18274.08,18427.90,1922.63
HTTP Receiving (ms),11063.37,10804.92,11321.81,22126.73,10810.09,10830.76,10856.61,10934.14,11063.37,11192.59,11270.12,11295.97,11316.64,258.45
HTTP Sending (ms),8.68,0.17,17.18,17.35,0.34,1.02,1.87,4.42,8.68,12.93,15.48,16.33,17.01,8.51
HTTP Total Time (ms),16552.07,14621.09,18483.05,33104.15,14659.71,14814.19,15007.29,15586.58,16552.07,17517.56,18096.86,18289.95,18444.43,1930.98
HTTP Waiting (TTFB) (ms),5471.68,3816.01,7127.35,10943.36,3849.12,3981.57,4147.14,4643.84,5471.68,6299.52,6796.22,6961.78,7094.24,1655.67
Input Sequence Length (tokens),8192.00,8192.00,8192.00,16384.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Inter Chunk Latency (ms),29.90,0.00,136.25,22124.08,0.00,0.00,9.22,24.61,31.75,34.29,38.61,49.52,92.16,15.97
Inter Token Latency (ms),10.82,10.57,11.08,21.65,10.57,10.60,10.62,10.70,10.82,10.95,11.03,11.05,11.07,0.25
OSL Mismatch Diff % (%),-0.10,-0.10,-0.10,-0.20,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,-0.10,0.00
Output Sequence Length (tokens),1023.00,1023.00,1023.00,2046.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,0.00
Output Token Count (tokens),221.00,220.00,222.00,442.00,220.02,220.10,220.20,220.50,221.00,221.50,221.80,221.90,221.98,1.00
