Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),167.57,0.00,2110.65,,,,,,161.66,,284.61,300.03,385.42,93.22
Active Decode Throughput Per User (tokens/sec/user),69.89,0.00,1171.13,,,,,,69.31,,89.88,108.75,189.60,32.62
Active Prefill Throughput (tokens/sec),2486.91,1243.46,4331.61,,,,,,2368.91,,4331.61,4331.61,4331.61,1331.62
Active Prefill Throughput Per User (tokens/sec/user),807.39,621.73,1962.70,,,,,,789.64,,1082.90,1082.90,1082.90,198.88
Active Total Throughput (tokens/sec),1289.56,66.40,4331.61,,,,,,278.58,,4331.61,4331.61,4331.61,1464.95
Credit-to-Start Latency (ms),1.30,1.15,1.42,5.21,1.15,1.16,1.18,1.23,1.32,1.40,1.41,1.41,1.42,0.11
Decode Duration (ms),14704.63,13387.87,15403.11,58818.53,13433.68,13616.92,13845.97,14533.11,15013.78,15185.30,15315.99,15359.55,15394.40,779.81
E2E Output Token Throughput (tokens/sec/user),44.06,35.83,58.25,176.23,35.85,35.92,36.01,36.27,41.07,48.86,54.50,56.37,57.88,9.09
Effective Concurrency,3.38,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.86
Effective Decode Concurrency,2.06,0.00,4.00,,,,,,2.00,,4.00,4.00,4.00,1.22
Effective Decode Throughput (tokens/sec),143.07,0.00,2110.65,,,,,,152.09,,280.21,296.93,379.21,104.52
Effective Decode Throughput Per User (tokens/sec/user),59.67,0.00,1171.13,,,,,,66.77,,87.91,103.07,180.04,38.97
Effective Latency (CO-aware) (ms),24177.44,17584.85,28583.31,96709.74,17730.65,18313.86,19042.88,21229.92,25270.79,28218.30,28437.31,28510.31,28568.71,4506.54
Effective Prefill Concurrency,1.32,0.00,4.00,,,,,,0.00,,4.00,4.00,4.00,1.55
Effective Prefill Throughput (tokens/sec),1146.26,0.00,4331.61,,,,,,0.00,,4331.61,4331.61,4331.61,1534.29
Effective Prefill Throughput Per User (tokens/sec/user),372.14,0.00,1962.70,,,,,,0.00,,1082.90,1082.90,1082.90,424.50
Effective Total Throughput (tokens/sec),1289.33,0.00,4331.61,,,,,,278.58,,4331.61,4331.61,4331.61,1464.92
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,326.75,232.00,400.00,1307.00,233.92,241.60,251.20,280.00,337.50,384.25,393.70,396.85,399.37,67.12
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),12.98,0.00,17.37,51.91,0.52,2.58,5.16,12.91,17.27,17.34,17.36,17.36,17.37,7.49
HTTP Connection Overhead (ms),12.98,0.00,17.37,51.91,0.52,2.58,5.16,12.91,17.27,17.34,17.36,17.36,17.37,7.49
HTTP Connection Reused (ratio),0.25,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.25,0.70,0.85,0.97,0.43
HTTP Data Received (KB),131.67,128.18,135.23,526.66,128.24,128.49,128.79,129.70,131.62,133.59,134.57,134.90,135.17,2.69
HTTP Data Sent (KB),33.56,30.82,34.55,134.22,30.93,31.36,31.90,33.51,34.43,34.47,34.52,34.53,34.54,1.58
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),24175.94,17583.60,28581.68,96703.74,17729.39,18312.55,19041.51,21228.38,25269.23,28216.79,28435.72,28508.70,28567.08,4506.44
HTTP Receiving (ms),14724.95,13409.86,15405.85,58899.79,13455.15,13636.29,13862.71,14541.97,15042.03,15225.01,15333.52,15369.68,15398.62,778.50
HTTP Sending (ms),13.40,0.19,17.90,53.59,0.71,2.81,5.44,13.31,17.75,17.85,17.88,17.89,17.90,7.63
HTTP Total Time (ms),24188.91,17583.60,28599.05,96755.65,17729.90,18315.13,19046.67,21241.29,25286.50,28234.13,28453.08,28526.06,28584.45,4512.80
