Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),97.53,0.00,87425.68,,,,,,98.98,,134.75,161.22,262.15,174.70
Active Decode Throughput Per User (tokens/sec/user),97.53,0.00,87425.68,,,,,,98.98,,134.75,161.22,262.15,174.70
Active Prefill Throughput (tokens/sec),351.27,351.27,351.27,,,,,,351.27,,351.27,351.27,351.27,0.00
Active Prefill Throughput Per User (tokens/sec/user),351.27,351.27,351.27,,,,,,351.27,,351.27,351.27,351.27,0.00
Active Total Throughput (tokens/sec),106.08,97.53,351.27,,,,,,97.53,,97.53,97.53,351.27,45.78
Credit-to-Start Latency (ms),1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,0.00
Decode Duration (ms),83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,83963.08,0.00
E2E Output Token Throughput (tokens/sec/user),94.26,94.26,94.26,94.26,94.26,94.26,94.26,94.26,94.26,94.26,94.26,94.26,94.26,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.18
Effective Decode Throughput (tokens/sec),94.23,0.00,87425.68,,,,,,97.56,,133.67,159.39,260.29,172.62
Effective Decode Throughput Per User (tokens/sec/user),94.23,0.00,87425.68,,,,,,97.56,,133.67,159.39,260.29,172.62
Effective Latency (CO-aware) (ms),86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,86890.64,0.00
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),11.83,0.00,351.27,,,,,,0.00,,0.00,0.00,351.27,63.37
Effective Prefill Throughput Per User (tokens/sec/user),11.83,0.00,351.27,,,,,,0.00,,0.00,0.00,351.27,63.37
Effective Total Throughput (tokens/sec),106.06,0.00,351.27,,,,,,97.53,,97.53,97.53,351.27,45.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,3869.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,0.00
HTTP Connection Overhead (ms),23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,23.12,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,1197.83,0.00
HTTP Data Sent (KB),4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,86889.39,0.00
