Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),90.22,0.00,30208.20,,,,,,88.47,,119.51,140.98,207.18,101.77
Active Decode Throughput Per User (tokens/sec/user),90.22,0.00,30208.20,,,,,,88.47,,119.51,140.98,207.18,101.77
Active Prefill Throughput (tokens/sec),1794.47,1770.85,1818.73,,,,,,1770.85,,1818.73,1818.73,1818.73,23.94
Active Prefill Throughput Per User (tokens/sec/user),1794.47,1770.85,1818.73,,,,,,1770.85,,1818.73,1818.73,1818.73,23.94
Active Total Throughput (tokens/sec),579.75,88.00,1818.73,,,,,,92.55,,1818.73,1818.73,1818.73,771.24
Credit-to-Start Latency (ms),1.78,1.77,1.80,3.57,1.77,1.77,1.77,1.78,1.78,1.79,1.80,1.80,1.80,0.02
Decode Duration (ms),11327.98,11054.06,11601.89,22655.95,11059.54,11081.46,11108.85,11191.02,11327.98,11464.93,11547.11,11574.50,11596.41,273.91
E2E Output Token Throughput (tokens/sec/user),64.38,63.45,65.31,128.76,63.47,63.55,63.64,63.92,64.38,64.84,65.12,65.21,65.29,0.93
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.71,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.45
Effective Decode Throughput (tokens/sec),64.29,0.00,30208.20,,,,,,75.59,,110.03,128.70,192.04,95.11
Effective Decode Throughput Per User (tokens/sec/user),64.29,0.00,30208.20,,,,,,75.59,,110.03,128.70,192.04,95.11
Effective Latency (CO-aware) (ms),15894.89,15681.85,16107.92,31789.77,15686.11,15703.15,15724.46,15788.37,15894.89,16001.40,16065.31,16086.62,16103.66,213.04
Effective Prefill Concurrency,0.29,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.45
Effective Prefill Throughput (tokens/sec),515.30,0.00,1818.73,,,,,,0.00,,1818.73,1818.73,1818.73,811.98
Effective Prefill Throughput Per User (tokens/sec/user),515.30,0.00,1818.73,,,,,,0.00,,1818.73,1818.73,1818.73,811.98
Effective Total Throughput (tokens/sec),579.58,0.00,1818.73,,,,,,92.55,,1818.73,1818.73,1818.73,771.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,554.00,542.00,566.00,1108.00,542.24,543.20,544.40,548.00,554.00,560.00,563.60,564.80,565.76,12.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),162.31,158.76,165.86,324.62,158.83,159.11,159.47,160.53,162.31,164.09,165.15,165.51,165.79,3.55
HTTP Data Sent (KB),32.62,30.82,34.41,65.23,30.86,31.00,31.18,31.72,32.62,33.51,34.05,34.23,34.38,1.80
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),15893.02,15679.99,16106.06,31786.05,15684.25,15701.29,15722.60,15786.51,15893.02,15999.54,16063.45,16084.76,16101.80,213.03
HTTP Receiving (ms),11327.98,11054.07,11601.89,22655.96,11059.55,11081.46,11108.85,11191.03,11327.98,11464.94,11547.11,11574.50,11596.41,273.91
HTTP Sending (ms),0.16,0.13,0.20,0.33,0.13,0.13,0.14,0.15,0.16,0.18,0.19,0.20,0.20,0.04
HTTP Total Time (ms),15893.02,15679.99,16106.06,31786.05,15684.25,15701.29,15722.60,15786.51,15893.02,15999.54,16063.45,16084.76,16101.80,213.03
HTTP Waiting (TTFB) (ms),4564.88,4504.04,4625.72,9129.76,4505.26,4510.12,4516.21,4534.46,4564.88,4595.30,4613.55,4619.64,4624.50,60.84
Input Sequence Length (tokens),8192.00,8192.00,8192.00,16384.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Inter Chunk Latency (ms),20.16,0.00,80.09,22655.95,0.00,7.60,11.58,16.92,19.72,23.03,28.36,32.26,49.99,8.11
Inter Token Latency (ms),11.08,10.81,11.36,22.17,10.81,10.83,10.86,10.94,11.08,11.22,11.31,11.34,11.36,0.28
OSL Mismatch Diff % (%),-0.10,-0.20,0.00,-0.20,-0.19,-0.19,-0.18,-0.15,-0.10,-0.05,-0.02,-0.01,-0.00,0.10
Output Sequence Length (tokens),1023.00,1022.00,1024.00,2046.00,1022.02,1022.10,1022.20,1022.50,1023.00,1023.50,1023.80,1023.90,1023.98,1.00
Output Token Count (tokens),385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,0.00
Output Token Throughput Per User (tokens/sec/user),90.27,88.00,92.55,180.55,88.05,88.23,88.46,89.14,90.27,91.41,92.09,92.32,92.50,2.27
Prefill Throughput Per User (tokens/sec/user),1794.79,1770.85,1818.73,3589.59,1771.33,1773.25,1775.64,1782.82,1794.79,1806.76,1813.95,1816.34,1818.26,23.94
Reasoning Token Count (tokens),830.50,637.00,1024.00,1661.00,640.87,656.35,675.70,733.75,830.50,927.25,985.30,1004.65,1020.13,193.50
Request Latency (ms),15893.10,15680.08,16106.12,31786.20,15684.34,15701.38,15722.69,15786.59,15893.10,15999.61,16063.52,16084.82,16101.86,213.02
Time to First Output Token (ms),11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,11579.88,0.00
Time to First Token (ms),4565.12,4504.23,4626.02,9130.25,4505.45,4510.32,4516.41,4534.68,4565.12,4595.57,4613.84,4619.93,4624.80,60.89
Time to Second Token (ms),7.97,0.00,15.95,15.95,0.16,0.80,1.59,3.99,7.97,11.96,14.35,15.15,15.79,7.97
Tokens In Flight (tokens),8554.80,0.00,9216.00,,,,,,8499.34,,9069.67,9141.74,9199.29,369.47

Metric,Value
Benchmark Duration (sec),31.79
Input Token Throughput (tokens/sec),515.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),64.35
Request Count,2.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),16384.00
Total Output Sequence Length (tokens),2046.00
Total Output Tokens (tokens),385.00
Total Reasoning Tokens (tokens),1661.00
Total Token Throughput (tokens/sec),579.64
