Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),209.50,0.00,157672.14,,,,,,192.12,,305.79,365.98,585.32,565.79
Active Decode Throughput Per User (tokens/sec/user),48.28,0.00,26791.44,,,,,,40.15,,72.52,90.87,156.67,133.39
Active Prefill Throughput (tokens/sec),2062.96,128.94,6385.11,,,,,,1373.00,,4746.25,6385.11,6385.11,1796.81
Active Prefill Throughput Per User (tokens/sec/user),203.83,128.94,929.23,,,,,,171.62,,316.42,399.07,399.07,76.58
Active Total Throughput (tokens/sec),1774.24,52.30,6385.11,,,,,,1176.49,,4810.19,6385.11,6385.11,1741.02
Credit-to-Start Latency (ms),2.53,1.35,4.43,40.49,1.35,1.39,1.41,1.53,2.19,3.88,4.16,4.31,4.41,1.13
Decode Duration (ms),23523.18,15967.34,26679.04,376370.89,16456.74,18414.33,19395.30,22402.30,24570.04,25758.15,26411.26,26623.61,26667.96,2967.05
E2E Output Token Throughput (tokens/sec/user),20.81,12.32,48.75,332.97,12.37,12.58,12.80,13.86,16.96,23.56,32.78,39.57,46.91,9.75
Effective Concurrency,11.05,0.00,16.00,,,,,,12.00,,16.00,16.00,16.00,4.63
Effective Decode Concurrency,4.53,0.00,7.00,,,,,,5.00,,7.00,7.00,7.00,2.11
Effective Decode Throughput (tokens/sec),196.88,0.00,157672.14,,,,,,184.26,,301.65,355.62,558.43,550.75
Effective Decode Throughput Per User (tokens/sec/user),45.37,0.00,26791.44,,,,,,39.32,,70.75,89.59,152.47,129.82
Effective Latency (CO-aware) (ms),57380.80,20967.84,83097.44,918092.87,22029.75,26277.40,31636.49,43633.11,60398.60,73920.51,80038.20,81430.87,82764.13,18930.47
Effective Prefill Concurrency,6.52,0.00,16.00,,,,,,6.00,,15.00,16.00,16.00,5.48
Effective Prefill Throughput (tokens/sec),1577.26,0.00,6385.11,,,,,,938.40,,4746.25,6385.11,6385.11,1798.47
Effective Prefill Throughput Per User (tokens/sec/user),155.84,0.00,929.23,,,,,,156.40,,316.42,399.07,399.07,109.37
Effective Total Throughput (tokens/sec),1774.14,0.00,6385.11,,,,,,1176.49,,4810.19,6385.11,6385.11,1741.02
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
