isl,osl,concurrency,requests,failures,duration_s,request_throughput_rps,output_throughput_tps,median_ttft_ms,p99_ttft_ms,median_tpot_ms,p99_tpot_ms,external_kv_tokens,verified_transfer_bytes,local_prefix_hit_tokens,validated
1024,8192,1,1,0,65.682,0.0152,124.721,264.349,264.349,7.987,7.987,1024,100663296,0,True
1024,8192,2,2,0,68.714,0.0291,238.439,340.269,417.756,8.336,8.338,2048,201326592,0,True
1024,8192,4,4,0,77.906,0.0513,420.609,519.49,717.418,9.423,9.424,4096,402653184,0,True
1024,8192,8,8,0,89.425,0.0895,732.86,1015.308,3993.641,10.436,10.444,8192,805306368,0,True
1024,8192,16,16,0,110.252,0.1451,1188.845,3372.673,4411.508,12.917,12.927,16384,1610612736,0,True
1024,8192,32,32,0,150.014,0.2133,1747.459,4535.26,12608.436,16.661,16.814,32768,3221225472,0,True
1024,8192,64,64,0,319.389,0.2004,1641.533,22144.986,48128.36,33.146,33.976,65536,6442450944,0,True
8192,8192,1,1,0,75.159,0.0133,108.996,1450.909,1450.909,8.999,8.999,8192,805306368,0,True
8192,8192,2,2,0,79.433,0.0252,206.262,2235.803,2860.399,9.338,9.347,16384,1610612736,0,True
8192,8192,4,4,0,96.238,0.0416,340.49,3741.522,5560.97,11.064,11.078,32768,3221225472,0,True
8192,8192,8,8,0,128.217,0.0624,511.135,10203.488,25359.125,12.576,12.691,65536,6442450944,0,True
8192,8192,16,16,0,174.747,0.0916,750.068,22267.213,37256.677,16.792,17.105,131072,12884901888,0,True
8192,8192,32,32,0,286.313,0.1118,915.585,47655.457,116419.5,22.446,23.435,262144,25769803776,0,True
8192,8192,64,64,0,682.564,0.0938,768.116,145245.333,278128.012,50.105,58.338,524288,51539607552,0,True
8192,1024,1,1,0,10.016,0.0998,102.237,1319.267,1319.267,8.501,8.501,8192,805306368,0,True
8192,1024,2,2,0,11.615,0.1722,176.321,2030.449,2590.466,8.808,8.81,16384,1610612736,0,True
8192,1024,4,4,0,15.057,0.2657,272.039,3306.712,4862.624,10.025,10.13,32768,3221225472,0,True
8192,1024,8,8,0,26.655,0.3001,307.332,8304.709,16625.722,10.199,10.46,65536,6442450944,0,True
8192,1024,16,16,0,46.742,0.3423,350.519,19203.406,35229.685,10.952,11.72,131072,12884901888,0,True
8192,1024,32,32,0,84.763,0.3775,386.583,30773.803,73707.224,10.811,12.118,262144,25769803776,0,True
8192,1024,64,64,0,178.142,0.3593,367.886,81078.869,164941.651,10.545,12.163,524288,51539607552,0,True
