framework,concurrency,req_isl,req_osl,tput_total,tput_per_user,ttft_p50,ttft_p95,itl_p50,req_latency_p50,isl,osl,requests,errors,source,pareto,framework_pareto
llm-d,1,1024,8192,49.56665769228062,49.63082476597734,186.75579299999998,193.13754335,20.144324903979978,165193.99142,1024.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__llm-d-c1/profile_export_aiperf.json,False,True
llm-d,2,1024,8192,69.904525223273,35.003665996193675,264.2287025,357.23431825,28.575094876022465,234323.5393555,1024.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__llm-d-c2/profile_export_aiperf.json,False,True
llm-d,4,1024,8192,91.62711534036349,22.943070921873243,513.9456074999999,671.1202016,43.59473646294713,357567.6628755,1024.0,8192.0,8,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__llm-d-c4/profile_export_aiperf.json,False,True
llm-d,8,1024,8192,141.49923376046834,17.718321166727478,825.1873025,1126.572729,56.453904995971186,462998.87594,1024.0,8192.0,16,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__llm-d-c8/profile_export_aiperf.json,False,True
llm-d,16,1024,8192,179.48498204504244,11.237745569450558,1054.3034069999999,2114.62600195,88.9721783376877,730230.896926,1024.0,8192.0,32,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__llm-d-c16/profile_export_aiperf.json,False,True
llm-d,32,1024,8192,241.04585940928322,7.556935716106471,2150.6344785,4202.709707149998,132.53297055683066,1086340.3433835,1024.0,8192.0,64,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__llm-d-c32/profile_export_aiperf.json,False,True
llm-d,64,1024,8192,301.2881706781447,4.73318947609866,5893.6263105,11033.25109195,211.39029991496764,1737492.5236775,1024.0,8192.0,128,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__llm-d-c64/profile_export_aiperf.json,True,True
dynamo,1,1024,8192,50.52534343799078,50.589307267681775,175.86869249999998,193.33365439999997,19.75940229733854,162025.13291,1024.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__dynamo-c1/profile_export_aiperf.json,True,True
dynamo,2,1024,8192,71.64905772305976,35.88052968966962,261.7380335,352.79914414999996,27.878662109754607,228615.917532,1024.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__dynamo-c2/profile_export_aiperf.json,True,True
dynamo,4,1024,8192,93.15884478055528,23.32173235881433,489.0917305,598.6155631999999,42.88863503125381,351677.648286,1024.0,8192.0,8,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__dynamo-c4/profile_export_aiperf.json,True,True
dynamo,8,1024,8192,143.66595908583767,17.988800227626108,796.1671269999999,1064.9764727499999,55.59391951129288,456073.73573799996,1024.0,8192.0,16,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__dynamo-c8/profile_export_aiperf.json,True,True
dynamo,16,1024,8192,186.19622088294116,11.660922903697958,1062.0039665,2085.22344455,85.75364572604077,703874.4719349999,1024.0,8192.0,32,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__dynamo-c16/profile_export_aiperf.json,True,True
dynamo,32,1024,8192,249.14492033824553,7.80455212362697,2237.4649335,4228.254082299998,128.12168802777438,1051637.5103,1024.0,8192.0,64,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__dynamo-c32/profile_export_aiperf.json,True,True
dynamo,64,1024,8192,299.64499535711,4.697408385050753,4324.309461,9477.269240200001,212.89698085380294,1748305.5870125,1024.0,8192.0,128,0,results/2026-09-01-qwen3-spark-pareto/raw/isl1024-osl8192__dynamo-c64/profile_export_aiperf.json,False,True
llm-d,1,8192,8192,41.31312043930499,41.60091769683546,1349.5263615,1356.756528,24.034761406910025,198219.4902155,8192.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__llm-d-c1/profile_export_aiperf.json,False,True
llm-d,2,8192,8192,55.44193665123675,27.919526871025283,2065.364534,2734.2157064999997,35.81172229971921,295460.37879,8192.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__llm-d-c2/profile_export_aiperf.json,False,True
llm-d,4,8192,8192,71.56974977974524,18.02380573073979,3103.1266185,5123.416721899999,55.432269365095834,457745.75789099996,8192.0,8192.0,8,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__llm-d-c4/profile_export_aiperf.json,False,True
llm-d,8,8192,8192,98.27331685335864,12.381687761143107,3573.4779049999997,10547.852862,81.02050794323037,665964.827234,8192.0,8192.0,16,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__llm-d-c8/profile_export_aiperf.json,True,True
llm-d,16,8192,8192,118.00389973882736,7.449800085842224,6660.62357,25425.676339349997,134.4890786584666,1109198.0726415,8192.0,8192.0,32,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__llm-d-c16/profile_export_aiperf.json,False,True
llm-d,32,8192,8192,131.3374077754472,4.165963334833457,12431.697770499999,76632.97995619998,241.3044060182517,1989695.2160574999,8192.0,8192.0,64,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__llm-d-c32/profile_export_aiperf.json,False,True
dynamo,1,8192,8192,41.335769138166775,41.63215044686235,1384.0265355,1390.9173445499998,24.03625103558784,198258.32567299998,8192.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__dynamo-c1/profile_export_aiperf.json,True,True
dynamo,2,8192,8192,55.83701036484889,28.12092146591184,2047.9322395,2778.4818405,35.56125799151508,293352.6410085,8192.0,8192.0,4,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__dynamo-c2/profile_export_aiperf.json,True,True
dynamo,4,8192,8192,71.86934309282711,18.088954701517373,2516.793022,5259.964555549999,55.20314907331217,455848.0566985,8192.0,8192.0,8,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__dynamo-c4/profile_export_aiperf.json,True,True
dynamo,8,8192,8192,98.14707753318572,12.366645698612258,3591.415231,10767.256854,81.12189028732756,666822.9221315,8192.0,8192.0,16,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__dynamo-c8/profile_export_aiperf.json,False,True
dynamo,16,8192,8192,118.44452959973611,7.478668362894428,6558.0800055,26056.0297685,134.01962641960688,1104750.1490759999,8192.0,8192.0,32,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__dynamo-c16/profile_export_aiperf.json,True,True
dynamo,32,8192,8192,132.89144313576043,4.214910483779267,12242.9083815,75441.61921309997,238.41522903137587,1966839.79495,8192.0,8192.0,64,0,results/2026-09-01-qwen3-spark-pareto/raw/isl8192-osl8192__dynamo-c32/profile_export_aiperf.json,True,True
