Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),249.14,3.96,5829.23,,,,,,231.25,,346.58,372.71,443.58,76.72
Active Decode Throughput Per User (tokens/sec/user),7.79,0.95,182.16,,,,,,7.23,,10.83,11.65,13.89,2.38
Active Prefill Throughput (tokens/sec),4231.91,229.54,24048.42,,,,,,2729.77,,7896.45,13089.94,24048.42,3998.81
Active Prefill Throughput Per User (tokens/sec/user),474.01,228.94,1449.46,,,,,,392.55,,758.71,983.88,1044.74,201.95
Active Total Throughput (tokens/sec),280.26,7.83,24048.42,,,,,,250.01,,250.01,250.01,250.01,490.96
Credit-to-Start Latency (ms),12.24,0.81,37.93,783.63,0.82,0.85,0.88,1.23,3.19,26.88,31.14,33.08,36.11,13.27
Decode Duration (ms),1049521.19,1045662.45,1053382.25,67169356.29,1045735.55,1046049.38,1046330.13,1047354.74,1049444.75,1051758.73,1052863.29,1053005.87,1053235.89,2400.57
E2E Output Token Throughput (tokens/sec/user),7.79,7.75,7.83,498.49,7.75,7.75,7.75,7.77,7.79,7.81,7.82,7.82,7.83,0.02
Effective Concurrency,31.99,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.46
Effective Decode Concurrency,31.92,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,1.11
Effective Decode Throughput (tokens/sec),249.11,0.00,5829.23,,,,,,231.24,,346.52,372.71,443.58,76.76
Effective Decode Throughput Per User (tokens/sec/user),7.79,0.00,182.16,,,,,,7.23,,10.83,11.65,13.89,2.39
Effective Latency (CO-aware) (ms),1051783.58,1046631.24,1057635.85,67314149.22,1046645.56,1047040.74,1047621.30,1048868.08,1051659.12,1054637.52,1056428.55,1057229.61,1057635.20,3292.59
Effective Prefill Concurrency,0.07,0.00,32.00,,,,,,0.00,,0.00,0.00,0.00,1.01
Effective Prefill Throughput (tokens/sec),31.14,0.00,24048.42,,,,,,0.00,,0.00,0.00,0.00,498.50
Effective Prefill Throughput Per User (tokens/sec/user),3.49,0.00,1449.46,,,,,,0.00,,0.00,0.00,0.00,44.06
Effective Total Throughput (tokens/sec),280.26,0.00,24048.42,,,,,,250.01,,250.01,250.01,250.01,490.96
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,8180.45,8166.00,8193.00,523549.00,8166.63,8167.00,8167.00,8169.00,8175.00,8193.00,8193.00,8193.00,8193.00,11.95
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),13.15,0.00,32.58,841.79,0.00,0.00,0.00,0.00,7.57,25.87,27.60,27.85,30.50,13.28
HTTP Connection Overhead (ms),13.15,0.00,32.58,841.79,0.00,0.00,0.00,0.00,7.57,25.87,27.60,27.85,30.50,13.28
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),1895.19,1872.42,1903.74,121292.05,1872.63,1889.69,1891.00,1893.08,1895.66,1898.13,1899.77,1901.67,1902.94,5.26
HTTP Data Sent (KB),4.51,3.89,4.92,288.62,4.04,4.25,4.32,4.41,4.51,4.60,4.73,4.77,4.87,0.17
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1051771.24,1046627.17,1057634.54,67313359.11,1046629.12,1047012.96,1047603.53,1048857.26,1051657.14,1054625.67,1056425.65,1057226.42,1057619.21,3295.49
HTTP Receiving (ms),1049530.24,1045666.83,1053389.12,67169935.50,1045737.17,1046059.12,1046333.88,1047376.14,1049453.23,1051776.30,1052876.89,1053012.01,1053238.43,2402.85
HTTP Sending (ms),13.37,0.13,32.79,855.82,0.14,0.15,0.16,0.18,7.75,26.06,28.01,28.38,30.90,13.32
HTTP Total Time (ms),1051784.39,1046627.17,1057663.09,67314200.90,1046629.12,1047012.96,1047603.53,1048876.21,1051669.71,1054634.13,1056451.84,1057252.91,1057639.31,3301.59
HTTP Waiting (TTFB) (ms),2227.62,176.80,4455.67,142567.79,333.09,703.86,932.93,1346.67,2224.61,3068.83,3636.82,4201.02,4449.38,1061.49
Input Sequence Length (tokens),1024.00,1024.00,1024.00,65536.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),128.13,0.00,1006.08,67169356.29,54.82,80.81,87.12,100.32,127.06,154.05,171.39,178.17,204.74,37.55
Inter Token Latency (ms),128.13,127.66,128.60,8200.39,127.67,127.71,127.74,127.87,128.12,128.40,128.54,128.56,128.58,0.29
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
