Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),49.63,0.00,37382.66,,,,,,49.89,,61.04,68.68,99.58,91.90
Active Decode Throughput Per User (tokens/sec/user),49.63,0.00,37382.66,,,,,,49.89,,61.04,68.68,99.58,91.90
Active Prefill Throughput (tokens/sec),5469.87,5286.54,5638.18,,,,,,5390.82,,5638.18,5638.18,5638.18,141.59
Active Prefill Throughput Per User (tokens/sec/user),5469.87,5286.54,5638.18,,,,,,5390.82,,5638.18,5638.18,5638.18,141.59
Active Total Throughput (tokens/sec),55.77,49.58,5638.18,,,,,,49.65,,49.66,49.66,49.66,182.41
Credit-to-Start Latency (ms),23.47,22.80,24.06,93.88,22.81,22.83,22.87,22.97,23.51,24.02,24.04,24.05,24.06,0.57
Decode Duration (ms),165038.62,164949.81,165200.34,660154.48,164950.61,164953.82,164957.83,164969.86,165002.17,165070.92,165148.57,165174.46,165195.16,97.48
E2E Output Token Throughput (tokens/sec/user),49.58,49.53,49.61,198.32,49.54,49.54,49.55,49.57,49.59,49.60,49.61,49.61,49.61,0.03
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Throughput (tokens/sec),49.56,0.00,37382.66,,,,,,49.88,,61.03,68.67,99.55,91.86
Effective Decode Throughput Per User (tokens/sec/user),49.56,0.00,37382.66,,,,,,49.88,,61.03,68.67,99.55,91.86
Effective Latency (CO-aware) (ms),165249.30,165157.43,165404.76,660997.20,165158.42,165162.39,165167.35,165182.23,165217.50,165284.57,165356.68,165380.72,165399.95,94.98
Effective Prefill Concurrency,0.00,0.00,1.00,,,,,,0.00,,0.00,0.00,0.00,0.03
Effective Prefill Throughput (tokens/sec),6.20,0.00,5638.18,,,,,,0.00,,0.00,0.00,0.00,184.05
Effective Prefill Throughput Per User (tokens/sec/user),6.20,0.00,5638.18,,,,,,0.00,,0.00,0.00,0.00,184.05
Effective Total Throughput (tokens/sec),55.76,0.00,5638.18,,,,,,49.65,,49.66,49.66,49.66,182.38
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,7863.50,7673.00,8055.00,31454.00,7673.69,7676.45,7679.90,7690.25,7863.00,8036.25,8047.50,8051.25,8054.25,179.40
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),2347.98,2345.34,2349.92,9391.93,2345.39,2345.59,2345.83,2346.57,2348.33,2349.75,2349.85,2349.88,2349.91,1.91
HTTP Data Sent (KB),4.32,3.89,4.64,17.28,3.90,3.94,4.00,4.16,4.37,4.54,4.60,4.62,4.64,0.29
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),165225.75,165133.30,165381.86,660902.99,165134.29,165138.27,165143.24,165158.14,165193.92,165261.53,165333.72,165357.79,165377.04,95.47
HTTP Receiving (ms),165038.62,164949.81,165200.34,660154.49,164950.62,164953.82,164957.83,164969.87,165002.17,165070.93,165148.58,165174.46,165195.17,97.48
HTTP Sending (ms),0.17,0.13,0.21,0.67,0.13,0.13,0.14,0.15,0.16,0.19,0.20,0.21,0.21,0.03
HTTP Total Time (ms),165225.75,165133.30,165381.86,660902.99,165134.29,165138.27,165143.24,165158.14,165193.92,165261.53,165333.72,165357.79,165377.04,95.47
HTTP Waiting (TTFB) (ms),186.96,181.30,193.50,747.82,181.36,181.60,181.91,182.82,186.51,190.65,192.36,192.93,193.38,4.89
Input Sequence Length (tokens),1024.00,1024.00,1024.00,4096.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
