Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),241.05,0.00,193471.45,,,,,,222.87,,331.43,356.77,430.38,139.82
Active Decode Throughput Per User (tokens/sec/user),7.54,0.00,6045.98,,,,,,6.97,,10.36,11.15,13.47,4.37
Active Prefill Throughput (tokens/sec),4186.00,229.77,22544.56,,,,,,2758.76,,7852.75,12878.55,22544.56,3951.79
Active Prefill Throughput Per User (tokens/sec/user),491.11,229.77,1701.86,,,,,,425.65,,777.84,997.27,1069.87,205.62
Active Total Throughput (tokens/sec),271.15,7.80,22544.56,,,,,,234.63,,249.01,249.01,249.01,480.25
Credit-to-Start Latency (ms),16.46,0.71,83.95,1053.24,0.72,0.83,0.94,2.56,5.35,28.66,31.82,54.83,81.71,19.46
Decode Duration (ms),1084867.91,1049963.79,1119616.77,69431546.47,1050004.95,1050284.96,1050595.19,1052073.70,1085577.56,1117374.11,1119122.20,1119443.29,1119601.04,32320.96
E2E Output Token Throughput (tokens/sec/user),7.54,7.29,7.80,482.72,7.29,7.29,7.30,7.32,7.55,7.77,7.79,7.79,7.80,0.23
Effective Concurrency,31.99,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.48
Effective Decode Concurrency,31.92,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,1.11
Effective Decode Throughput (tokens/sec),241.02,0.00,193471.45,,,,,,222.86,,331.43,356.76,430.38,139.84
Effective Decode Throughput Per User (tokens/sec/user),7.54,0.00,6045.98,,,,,,6.97,,10.36,11.15,13.47,4.37
Effective Latency (CO-aware) (ms),1087107.51,1050871.47,1124076.99,69574880.69,1050923.13,1051280.26,1051945.49,1054515.26,1086368.09,1119744.79,1122823.20,1123652.70,1124060.58,32603.45
Effective Prefill Concurrency,0.07,0.00,32.00,,,,,,0.00,,0.00,0.00,0.00,1.00
Effective Prefill Throughput (tokens/sec),30.13,0.00,22544.56,,,,,,0.00,,0.00,0.00,0.00,487.47
Effective Prefill Throughput Per User (tokens/sec/user),3.54,0.00,1701.86,,,,,,0.00,,0.00,0.00,0.00,45.03
Effective Total Throughput (tokens/sec),271.15,0.00,22544.56,,,,,,234.63,,249.01,249.01,249.01,480.25
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,8190.50,8186.00,8192.00,524192.00,8186.63,8188.15,8189.00,8190.00,8191.00,8191.00,8192.00,8192.00,8192.00,1.27
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),33.70,0.00,74.07,2157.05,0.00,0.00,0.00,0.00,7.88,69.52,71.71,72.05,73.55,34.51
HTTP Connection Overhead (ms),33.70,0.00,74.07,2157.05,0.00,0.00,0.00,0.00,7.88,69.52,71.71,72.05,73.55,34.51
HTTP Connection Reused (ratio),0.50,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),2351.32,2328.44,2358.56,150484.56,2328.64,2346.10,2347.24,2349.50,2352.22,2354.20,2356.05,2357.05,2358.50,5.16
HTTP Data Sent (KB),4.51,3.89,4.92,288.55,4.04,4.25,4.32,4.41,4.51,4.60,4.72,4.77,4.87,0.17
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1087090.95,1050870.66,1124073.40,69573820.96,1050877.25,1051250.58,1051936.30,1054506.94,1086340.27,1119741.03,1122817.51,1123645.92,1124057.15,32614.82
HTTP Receiving (ms),1084867.93,1049963.79,1119616.77,69431547.25,1050004.95,1050284.95,1050595.20,1052073.70,1085577.57,1117374.12,1119122.21,1119443.29,1119601.04,32320.97
HTTP Sending (ms),33.92,0.12,74.55,2171.02,0.13,0.14,0.15,0.18,8.12,69.65,72.13,72.54,74.04,34.55
HTTP Total Time (ms),1087124.66,1050870.66,1124145.12,69575978.01,1050877.25,1051250.58,1051936.30,1054506.94,1086340.27,1119810.35,1122886.02,1123713.65,1124128.67,32648.14
HTTP Waiting (TTFB) (ms),2189.10,208.82,4384.73,140102.68,347.71,701.99,921.23,1366.57,2150.41,2931.77,3626.76,4134.85,4384.46,1037.38
Input Sequence Length (tokens),1024.00,1024.00,1024.00,65536.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),132.47,0.00,1038.73,69431546.47,55.07,83.11,90.96,104.54,132.68,158.33,174.54,181.72,209.20,37.59
Inter Token Latency (ms),132.45,128.19,136.69,8476.57,128.19,128.22,128.26,128.44,132.53,136.41,136.63,136.67,136.69,3.95
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),8192.00,8192.00,8192.00,524288.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Output Token Count (tokens),8192.00,8192.00,8192.00,524288.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Output Token Throughput Per User (tokens/sec/user),7.56,7.32,7.80,483.64,7.32,7.32,7.32,7.33,7.55,7.79,7.80,7.80,7.80,0.23
Prefill Throughput Per User (tokens/sec/user),653.22,229.77,4897.10,41805.90,229.79,243.82,277.10,347.56,476.62,749.53,1089.26,1342.51,3096.91,633.93
Request Latency (ms),1087091.05,1050870.76,1124073.48,69573827.45,1050877.35,1051250.66,1051936.38,1054507.01,1086340.34,1119741.10,1122817.59,1123646.00,1124057.22,32614.84
Time to First Output Token (ms),2223.14,209.10,4456.71,142280.97,393.66,763.96,941.47,1366.83,2150.63,2948.81,3695.39,4202.71,4456.18,1046.82
Time to First Token (ms),2223.14,209.10,4456.71,142280.97,393.66,763.96,941.47,1366.83,2150.63,2948.81,3695.39,4202.71,4456.18,1046.82
Time to Second Token (ms),376.38,18.74,894.72,24088.45,50.92,78.85,195.40,258.49,275.56,519.39,752.01,816.33,872.43,219.28
Tokens In Flight (tokens),179851.61,0.00,294578.91,,,,,,187461.10,,275235.00,285006.79,292675.00,74076.83
Usage Completion Tokens (tokens),8192.00,8192.00,8192.00,524288.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Usage Prompt Tokens (tokens),1024.00,1024.00,1024.00,65536.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),9216.00,9216.00,9216.00,589824.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,9216.00,0.00

Metric,Value
Benchmark Duration (sec),2175.03
Input Token Throughput (tokens/sec),30.13
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),241.05
Request Count,64.00
Request Throughput (requests/sec),0.03
Total Input Sequence Length (tokens),65536.00
Total Output Sequence Length (tokens),524288.00
Total Output Tokens (tokens),524288.00
Total Token Throughput (tokens/sec),271.18
Total Usage Completion Tokens (tokens),524288.00
Total Usage Prompt Tokens (tokens),65536.00
Total Usage Total Tokens (tokens),589824.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
