Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),49.65,0.00,20047.02,,,,,,50.06,,60.36,67.87,96.81,84.91
Active Decode Throughput Per User (tokens/sec/user),49.65,0.00,20047.02,,,,,,50.06,,60.36,67.87,96.81,84.91
Active Prefill Throughput (tokens/sec),4986.02,4986.02,4986.02,,,,,,4986.02,,4986.02,4986.02,4986.02,0.00
Active Prefill Throughput Per User (tokens/sec/user),4986.02,4986.02,4986.02,,,,,,4986.02,,4986.02,4986.02,4986.02,0.00
Active Total Throughput (tokens/sec),55.81,49.65,4986.02,,,,,,49.65,,49.65,49.65,49.65,174.21
Credit-to-Start Latency (ms),1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,0.00
Decode Duration (ms),164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,164970.23,0.00
E2E Output Token Throughput (tokens/sec/user),49.60,49.60,49.60,49.60,49.60,49.60,49.60,49.60,49.60,49.60,49.60,49.60,49.60,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Throughput (tokens/sec),49.58,0.00,20047.02,,,,,,50.05,,60.35,67.87,96.81,84.87
Effective Decode Throughput Per User (tokens/sec/user),49.58,0.00,20047.02,,,,,,50.05,,60.35,67.87,96.81,84.87
Effective Latency (CO-aware) (ms),165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,165177.38,0.00
Effective Prefill Concurrency,0.00,0.00,1.00,,,,,,0.00,,0.00,0.00,0.00,0.04
Effective Prefill Throughput (tokens/sec),6.22,0.00,4986.02,,,,,,0.00,,0.00,0.00,0.00,175.95
Effective Prefill Throughput Per User (tokens/sec/user),6.22,0.00,4986.02,,,,,,0.00,,0.00,0.00,0.00,175.95
Effective Total Throughput (tokens/sec),55.80,0.00,4986.02,,,,,,49.65,,49.65,49.65,49.65,174.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,7929.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,0.00
HTTP Connection Overhead (ms),4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,2357.14,0.00
HTTP Data Sent (KB),4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,165175.97,0.00
HTTP Receiving (ms),164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,164970.29,0.00
HTTP Sending (ms),5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,0.00
HTTP Total Time (ms),165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,165180.77,0.00
HTTP Waiting (TTFB) (ms),200.48,200.48,200.48,200.48,200.48,200.48,200.48,200.48,200.48,200.48,200.48,200.48,200.48,0.00
Input Sequence Length (tokens),1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,1027.00,0.00
