Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),98.24,2.45,3580.48,,,,,,98.00,,114.69,119.89,161.75,31.67
Active Decode Throughput Per User (tokens/sec/user),12.31,1.29,447.56,,,,,,12.25,,14.34,14.99,20.27,3.92
Active Prefill Throughput (tokens/sec),4667.27,693.98,15345.27,,,,,,4566.19,,9491.67,9491.67,15345.27,3169.45
Active Prefill Throughput Per User (tokens/sec/user),1910.43,693.98,3100.76,,,,,,2159.69,,2806.65,3100.76,3100.76,796.55
Active Total Throughput (tokens/sec),196.29,12.55,15345.27,,,,,,99.56,,99.56,99.56,4639.97,806.32
Credit-to-Start Latency (ms),15.46,1.22,27.68,247.44,1.22,1.25,1.26,1.39,24.39,26.62,27.44,27.53,27.65,12.40
Decode Duration (ms),662384.59,652759.65,668162.14,10598153.38,652965.87,653790.77,654887.69,658415.76,664469.40,666665.76,667701.82,667907.65,668111.24,5035.21
E2E Output Token Throughput (tokens/sec/user),12.28,12.05,12.50,196.44,12.05,12.07,12.09,12.17,12.29,12.38,12.45,12.48,12.49,0.13
Effective Concurrency,8.00,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.14
Effective Decode Concurrency,7.94,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.52
Effective Decode Throughput (tokens/sec),98.14,0.00,3580.48,,,,,,97.99,,114.68,119.89,161.75,31.82
Effective Decode Throughput Per User (tokens/sec/user),12.29,0.00,447.56,,,,,,12.25,,14.34,14.99,20.26,3.94
Effective Latency (CO-aware) (ms),667354.73,655424.95,679998.05,10677675.64,655673.10,656665.72,657932.36,661883.30,666842.25,672876.89,677321.47,678684.25,679735.29,7283.81
Effective Prefill Concurrency,0.06,0.00,8.00,,,,,,0.00,,0.00,0.00,2.00,0.51
Effective Prefill Throughput (tokens/sec),98.15,0.00,15345.27,,,,,,0.00,,0.00,0.00,4566.19,812.21
Effective Prefill Throughput Per User (tokens/sec/user),40.17,0.00,3100.76,,,,,,0.00,,0.00,0.00,2283.10,297.45
Effective Total Throughput (tokens/sec),196.28,0.00,15345.27,,,,,,99.56,,99.56,99.56,4639.97,806.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,8180.31,8172.00,8188.00,130885.00,8172.30,8173.50,8174.00,8175.75,8181.00,8184.50,8186.00,8186.50,8187.70,5.07
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.86,0.00,13.68,93.81,0.00,0.00,0.00,0.00,0.00,13.37,13.62,13.67,13.68,6.65
HTTP Connection Overhead (ms),5.86,0.00,13.68,93.81,0.00,0.00,0.00,0.00,0.00,13.37,13.62,13.67,13.68,6.65
HTTP Connection Reused (ratio),0.56,0.00,1.00,9.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),1895.91,1890.65,1899.25,30334.53,1891.08,1892.77,1893.72,1894.40,1896.46,1897.00,1898.27,1898.70,1899.14,2.09
HTTP Data Sent (KB),34.66,32.22,37.12,554.62,32.40,33.13,33.46,34.04,34.78,35.24,35.77,36.14,36.92,1.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),667339.12,655401.51,679972.54,10677425.86,655649.26,656640.26,657905.41,661856.05,666827.73,672875.45,677319.42,678676.26,679713.29,7291.00
HTTP Receiving (ms),662391.21,652759.65,668168.28,10598259.38,652965.88,653790.78,654894.49,658421.54,664482.45,666672.24,667706.46,667909.23,668116.47,5036.29
HTTP Sending (ms),6.18,0.15,14.23,98.95,0.15,0.17,0.18,0.19,0.23,13.83,14.13,14.19,14.22,6.80
HTTP Total Time (ms),667344.98,655401.51,679972.54,10677519.67,655649.26,656640.26,657905.41,661856.05,666834.45,672889.05,677332.47,678685.89,679715.21,7294.92
HTTP Waiting (TTFB) (ms),4941.72,1385.31,11804.07,79067.53,1573.77,2327.61,2780.11,3080.66,3591.11,6189.10,9599.46,10757.01,11594.66,2939.93
Input Sequence Length (tokens),8192.00,8192.00,8192.00,131072.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Inter Chunk Latency (ms),80.87,0.00,637.65,10598153.38,22.87,61.78,68.10,73.18,79.87,87.11,92.57,98.13,140.00,24.49
Inter Token Latency (ms),80.87,79.69,81.57,1293.88,79.72,79.82,79.95,80.38,81.12,81.39,81.52,81.54,81.57,0.61
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),8192.00,8192.00,8192.00,131072.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Output Token Count (tokens),8192.00,8192.00,8192.00,131072.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Output Token Throughput Per User (tokens/sec/user),12.37,12.26,12.55,197.87,12.26,12.26,12.27,12.29,12.33,12.44,12.51,12.53,12.54,0.09
Prefill Throughput Per User (tokens/sec/user),2230.05,693.98,5853.60,35680.72,707.79,763.04,858.23,1332.93,2283.10,2656.24,2953.71,3788.97,5440.67,1200.50
Request Latency (ms),667332.66,655401.58,679966.49,10677322.63,655649.33,656640.34,657898.71,661850.36,666822.92,672869.24,677315.06,678674.91,679708.17,7290.51
Time to First Output Token (ms),4948.08,1399.48,11804.35,79169.25,1585.85,2331.32,2780.36,3084.41,3591.42,6203.48,9613.24,10767.26,11596.93,2941.80
Time to First Token (ms),4948.08,1399.48,11804.35,79169.25,1585.85,2331.32,2780.36,3084.41,3591.42,6203.48,9613.24,10767.26,11596.93,2941.80
Time to Second Token (ms),371.60,62.69,594.75,5945.56,63.61,67.27,165.48,323.16,365.08,475.21,548.64,570.73,589.95,147.83
Tokens In Flight (tokens),99518.58,0.00,130960.00,,,,,,100345.00,,125113.00,128049.00,130376.00,19065.33
Usage Completion Tokens (tokens),8192.00,8192.00,8192.00,131072.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Usage Prompt Tokens (tokens),8192.00,8192.00,8192.00,131072.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Usage Total Tokens (tokens),16384.00,16384.00,16384.00,262144.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,16384.00,0.00

Metric,Value
Benchmark Duration (sec),1335.44
Input Token Throughput (tokens/sec),98.15
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),98.15
Request Count,16.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),131072.00
Total Output Sequence Length (tokens),131072.00
Total Output Tokens (tokens),131072.00
Total Token Throughput (tokens/sec),196.29
Total Usage Completion Tokens (tokens),131072.00
Total Usage Prompt Tokens (tokens),131072.00
Total Usage Total Tokens (tokens),262144.00
