Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),56.20,0.00,327.12,,,,,,59.21,,67.84,97.01,193.76,30.94
Active Decode Throughput Per User (tokens/sec/user),56.20,0.00,327.12,,,,,,59.21,,67.84,97.01,193.76,30.94
Active Prefill Throughput (tokens/sec),1034.30,838.08,1350.50,,,,,,838.08,,1350.50,1350.50,1350.50,249.09
Active Prefill Throughput Per User (tokens/sec/user),1034.30,838.08,1350.50,,,,,,838.08,,1350.50,1350.50,1350.50,249.09
Active Total Throughput (tokens/sec),235.44,55.60,1350.50,,,,,,56.82,,838.08,1350.50,1350.50,393.14
Credit-to-Start Latency (ms),0.62,0.56,0.67,1.23,0.56,0.57,0.57,0.59,0.62,0.64,0.66,0.66,0.67,0.05
Decode Duration (ms),551.57,545.55,557.59,1103.15,545.68,546.16,546.76,548.56,551.57,554.58,556.39,556.99,557.47,6.02
E2E Output Token Throughput (tokens/sec/user),47.51,45.05,49.97,95.02,45.10,45.30,45.54,46.28,47.51,48.74,49.48,49.73,49.92,2.46
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.81,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.39
Effective Decode Throughput (tokens/sec),45.79,0.00,327.12,,,,,,56.23,,66.57,94.74,188.20,35.45
Effective Decode Throughput Per User (tokens/sec/user),45.79,0.00,327.12,,,,,,56.23,,66.57,94.74,188.20,35.45
Effective Latency (CO-aware) (ms),675.94,640.90,710.99,1351.89,641.60,644.40,647.91,658.42,675.94,693.47,703.98,707.48,710.29,35.04
Effective Prefill Concurrency,0.18,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.39
Effective Prefill Throughput (tokens/sec),189.06,0.00,1350.50,,,,,,0.00,,838.08,1350.50,1350.50,413.70
Effective Prefill Throughput Per User (tokens/sec/user),189.06,0.00,1350.50,,,,,,0.00,,838.08,1350.50,1350.50,413.70
Effective Total Throughput (tokens/sec),234.85,0.00,1350.50,,,,,,56.82,,838.08,1350.50,1350.50,392.82
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,30.00,30.00,30.00,60.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),7.70,7.69,7.71,15.40,7.69,7.69,7.69,7.70,7.70,7.71,7.71,7.71,7.71,0.01
HTTP Data Sent (KB),0.68,0.61,0.75,1.36,0.61,0.62,0.63,0.65,0.68,0.71,0.73,0.74,0.74,0.07
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
