Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.81,0.00,193.35,,,,,,55.98,,64.75,74.74,142.46,23.86
Active Decode Throughput Per User (tokens/sec/user),55.81,0.00,193.35,,,,,,55.98,,64.75,74.74,142.46,23.86
Active Prefill Throughput (tokens/sec),6.55,6.55,6.55,,,,,,6.55,,6.55,6.55,6.55,0.00
Active Prefill Throughput Per User (tokens/sec/user),6.55,6.55,6.55,,,,,,6.55,,6.55,6.55,6.55,0.00
Active Total Throughput (tokens/sec),7.88,6.55,55.81,,,,,,6.55,,6.55,6.55,55.81,7.99
Credit-to-Start Latency (ms),1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,0.00
Decode Duration (ms),551.82,551.82,551.82,551.82,551.82,551.82,551.82,551.82,551.82,551.82,551.82,551.82,551.82,0.00
E2E Output Token Throughput (tokens/sec/user),1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.16
Effective Decode Throughput (tokens/sec),1.51,0.00,193.35,,,,,,0.00,,0.00,0.00,60.65,9.86
Effective Decode Throughput Per User (tokens/sec/user),1.51,0.00,193.35,,,,,,0.00,,0.00,0.00,60.65,9.86
Effective Latency (CO-aware) (ms),20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,20549.13,0.00
Effective Prefill Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.16
Effective Prefill Throughput (tokens/sec),6.37,0.00,6.55,,,,,,6.55,,6.55,6.55,6.55,1.07
Effective Prefill Throughput Per User (tokens/sec/user),6.37,0.00,6.55,,,,,,6.55,,6.55,6.55,6.55,1.07
Effective Total Throughput (tokens/sec),7.88,0.00,55.81,,,,,,6.55,,6.55,6.55,55.81,7.99
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,0.00
HTTP Connection Overhead (ms),10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.19,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.70,0.00
