Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.39,0.00,626.48,,,,,,54.01,,65.62,71.29,82.61,32.14
Active Decode Throughput Per User (tokens/sec/user),55.39,0.00,626.48,,,,,,54.01,,65.62,71.29,82.61,32.14
Active Prefill Throughput (tokens/sec),6.93,6.93,6.93,,,,,,6.93,,6.93,6.93,6.93,0.00
Active Prefill Throughput Per User (tokens/sec/user),6.93,6.93,6.93,,,,,,6.93,,6.93,6.93,6.93,0.00
Active Total Throughput (tokens/sec),8.33,6.93,55.39,,,,,,6.93,,6.93,6.93,55.39,8.10
Credit-to-Start Latency (ms),1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,0.00
Decode Duration (ms),559.67,559.67,559.67,559.67,559.67,559.67,559.67,559.67,559.67,559.67,559.67,559.67,559.67,0.00
E2E Output Token Throughput (tokens/sec/user),1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Decode Throughput (tokens/sec),1.59,0.00,626.48,,,,,,0.00,,0.00,0.00,56.38,10.74
Effective Decode Throughput Per User (tokens/sec/user),1.59,0.00,626.48,,,,,,0.00,,0.00,0.00,56.38,10.74
Effective Latency (CO-aware) (ms),19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,19458.32,0.00
Effective Prefill Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),6.73,0.00,6.93,,,,,,6.93,,6.93,6.93,6.93,1.16
Effective Prefill Throughput Per User (tokens/sec/user),6.73,0.00,6.93,,,,,,6.93,,6.93,6.93,6.93,1.16
Effective Total Throughput (tokens/sec),8.32,0.00,55.39,,,,,,6.93,,6.93,6.93,55.39,8.10
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,0.00
HTTP Connection Overhead (ms),5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,5.90,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,0.00
HTTP Data Sent (KB),0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
