Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.78,0.00,604.65,,,,,,55.13,,70.33,77.67,96.55,24.50
Active Decode Throughput Per User (tokens/sec/user),55.78,0.00,604.65,,,,,,55.13,,70.33,77.67,96.55,24.50
Active Prefill Throughput (tokens/sec),913.37,731.93,1214.40,,,,,,731.93,,1214.40,1214.40,1214.40,233.70
Active Prefill Throughput Per User (tokens/sec/user),913.37,731.93,1214.40,,,,,,731.93,,1214.40,1214.40,1214.40,233.70
Active Total Throughput (tokens/sec),228.50,55.75,1214.40,,,,,,55.82,,731.93,1214.40,1214.40,359.56
Credit-to-Start Latency (ms),0.85,0.84,0.85,1.69,0.84,0.84,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.00
Decode Duration (ms),555.71,555.33,556.09,1111.42,555.34,555.37,555.41,555.52,555.71,555.90,556.01,556.05,556.08,0.38
E2E Output Token Throughput (tokens/sec/user),46.10,43.78,48.43,92.21,43.82,44.01,44.24,44.94,46.10,47.27,47.97,48.20,48.38,2.33
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.80,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.40
Effective Decode Throughput (tokens/sec),44.43,0.00,604.65,,,,,,54.28,,68.17,77.05,87.01,31.35
Effective Decode Throughput Per User (tokens/sec/user),44.43,0.00,604.65,,,,,,54.28,,68.17,77.05,87.01,31.35
Effective Latency (CO-aware) (ms),696.70,661.59,731.81,1393.40,662.29,665.10,668.61,679.14,696.70,714.26,724.79,728.30,731.11,35.11
Effective Prefill Concurrency,0.20,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.40
Effective Prefill Throughput (tokens/sec),183.45,0.00,1214.40,,,,,,0.00,,731.93,1214.40,1214.40,380.62
Effective Prefill Throughput Per User (tokens/sec/user),183.45,0.00,1214.40,,,,,,0.00,,731.93,1214.40,1214.40,380.62
Effective Total Throughput (tokens/sec),227.88,0.00,1214.40,,,,,,55.82,,731.93,1214.40,1214.40,359.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,31.50,31.00,32.00,63.00,31.01,31.05,31.10,31.25,31.50,31.75,31.90,31.95,31.99,0.50
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),9.48,9.47,9.49,18.96,9.47,9.47,9.47,9.47,9.48,9.49,9.49,9.49,9.49,0.01
HTTP Data Sent (KB),0.68,0.61,0.75,1.36,0.61,0.62,0.63,0.65,0.68,0.71,0.73,0.74,0.74,0.07
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),695.76,660.65,730.86,1391.51,661.35,664.16,667.67,678.20,695.76,713.31,723.84,727.35,730.16,35.11
HTTP Receiving (ms),555.72,555.34,556.09,1111.43,555.35,555.38,555.42,555.53,555.72,555.91,556.02,556.06,556.09,0.38
HTTP Sending (ms),0.19,0.18,0.20,0.38,0.18,0.18,0.18,0.19,0.19,0.19,0.20,0.20,0.20,0.01
HTTP Total Time (ms),695.76,660.65,730.86,1391.51,661.35,664.16,667.67,678.20,695.76,713.31,723.84,727.35,730.16,35.11
HTTP Waiting (TTFB) (ms),139.85,105.13,174.57,279.70,105.82,108.60,112.07,122.49,139.85,157.21,167.63,171.10,173.88,34.72
Input Sequence Length (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),17.93,0.00,41.94,1111.42,1.01,11.90,13.31,16.36,18.11,19.00,23.65,24.20,34.32,5.50
Inter Token Latency (ms),17.93,17.91,17.94,35.85,17.91,17.92,17.92,17.92,17.93,17.93,17.94,17.94,17.94,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),32.00,32.00,32.00,64.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00
Output Token Count (tokens),32.00,32.00,32.00,64.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00
Output Token Throughput Per User (tokens/sec/user),55.78,55.75,55.82,111.57,55.75,55.75,55.75,55.77,55.78,55.80,55.81,55.82,55.82,0.04
Prefill Throughput Per User (tokens/sec/user),973.17,731.93,1214.40,1946.33,736.76,756.06,780.18,852.55,973.17,1093.78,1166.15,1190.28,1209.58,241.23
Request Latency (ms),695.85,660.74,730.97,1391.71,661.44,664.25,667.76,678.29,695.85,713.41,723.95,727.46,730.27,35.12
Time to First Output Token (ms),140.14,105.40,174.88,280.28,106.10,108.88,112.35,122.77,140.14,157.51,167.93,171.41,174.18,34.74
Time to First Token (ms),140.14,105.40,174.88,280.28,106.10,108.88,112.35,122.77,140.14,157.51,167.93,171.41,174.18,34.74
Time to Second Token (ms),18.35,18.29,18.41,36.69,18.29,18.29,18.30,18.32,18.35,18.38,18.40,18.40,18.41,0.06
Tokens In Flight (tokens),140.25,0.00,160.00,,,,,,140.00,,155.00,157.00,159.00,12.51
Usage Completion Tokens (tokens),32.00,32.00,32.00,64.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00
Usage Prompt Tokens (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Total Tokens (tokens),160.00,160.00,160.00,320.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,160.00,0.00

Metric,Value
Benchmark Duration (sec),1.39
Input Token Throughput (tokens/sec),183.45
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),45.86
Request Count,2.00
Request Throughput (requests/sec),1.43
Total Input Sequence Length (tokens),256.00
Total Output Sequence Length (tokens),64.00
Total Output Tokens (tokens),64.00
Total Token Throughput (tokens/sec),229.32
Total Usage Completion Tokens (tokens),64.00
Total Usage Prompt Tokens (tokens),256.00
Total Usage Total Tokens (tokens),320.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
