Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),153.85,0.00,627.30,,,,,,157.77,,173.12,180.75,214.59,32.17
Active Decode Throughput Per User (tokens/sec/user),12.95,0.00,52.27,,,,,,13.15,,14.46,15.21,18.83,2.48
Active Prefill Throughput (tokens/sec),6935.12,577.97,14711.74,,,,,,5226.96,,14711.74,14711.74,14711.74,4800.96
Active Prefill Throughput Per User (tokens/sec/user),841.97,577.97,3049.09,,,,,,746.71,,1225.98,1225.98,1225.98,229.17
Active Total Throughput (tokens/sec),459.17,13.30,14711.74,,,,,,157.28,,157.28,157.28,11675.57,1725.33
Credit-to-Start Latency (ms),1.65,0.84,3.27,19.79,0.85,0.89,0.94,0.99,1.31,2.10,2.95,3.11,3.24,0.82
Decode Duration (ms),78057.51,76886.79,79218.28,936690.18,76899.16,76948.63,77024.08,77432.27,78079.45,78696.18,79009.60,79113.68,79197.36,762.77
E2E Output Token Throughput (tokens/sec/user),12.76,12.73,12.82,153.16,12.73,12.73,12.73,12.74,12.76,12.78,12.80,12.81,12.82,0.03
Effective Concurrency,11.96,0.00,12.00,,,,,,12.00,,12.00,12.00,12.00,0.50
Effective Decode Concurrency,11.64,0.00,12.00,,,,,,12.00,,12.00,12.00,12.00,1.74
Effective Decode Throughput (tokens/sec),152.55,0.00,627.30,,,,,,157.70,,173.09,180.75,212.37,34.99
Effective Decode Throughput Per User (tokens/sec/user),12.84,0.00,52.27,,,,,,13.15,,14.45,15.17,18.83,2.74
Effective Latency (CO-aware) (ms),80233.11,79893.42,80468.45,962797.27,79902.46,79938.65,79983.47,80110.45,80256.68,80389.16,80442.46,80455.62,80465.88,182.00
Effective Prefill Concurrency,0.32,0.00,12.00,,,,,,0.00,,0.00,0.00,11.00,1.68
Effective Prefill Throughput (tokens/sec),306.59,0.00,14711.74,,,,,,0.00,,0.00,0.00,11662.65,1746.76
Effective Prefill Throughput Per User (tokens/sec/user),37.22,0.00,3049.09,,,,,,0.00,,0.00,0.00,1060.24,179.65
Effective Total Throughput (tokens/sec),459.13,0.00,14711.74,,,,,,157.28,,157.28,157.28,11675.57,1725.27
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),32.44,0.00,99.15,389.26,0.00,0.00,0.00,0.00,0.00,96.04,97.28,98.13,98.95,45.88
HTTP Connection Overhead (ms),32.84,0.00,99.15,394.08,0.00,0.00,0.00,0.00,0.00,97.63,98.98,99.08,99.14,46.44
HTTP Connection Reused (ratio),0.67,0.00,1.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),244.80,244.60,245.11,2937.59,244.61,244.63,244.65,244.71,244.78,244.86,244.96,245.04,245.10,0.14
HTTP Data Sent (KB),8.88,8.57,9.24,106.51,8.57,8.58,8.61,8.72,8.84,9.02,9.20,9.23,9.23,0.22
HTTP DNS Lookup (ms),0.40,0.00,1.72,4.82,0.00,0.00,0.00,0.00,0.00,0.37,1.61,1.67,1.71,0.70
HTTP Duration (excl. conn) (ms),80231.35,79892.50,80466.89,962776.17,79901.50,79937.50,79981.93,80108.70,80255.61,80387.20,80439.54,80453.23,80464.16,181.76
HTTP Receiving (ms),78059.45,76909.84,79218.28,936713.38,76919.67,76958.99,77024.07,77432.33,78079.46,78696.20,79009.60,79113.68,79197.36,759.84
HTTP Sending (ms),32.72,0.19,99.34,392.67,0.19,0.21,0.22,0.22,0.26,96.53,97.72,98.46,99.16,45.95
HTTP Total Time (ms),80264.19,79892.50,80564.20,963170.25,79901.50,79937.50,79981.93,80108.70,80255.61,80485.89,80538.68,80551.56,80561.67,218.99
