Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),1.03,0.61,1.62,12.40,0.61,0.64,0.67,0.82,0.97,1.31,1.33,1.46,1.59,0.30
Decode Duration (ms),9031.09,8727.20,9636.70,108373.04,8730.26,8742.49,8755.22,8794.15,8959.99,9175.20,9380.69,9498.08,9608.98,285.25
Effective Concurrency,3.63,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.16
Effective Decode Concurrency,3.26,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.48
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),10056.15,10036.23,10079.30,120673.79,10036.26,10036.37,10036.51,10036.86,10053.41,10078.78,10079.02,10079.16,10079.27,17.49
Effective Prefill Concurrency,0.37,0.00,4.00,,,,,,0.00,,2.00,4.00,4.00,1.06
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,228.08,224.00,232.00,2737.00,224.11,224.55,225.10,226.75,228.50,229.25,230.90,231.45,231.89,2.29
HTTP Chunks Sent,1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),54.90,53.97,55.69,658.86,54.00,54.11,54.25,54.63,54.90,55.27,55.56,55.63,55.68,0.51
HTTP Data Sent (KB),8.90,8.57,9.31,106.79,8.57,8.58,8.61,8.74,8.87,9.06,9.21,9.26,9.30,0.23
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),10055.05,10034.84,10078.47,120660.60,10034.87,10034.98,10035.15,10035.74,10051.88,10078.05,10078.15,10078.29,10078.43,17.69
HTTP Receiving (ms),9031.09,8727.21,9636.70,108373.07,8730.27,8742.50,8755.22,8794.15,8959.99,9175.20,9380.69,9498.08,9608.98,285.25
HTTP Sending (ms),0.16,0.11,0.22,1.94,0.11,0.11,0.11,0.13,0.15,0.20,0.22,0.22,0.22,0.04
HTTP Total Time (ms),10055.05,10034.84,10078.47,120660.60,10034.87,10034.98,10035.15,10035.74,10051.88,10078.05,10078.15,10078.29,10078.43,17.69
HTTP Waiting (TTFB) (ms),1023.80,416.68,1320.65,12285.58,446.75,567.03,690.37,887.99,1093.96,1248.79,1306.84,1313.83,1319.28,284.70
Inter Chunk Latency (ms),39.99,0.00,275.03,108373.04,11.98,27.53,31.34,35.37,38.60,41.84,46.50,50.17,91.27,17.48
Request Latency (ms),10055.12,10034.90,10078.54,120661.39,10034.93,10035.04,10035.21,10035.82,10051.94,10078.12,10078.22,10078.36,10078.50,17.69
Time to First Output Token (ms),1024.03,416.89,1320.91,12288.35,446.95,567.22,690.55,888.20,1094.22,1249.06,1307.07,1314.08,1319.55,284.72
Time to First Token (ms),1024.03,416.89,1320.91,12288.35,446.95,567.22,690.55,888.20,1094.22,1249.06,1307.07,1314.08,1319.55,284.72
Time to Second Token (ms),162.06,26.93,274.43,1944.71,27.03,27.43,28.19,58.59,176.22,269.59,274.14,274.42,274.43,109.85
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),32.20
Request Count,12.00
Request Throughput (requests/sec),0.36
