Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),1.12,1.02,1.23,4.47,1.02,1.03,1.05,1.08,1.11,1.14,1.20,1.21,1.23,0.07
Decode Duration (ms),8981.47,8717.56,9338.27,35925.88,8720.01,8729.81,8742.06,8778.80,8935.03,9137.69,9258.04,9298.15,9330.25,244.01
Effective Concurrency,3.63,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.16
Effective Decode Concurrency,3.22,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.53
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),10124.14,10123.94,10124.45,40496.56,10123.94,10123.95,10123.96,10123.99,10124.09,10124.24,10124.36,10124.40,10124.44,0.20
Effective Prefill Concurrency,0.41,0.00,4.00,,,,,,0.00,,2.00,4.00,4.00,1.13
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,226.50,225.00,228.00,906.00,225.03,225.15,225.30,225.75,226.50,227.25,227.70,227.85,227.97,1.12
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),79.54,77.26,84.09,318.17,77.27,77.27,77.28,77.31,78.41,80.65,82.71,83.40,83.95,2.77
HTTP Connection Overhead (ms),81.10,78.73,85.72,324.41,78.73,78.75,78.77,78.82,79.98,82.26,84.34,85.03,85.58,2.83
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),54.27,53.94,54.56,217.06,53.94,53.97,54.00,54.10,54.28,54.44,54.51,54.54,54.56,0.24
HTTP Data Sent (KB),8.62,8.07,9.19,34.48,8.09,8.14,8.21,8.41,8.61,8.83,9.04,9.11,9.17,0.40
HTTP DNS Lookup (ms),1.56,1.41,1.64,6.23,1.41,1.44,1.46,1.55,1.59,1.61,1.62,1.63,1.64,0.09
HTTP Duration (excl. conn) (ms),10122.86,10122.58,10123.18,40491.42,10122.59,10122.61,10122.64,10122.72,10122.83,10122.97,10123.09,10123.14,10123.17,0.22
HTTP Receiving (ms),8981.52,8717.59,9338.33,35926.09,8720.04,8729.84,8742.10,8778.86,8935.08,9137.75,9258.10,9298.21,9330.30,244.01
HTTP Sending (ms),79.92,77.62,84.49,319.67,77.63,77.64,77.65,77.68,78.78,81.02,83.10,83.79,84.35,2.79
HTTP Total Time (ms),10203.96,10201.62,10208.31,40815.83,10201.62,10201.62,10201.62,10201.62,10202.95,10205.29,10207.10,10207.70,10208.18,2.73
HTTP Waiting (TTFB) (ms),1061.42,706.81,1327.61,4245.67,714.78,746.66,786.50,906.02,1105.62,1261.02,1300.97,1314.29,1324.94,242.89
Inter Chunk Latency (ms),40.32,14.61,271.31,35925.88,18.21,28.93,31.21,36.13,38.93,41.57,47.11,52.46,81.68,16.24
Request Latency (ms),10123.02,10122.77,10123.34,40492.09,10122.78,10122.79,10122.82,10122.88,10122.99,10123.13,10123.26,10123.30,10123.34,0.21
Time to First Output Token (ms),1141.55,784.65,1405.50,4566.21,792.68,824.83,865.01,985.54,1188.03,1344.04,1380.91,1393.21,1403.04,243.98
Time to First Token (ms),1141.55,784.65,1405.50,4566.21,792.68,824.83,865.01,985.54,1188.03,1344.04,1380.91,1393.21,1403.04,243.98
Time to Second Token (ms),162.82,30.84,271.21,651.27,32.36,38.45,46.06,68.89,174.61,268.54,270.14,270.68,271.10,108.12
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),10.12
Request Count,4.00
Request Throughput (requests/sec),0.36
