Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),131.37,3.67,40219.61,,,,,,139.76,,174.80,185.92,214.87,78.13
Active Decode Throughput Per User (tokens/sec/user),21.98,2.71,5612.89,,,,,,21.18,,28.84,31.20,39.97,12.68
Active Prefill Throughput (tokens/sec),6614.93,859.35,12353.88,,,,,,5800.93,,12353.88,12353.88,12353.88,3573.08
Active Prefill Throughput Per User (tokens/sec/user),1502.42,859.35,2855.13,,,,,,1544.23,,2164.02,2164.02,2855.13,498.03
Active Total Throughput (tokens/sec),392.61,25.58,12353.88,,,,,,158.42,,158.42,158.42,8735.48,1458.15
Credit-to-Start Latency (ms),1.90,0.73,5.12,22.80,0.74,0.80,0.85,0.91,1.00,2.82,3.01,3.96,4.89,1.32
Decode Duration (ms),47845.30,39991.46,52115.70,574143.63,39997.96,40023.99,40075.56,40467.16,51484.44,51656.90,51884.24,52000.14,52092.59,5399.01
E2E Output Token Throughput (tokens/sec/user),21.11,18.95,24.89,253.26,18.96,19.00,19.05,19.21,19.37,24.83,24.86,24.87,24.88,2.65
Effective Concurrency,6.28,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.98
Effective Decode Concurrency,6.10,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.09
Effective Decode Throughput (tokens/sec),130.44,0.00,40219.61,,,,,,138.74,,174.76,185.83,214.87,78.63
Effective Decode Throughput Per User (tokens/sec/user),21.83,0.00,5612.89,,,,,,21.13,,28.84,31.16,39.97,12.77
Effective Latency (CO-aware) (ms),49236.61,41149.97,54042.79,590839.36,41154.59,41173.08,41195.89,41241.96,52867.59,53299.84,53744.83,53893.53,54012.93,5691.00
Effective Prefill Concurrency,0.18,0.00,8.00,,,,,,0.00,,0.00,0.00,6.00,0.98
Effective Prefill Throughput (tokens/sec),262.15,0.00,12353.88,,,,,,0.00,,0.00,0.00,8656.06,1473.54
Effective Prefill Throughput Per User (tokens/sec/user),59.54,0.00,2855.13,,,,,,0.00,,0.00,0.00,1933.64,309.42
Effective Total Throughput (tokens/sec),392.59,0.00,12353.88,,,,,,158.42,,158.42,158.42,8735.48,1458.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1003.83,961.00,1024.00,12046.00,961.22,962.10,963.20,965.00,1024.00,1024.00,1024.00,1024.00,1024.00,28.54
HTTP Chunks Sent,1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),244.73,244.22,245.03,2936.79,244.23,244.31,244.40,244.64,244.76,244.92,244.94,244.98,245.02,0.23
HTTP Data Sent (KB),8.88,8.57,9.24,106.51,8.57,8.58,8.61,8.72,8.84,9.02,9.20,9.23,9.23,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),49234.63,41147.10,54037.56,590815.54,41151.71,41170.16,41192.91,41239.11,52866.55,53298.90,53743.83,53890.62,54008.17,5691.62
HTTP Receiving (ms),47845.31,39991.47,52115.70,574143.67,39997.97,40024.00,40075.57,40467.17,51484.44,51656.90,51884.25,52000.14,52092.59,5399.00
HTTP Sending (ms),0.21,0.15,0.24,2.47,0.16,0.16,0.17,0.18,0.21,0.24,0.24,0.24,0.24,0.03
HTTP Total Time (ms),49234.63,41147.10,54037.56,590815.54,41151.71,41170.16,41192.91,41239.11,52866.55,53298.90,53743.83,53890.62,54008.17,5691.62
HTTP Waiting (TTFB) (ms),1389.12,661.77,2392.18,16669.41,668.16,693.73,740.64,929.85,1179.89,1814.67,2257.20,2332.65,2380.27,569.44
Input Sequence Length (tokens),2056.00,2056.00,2056.00,24672.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,0.00
Inter Chunk Latency (ms),47.02,0.00,287.51,574143.63,0.00,29.65,35.13,40.47,47.34,51.69,55.92,60.13,120.49,18.92
Inter Token Latency (ms),46.77,39.09,50.94,561.24,39.10,39.12,39.17,39.56,50.33,50.50,50.72,50.83,50.92,5.28
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),21.68,19.63,25.58,260.18,19.64,19.67,19.72,19.80,19.87,25.28,25.53,25.56,25.58,2.66
Prefill Throughput Per User (tokens/sec/user),1750.83,859.35,3105.26,21009.94,863.83,881.76,912.02,1137.15,1742.85,2210.43,2791.22,2967.69,3077.74,707.58
Request Latency (ms),49234.71,41147.17,54037.67,590816.56,41151.78,41170.24,41193.00,41239.18,52866.64,53298.98,53743.92,53890.71,54008.28,5691.62
Time to First Output Token (ms),1389.41,662.10,2392.50,16672.92,668.48,694.01,740.87,930.14,1180.18,1814.98,2257.48,2332.95,2380.59,569.45
Time to First Token (ms),1389.41,662.10,2392.50,16672.92,668.48,694.01,740.87,930.14,1180.18,1814.98,2257.48,2332.95,2380.59,569.45
Time to Second Token (ms),199.99,23.54,287.47,2399.89,24.30,27.36,35.10,103.53,264.91,269.92,273.59,279.87,285.95,100.87
Tokens In Flight (tokens),16039.37,0.00,24607.85,,,,,,17159.64,,23147.36,23876.11,24467.13,5386.92
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2056.00,2056.00,2056.00,24672.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,0.00
Usage Total Tokens (tokens),3080.00,3080.00,3080.00,36960.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,0.00

Metric,Value
Benchmark Duration (sec),94.11
Input Token Throughput (tokens/sec),262.15
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),130.56
Request Count,12.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),24672.00
Total Output Sequence Length (tokens),12288.00
Total Output Tokens (tokens),12288.00
Total Token Throughput (tokens/sec),392.71
Total Usage Completion Tokens (tokens),12288.00
Total Usage Prompt Tokens (tokens),24672.00
Total Usage Total Tokens (tokens),36960.00
