Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.13,0.00,8450.03,,,,,,55.13,,70.60,76.49,106.79,22.47
Active Decode Throughput Per User (tokens/sec/user),55.13,0.00,8450.03,,,,,,55.13,,70.60,76.49,106.79,22.47
Active Prefill Throughput (tokens/sec),2358.79,1875.42,2505.03,,,,,,2383.78,,2489.32,2505.03,2505.03,147.10
Active Prefill Throughput Per User (tokens/sec/user),2358.79,1875.42,2505.03,,,,,,2383.78,,2489.32,2505.03,2505.03,147.10
Active Total Throughput (tokens/sec),256.33,52.61,2505.03,,,,,,55.28,,55.51,2362.68,2489.32,651.85
Credit-to-Start Latency (ms),0.93,0.64,3.56,18.60,0.64,0.65,0.65,0.70,0.76,0.83,1.11,1.28,3.10,0.62
Decode Duration (ms),2303.62,2287.80,2413.97,46072.43,2288.62,2291.90,2292.49,2296.11,2297.34,2302.11,2304.90,2313.21,2393.82,25.72
E2E Output Token Throughput (tokens/sec/user),50.72,48.32,51.09,1014.39,48.57,49.56,50.50,50.81,50.91,50.98,51.04,51.08,51.09,0.63
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.91,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.28
Effective Decode Throughput (tokens/sec),50.25,0.00,8450.03,,,,,,53.80,,69.78,75.73,103.94,26.55
Effective Decode Throughput Per User (tokens/sec/user),50.25,0.00,8450.03,,,,,,53.80,,69.78,75.73,103.94,26.55
Effective Latency (CO-aware) (ms),2525.00,2506.12,2649.96,50500.08,2506.18,2506.42,2508.85,2512.00,2514.85,2520.35,2535.45,2583.33,2636.64,32.42
Effective Prefill Concurrency,0.09,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Prefill Throughput (tokens/sec),205.77,0.00,2505.03,,,,,,0.00,,0.00,2362.68,2489.32,667.01
Effective Prefill Throughput Per User (tokens/sec/user),205.77,0.00,2505.03,,,,,,0.00,,0.00,2362.68,2489.32,667.01
Effective Total Throughput (tokens/sec),256.02,0.00,2505.03,,,,,,55.28,,55.51,2362.68,2489.32,651.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.90,125.00,128.00,2538.00,125.00,125.00,125.00,125.75,127.00,128.00,128.00,128.00,128.00,1.22
