Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),106.78,0.00,85859.89,,,,,,107.80,,134.91,151.37,214.43,193.01
Active Decode Throughput Per User (tokens/sec/user),27.04,0.00,21464.97,,,,,,27.02,,33.94,38.12,56.30,48.20
Active Prefill Throughput (tokens/sec),4493.47,1090.86,6385.02,,,,,,5666.35,,6385.02,6385.02,6385.02,1711.24
Active Prefill Throughput Per User (tokens/sec/user),1406.72,1090.86,2318.54,,,,,,1416.59,,1596.26,1755.78,2318.54,223.79
Active Total Throughput (tokens/sec),517.48,27.73,6385.02,,,,,,109.53,,111.20,3774.34,6302.07,1376.20
Credit-to-Start Latency (ms),0.82,0.57,1.14,16.31,0.58,0.60,0.67,0.72,0.77,0.92,0.98,1.04,1.12,0.14
Decode Duration (ms),4629.34,4525.10,4804.68,92586.87,4530.41,4551.64,4553.09,4577.15,4583.87,4714.83,4728.00,4745.70,4792.88,81.05
E2E Output Token Throughput (tokens/sec/user),25.64,25.20,25.96,512.76,25.21,25.27,25.28,25.56,25.67,25.74,25.92,25.95,25.96,0.22
Effective Concurrency,3.99,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.10
Effective Decode Concurrency,3.70,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.97
Effective Decode Throughput (tokens/sec),101.57,0.00,85859.89,,,,,,106.96,,134.33,149.11,212.20,189.63
Effective Decode Throughput Per User (tokens/sec/user),25.72,0.00,21464.97,,,,,,26.80,,33.73,37.95,53.76,47.37
Effective Latency (CO-aware) (ms),4993.77,4932.50,5080.31,99875.33,4932.52,4932.62,4939.09,4973.41,4987.69,5007.90,5064.85,5065.77,5077.41,42.20
Effective Prefill Concurrency,0.29,0.00,4.00,,,,,,0.00,,0.00,3.00,4.00,0.96
Effective Prefill Throughput (tokens/sec),415.86,0.00,6385.02,,,,,,0.00,,0.00,3747.47,6302.07,1402.40
Effective Prefill Throughput Per User (tokens/sec/user),130.19,0.00,2318.54,,,,,,0.00,,0.00,1416.59,1596.26,413.31
Effective Total Throughput (tokens/sec),517.43,0.00,6385.02,,,,,,109.53,,111.20,3774.34,6302.07,1376.14
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,125.50,118.00,128.00,2510.00,118.19,118.95,119.90,126.00,127.00,127.00,128.00,128.00,128.00,3.11
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),31.14,31.11,31.21,622.81,31.11,31.11,31.12,31.12,31.14,31.15,31.17,31.18,31.20,0.02
HTTP Data Sent (KB),2.38,2.14,2.53,47.50,2.17,2.26,2.27,2.33,2.38,2.43,2.47,2.50,2.52,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4992.88,4931.50,5079.57,99857.61,4931.52,4931.60,4938.17,4972.58,4986.84,5006.87,5063.76,5064.57,5076.57,42.20
HTTP Receiving (ms),4629.35,4525.10,4804.69,92586.92,4530.41,4551.64,4553.09,4577.15,4583.87,4714.83,4728.00,4745.71,4792.90,81.05
HTTP Sending (ms),0.15,0.11,0.23,2.97,0.11,0.11,0.11,0.12,0.12,0.16,0.23,0.23,0.23,0.04
HTTP Total Time (ms),4992.88,4931.50,5079.57,99857.61,4931.52,4931.60,4938.17,4972.58,4986.84,5006.87,5063.76,5064.57,5076.57,42.20
HTTP Waiting (TTFB) (ms),363.39,224.10,476.43,7267.72,227.11,239.16,254.07,269.06,379.22,432.34,444.46,475.22,476.19,81.81
Input Sequence Length (tokens),520.00,520.00,520.00,10400.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,0.00
Inter Chunk Latency (ms),36.58,0.00,197.67,92586.87,0.00,14.68,25.61,31.89,35.96,39.67,44.32,51.35,120.08,16.88
Inter Token Latency (ms),36.45,35.63,37.83,729.03,35.67,35.84,35.85,36.04,36.09,37.12,37.23,37.37,37.74,0.64
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,2560.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,2560.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),27.44,26.43,28.07,548.84,26.50,26.76,26.86,26.94,27.71,27.75,27.89,27.90,28.03,0.47
Prefill Throughput Per User (tokens/sec/user),1515.62,1090.86,2318.54,30312.43,1091.44,1093.77,1170.07,1202.18,1377.47,1931.08,2045.77,2173.00,2289.43,385.91
Request Latency (ms),4992.95,4931.59,5079.64,99859.03,4931.61,4931.70,4938.26,4972.64,4986.90,5006.94,5063.86,5064.65,5076.64,42.20
Time to First Output Token (ms),363.61,224.28,476.69,7272.15,227.29,239.35,254.27,269.28,379.49,432.55,444.64,475.42,476.44,81.81
Time to First Token (ms),363.61,224.28,476.69,7272.15,227.29,239.35,254.27,269.28,379.49,432.55,444.64,475.42,476.44,81.81
Time to Second Token (ms),62.03,23.42,174.67,1240.66,23.42,23.42,25.09,28.44,39.34,72.86,163.94,166.80,173.10,48.94
Tokens In Flight (tokens),2313.27,0.00,2589.00,,,,,,2316.94,,2531.78,2557.93,2579.97,162.83
Usage Completion Tokens (tokens),128.00,128.00,128.00,2560.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),520.00,520.00,520.00,10400.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,0.00
Usage Total Tokens (tokens),648.00,648.00,648.00,12960.00,648.00,648.00,648.00,648.00,648.00,648.00,648.00,648.00,648.00,0.00

Metric,Value
Benchmark Duration (sec),25.01
Input Token Throughput (tokens/sec),415.86
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),102.37
Request Count,20.00
Request Throughput (requests/sec),0.80
Total Input Sequence Length (tokens),10400.00
Total Output Sequence Length (tokens),2560.00
Total Output Tokens (tokens),2560.00
Total Token Throughput (tokens/sec),518.23
Total Usage Completion Tokens (tokens),2560.00
Total Usage Prompt Tokens (tokens),10400.00
Total Usage Total Tokens (tokens),12960.00
