Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),105.05,5.27,78862.24,,,,,,110.10,,127.57,136.92,170.62,225.00
Active Decode Throughput Per User (tokens/sec/user),26.69,5.27,19715.56,,,,,,27.54,,32.16,36.36,45.14,56.16
Active Prefill Throughput (tokens/sec),3209.32,802.34,4299.46,,,,,,4299.46,,4299.46,4299.46,4299.46,1180.55
Active Prefill Throughput Per User (tokens/sec/user),963.42,802.34,1125.74,,,,,,1074.87,,1074.87,1074.87,1074.87,119.90
Active Total Throughput (tokens/sec),505.83,28.13,4299.46,,,,,,110.03,,1658.47,4299.46,4299.46,1117.98
Credit-to-Start Latency (ms),1.11,0.96,1.25,4.44,0.97,0.98,1.00,1.06,1.12,1.17,1.22,1.23,1.24,0.10
Decode Duration (ms),4619.69,4513.98,4772.01,18478.76,4514.00,4514.11,4514.25,4514.67,4596.39,4701.41,4743.77,4757.89,4769.19,110.39
E2E Output Token Throughput (tokens/sec/user),24.86,24.75,25.06,99.44,24.75,24.75,24.75,24.75,24.81,24.92,25.00,25.03,25.05,0.13
Effective Concurrency,3.98,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.22
Effective Decode Concurrency,3.57,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.13
Effective Decode Throughput (tokens/sec),98.11,0.00,78862.24,,,,,,109.62,,127.47,135.81,170.62,219.00
Effective Decode Throughput Per User (tokens/sec/user),24.93,0.00,19715.56,,,,,,27.41,,31.87,34.23,45.14,54.67
Effective Latency (CO-aware) (ms),5150.21,5109.04,5172.66,20600.85,5110.18,5114.74,5120.45,5137.58,5159.58,5172.21,5172.48,5172.57,5172.65,25.92
Effective Prefill Concurrency,0.41,0.00,4.00,,,,,,0.00,,2.00,4.00,4.00,1.12
Effective Prefill Throughput (tokens/sec),407.10,0.00,4299.46,,,,,,0.00,,1604.71,4299.46,4299.46,1147.86
Effective Prefill Throughput Per User (tokens/sec/user),122.21,0.00,1125.74,,,,,,0.00,,802.36,1074.87,1074.87,323.46
Effective Total Throughput (tokens/sec),505.21,0.00,4299.46,,,,,,110.03,,1658.47,4299.46,4299.46,1117.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,512.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),80.76,77.19,84.33,323.03,77.28,77.63,78.08,79.41,80.76,82.10,83.44,83.88,84.24,2.56
HTTP Connection Overhead (ms),82.35,78.74,86.03,329.40,78.83,79.20,79.65,81.01,82.31,83.65,85.08,85.56,85.94,2.61
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),31.13,31.10,31.15,124.51,31.11,31.11,31.11,31.12,31.13,31.14,31.14,31.14,31.15,0.01
HTTP Data Sent (KB),2.27,2.04,2.49,9.07,2.05,2.08,2.11,2.21,2.27,2.33,2.43,2.46,2.48,0.16
HTTP DNS Lookup (ms),1.59,1.49,1.70,6.37,1.50,1.50,1.51,1.54,1.59,1.64,1.68,1.69,1.70,0.08
HTTP Duration (excl. conn) (ms),5148.94,5107.72,5171.56,20595.76,5108.86,5113.44,5119.16,5136.32,5158.24,5170.86,5171.28,5171.42,5171.53,25.94
HTTP Receiving (ms),4619.75,4514.04,4772.07,18478.99,4514.07,4514.18,4514.31,4514.73,4596.44,4701.46,4743.82,4757.95,4769.24,110.39
HTTP Sending (ms),81.16,77.64,84.73,324.65,77.73,78.07,78.51,79.81,81.14,82.50,83.83,84.28,84.64,2.54
HTTP Total Time (ms),5231.29,5190.57,5256.66,20925.16,5191.59,5195.68,5200.78,5216.09,5238.96,5254.17,5255.66,5256.16,5256.56,26.61
HTTP Waiting (TTFB) (ms),448.03,253.90,576.07,1792.13,257.99,274.36,294.82,356.19,481.08,572.92,574.81,575.44,575.94,134.86
Input Sequence Length (tokens),527.00,527.00,527.00,2108.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,0.00
Inter Chunk Latency (ms),36.59,0.05,189.87,18478.76,0.79,24.46,27.73,32.81,35.69,38.91,41.77,49.02,113.76,15.27
Inter Token Latency (ms),36.38,35.54,37.57,145.50,35.54,35.54,35.55,35.55,36.19,37.02,37.35,37.46,37.55,0.87
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,512.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,512.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),27.51,26.61,28.13,110.03,26.63,26.69,26.77,27.02,27.64,28.13,28.13,28.13,28.13,0.65
Prefill Throughput Per User (tokens/sec/user),1074.87,802.34,1569.01,4299.46,802.34,802.34,802.35,802.37,964.06,1236.56,1436.03,1502.52,1555.71,314.36
Request Latency (ms),5149.10,5107.89,5171.70,20596.41,5109.03,5113.61,5119.33,5136.48,5158.41,5171.03,5171.43,5171.57,5171.68,25.93
Time to First Output Token (ms),529.41,335.88,656.83,2117.65,339.85,355.72,375.56,435.07,562.47,656.81,656.82,656.83,656.83,135.71
Time to First Token (ms),529.41,335.88,656.83,2117.65,339.85,355.72,375.56,435.07,562.47,656.81,656.82,656.83,656.83,135.71
Time to Second Token (ms),136.74,113.73,188.62,546.98,113.73,113.74,113.74,113.75,122.31,145.30,171.29,179.95,186.89,30.75
Tokens In Flight (tokens),2322.34,0.00,2613.94,,,,,,2324.24,,2554.59,2582.76,2606.90,194.88
Usage Completion Tokens (tokens),128.00,128.00,128.00,512.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),527.00,527.00,527.00,2108.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,0.00
Usage Total Tokens (tokens),655.00,655.00,655.00,2620.00,655.00,655.00,655.00,655.00,655.00,655.00,655.00,655.00,655.00,0.00

Metric,Value
Benchmark Duration (sec),5.17
Input Token Throughput (tokens/sec),407.10
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),98.88
Request Count,4.00
Request Throughput (requests/sec),0.77
Total Input Sequence Length (tokens),2108.00
Total Output Sequence Length (tokens),512.00
Total Output Tokens (tokens),512.00
Total Token Throughput (tokens/sec),505.98
Total Usage Completion Tokens (tokens),512.00
Total Usage Prompt Tokens (tokens),2108.00
Total Usage Total Tokens (tokens),2620.00
