Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),155.78,2.19,85812.40,,,,,,162.41,,197.45,221.74,451.97,249.39
Active Decode Throughput Per User (tokens/sec/user),19.57,2.05,10726.55,,,,,,20.32,,24.76,27.93,56.50,31.15
Active Prefill Throughput (tokens/sec),7385.30,923.32,13378.86,,,,,,6838.66,,13378.86,13378.86,13378.86,3838.91
Active Prefill Throughput Per User (tokens/sec/user),1220.88,923.27,2130.35,,,,,,1139.78,,1672.36,1672.36,1672.36,261.34
Active Total Throughput (tokens/sec),465.78,20.15,13378.86,,,,,,159.39,,159.39,159.39,8980.49,1656.77
Credit-to-Start Latency (ms),1.28,1.18,1.36,10.20,1.18,1.18,1.18,1.22,1.30,1.33,1.34,1.35,1.35,0.06
Decode Duration (ms),51352.13,50768.97,52317.19,410817.00,50768.97,50768.98,50768.99,50958.01,51263.17,51603.91,52034.91,52176.05,52288.96,522.87
E2E Output Token Throughput (tokens/sec/user),19.34,19.32,19.40,154.75,19.32,19.32,19.32,19.33,19.34,19.35,19.37,19.39,19.40,0.03
Effective Concurrency,7.99,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.21
Effective Decode Concurrency,7.75,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.23
Effective Decode Throughput (tokens/sec),154.39,0.00,85812.40,,,,,,162.24,,197.27,221.24,451.97,248.71
Effective Decode Throughput Per User (tokens/sec/user),19.40,0.00,10726.55,,,,,,20.30,,24.71,27.82,56.50,31.07
Effective Latency (CO-aware) (ms),52937.99,52785.38,53004.75,423503.93,52792.52,52821.06,52856.74,52924.11,52954.26,52983.96,53004.57,53004.66,53004.73,68.39
Effective Prefill Concurrency,0.24,0.00,8.00,,,,,,0.00,,0.00,0.00,7.00,1.21
Effective Prefill Throughput (tokens/sec),311.34,0.00,13378.86,,,,,,0.00,,0.00,0.00,8960.94,1680.37
Effective Prefill Throughput Per User (tokens/sec/user),51.47,0.00,2130.35,,,,,,0.00,,0.00,0.00,1280.13,251.13
Effective Total Throughput (tokens/sec),465.72,0.00,13378.86,,,,,,159.39,,159.39,159.39,8980.49,1656.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,973.50,968.00,980.00,7788.00,968.07,968.35,968.70,969.75,974.00,976.25,977.90,978.95,979.79,3.97
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),96.03,88.15,104.01,768.23,88.15,88.16,88.18,91.17,96.15,100.99,103.41,103.71,103.95,6.14
HTTP Connection Overhead (ms),97.87,89.86,106.04,782.98,89.87,89.91,89.96,92.96,97.90,102.97,105.35,105.70,105.97,6.19
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),244.73,244.50,244.96,1957.82,244.51,244.55,244.59,244.65,244.72,244.81,244.86,244.91,244.95,0.13
HTTP Data Sent (KB),8.86,8.07,9.35,70.85,8.10,8.23,8.38,8.66,8.93,9.17,9.23,9.29,9.34,0.39
HTTP DNS Lookup (ms),1.84,1.55,2.03,14.75,1.56,1.61,1.66,1.77,1.86,1.96,2.02,2.02,2.03,0.15
HTTP Duration (excl. conn) (ms),52936.53,52783.98,53003.38,423492.28,52791.10,52819.61,52855.24,52922.60,52952.75,52982.51,53003.21,53003.29,53003.36,68.40
HTTP Receiving (ms),51352.18,50769.01,52317.24,410817.42,50769.01,50769.02,50769.03,50958.08,51263.23,51603.95,52034.95,52176.10,52289.01,522.87
