Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),151.35,0.00,100543.76,,,,,,155.68,,172.94,180.90,247.48,179.10
Active Decode Throughput Per User (tokens/sec/user),12.69,0.00,8378.65,,,,,,12.97,,14.43,15.10,20.66,14.94
Active Prefill Throughput (tokens/sec),7950.55,662.57,17808.38,,,,,,6860.61,,17808.38,17808.38,17808.38,5097.53
Active Prefill Throughput Per User (tokens/sec/user),937.34,662.57,1738.60,,,,,,857.58,,1484.03,1484.03,1484.03,253.30
Active Total Throughput (tokens/sec),453.43,13.05,17808.38,,,,,,154.65,,154.65,154.65,12356.72,1797.84
Credit-to-Start Latency (ms),1.78,0.88,4.00,21.30,0.89,0.96,1.03,1.06,1.16,1.86,3.82,3.94,3.99,1.13
Decode Duration (ms),79385.39,78377.16,80666.00,952624.71,78377.64,78379.57,78412.78,78693.94,79377.15,79975.21,80316.04,80494.35,80631.67,730.78
E2E Output Token Throughput (tokens/sec/user),12.58,12.57,12.64,151.01,12.57,12.57,12.57,12.57,12.57,12.59,12.61,12.62,12.63,0.02
Effective Concurrency,11.98,0.00,12.00,,,,,,12.00,,12.00,12.00,12.00,0.30
Effective Decode Concurrency,11.69,0.00,12.00,,,,,,12.00,,12.00,12.00,12.00,1.63
Effective Decode Throughput (tokens/sec),150.64,0.00,100543.76,,,,,,155.64,,172.94,180.90,247.48,178.98
Effective Decode Throughput Per User (tokens/sec/user),12.63,0.00,8378.65,,,,,,12.97,,14.43,15.10,20.66,14.93
Effective Latency (CO-aware) (ms),81376.60,81043.29,81486.03,976519.17,81061.57,81134.70,81219.78,81312.54,81434.59,81467.99,81479.51,81483.14,81485.45,130.59
Effective Prefill Concurrency,0.29,0.00,12.00,,,,,,0.00,,0.00,0.00,11.00,1.61
Effective Prefill Throughput (tokens/sec),302.76,0.00,17808.38,,,,,,0.00,,0.00,0.00,12344.03,1817.95
Effective Prefill Throughput Per User (tokens/sec/user),35.69,0.00,1738.60,,,,,,0.00,,0.00,0.00,1122.18,186.08
Effective Total Throughput (tokens/sec),453.40,0.00,17808.38,,,,,,154.65,,154.65,154.65,12356.72,1797.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1017.58,1015.00,1020.00,12211.00,1015.11,1015.55,1016.00,1016.75,1017.50,1019.00,1019.00,1019.45,1019.89,1.44
HTTP Chunks Sent,1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),62.90,0.00,192.52,754.79,0.00,0.00,0.00,0.00,0.00,185.85,190.10,191.45,192.31,88.97
HTTP Connection Overhead (ms),88.25,0.00,293.88,1058.95,0.00,0.00,0.00,0.00,0.00,214.73,287.27,290.25,293.15,127.23
HTTP Connection Reused (ratio),0.67,0.00,1.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),244.76,244.54,244.93,2937.14,244.54,244.56,244.59,244.71,244.78,244.85,244.86,244.89,244.92,0.11
HTTP Data Sent (KB),8.88,8.57,9.24,106.51,8.57,8.58,8.61,8.72,8.84,9.02,9.20,9.23,9.23,0.22
HTTP DNS Lookup (ms),25.35,0.00,101.41,304.15,0.00,0.00,0.00,0.00,0.00,25.34,101.38,101.40,101.41,43.90
HTTP Duration (excl. conn) (ms),81374.71,81042.17,81484.42,976496.56,81060.45,81133.57,81218.64,81311.37,81432.14,81466.61,81476.39,81480.60,81483.66,130.18
HTTP Receiving (ms),79385.40,78377.20,80666.00,952624.83,78377.68,78379.59,78412.78,78693.98,79377.15,79975.21,80316.05,80494.35,80631.67,730.77
HTTP Sending (ms),63.19,0.18,192.98,758.23,0.18,0.20,0.21,0.24,0.25,186.29,190.32,191.76,192.74,89.04
HTTP Total Time (ms),81462.96,81042.17,81778.31,977555.51,81060.45,81133.57,81218.64,81311.37,81432.14,81689.47,81753.81,81764.84,81775.61,224.87
HTTP Waiting (TTFB) (ms),1926.12,375.93,2909.90,23113.50,428.54,638.96,902.33,1335.90,2055.22,2586.28,2877.18,2909.68,2909.86,781.68
Input Sequence Length (tokens),2056.00,2056.00,2056.00,24672.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,0.00
Inter Chunk Latency (ms),78.06,0.00,491.21,952624.71,0.93,59.35,67.45,72.73,76.66,80.30,85.95,93.97,151.95,27.12
Inter Token Latency (ms),77.60,76.62,78.85,931.21,76.62,76.62,76.65,76.92,77.59,78.18,78.51,78.68,78.82,0.71
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),12.89,12.68,13.05,154.65,12.69,12.71,12.74,12.79,12.89,13.00,13.05,13.05,13.05,0.12
Prefill Throughput Per User (tokens/sec/user),1484.03,662.57,5464.34,17808.38,662.63,662.88,670.97,741.49,1012.71,1538.62,2319.29,3782.25,5127.92,1293.86
Request Latency (ms),81374.82,81042.26,81484.61,976497.87,81060.54,81133.65,81218.72,81311.47,81432.21,81466.74,81476.49,81480.74,81483.84,130.19
Time to First Output Token (ms),1989.43,376.26,3103.07,23873.16,428.87,639.31,902.68,1336.26,2055.49,2772.79,3067.66,3101.61,3102.78,850.16
Time to First Token (ms),1989.43,376.26,3103.07,23873.16,428.87,639.31,902.68,1336.26,2055.49,2772.79,3067.66,3101.61,3102.78,850.16
Time to Second Token (ms),343.56,9.55,491.17,4122.69,14.17,32.63,51.52,260.40,457.62,484.74,490.72,491.16,491.17,185.15
Tokens In Flight (tokens),30624.25,0.00,36896.58,,,,,,30674.13,,35661.35,36285.00,36776.88,3696.66
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2056.00,2056.00,2056.00,24672.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,0.00
Usage Total Tokens (tokens),3080.00,3080.00,3080.00,36960.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,3080.00,0.00

Metric,Value
Benchmark Duration (sec),81.48
Input Token Throughput (tokens/sec),302.76
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),150.79
Request Count,12.00
Request Throughput (requests/sec),0.15
Total Input Sequence Length (tokens),24672.00
Total Output Sequence Length (tokens),12288.00
Total Output Tokens (tokens),12288.00
Total Token Throughput (tokens/sec),453.55
Total Usage Completion Tokens (tokens),12288.00
Total Usage Prompt Tokens (tokens),24672.00
Total Usage Total Tokens (tokens),36960.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
