Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),131.40,0.00,75848.70,,,,,,138.10,,175.02,185.04,214.78,116.26
Active Decode Throughput Per User (tokens/sec/user),21.96,0.00,9481.09,,,,,,21.55,,27.19,29.13,35.71,16.96
Active Prefill Throughput (tokens/sec),7431.87,962.53,12683.60,,,,,,6200.67,,12683.60,12683.60,12683.60,3621.23
Active Prefill Throughput Per User (tokens/sec/user),1664.62,962.53,4839.34,,,,,,1585.45,,2760.00,2760.00,4839.34,690.66
Active Total Throughput (tokens/sec),391.84,25.26,12683.60,,,,,,159.90,,159.90,159.90,11040.00,1511.45
Credit-to-Start Latency (ms),1.75,0.88,3.13,21.03,0.88,0.92,0.95,0.98,1.10,2.62,3.04,3.10,3.13,0.91
Decode Duration (ms),47706.26,40505.62,51967.37,572475.14,40505.73,40506.18,40533.53,41101.10,50704.55,51258.89,51569.33,51748.45,51923.58,4936.04
E2E Output Token Throughput (tokens/sec/user),21.16,19.40,24.63,253.87,19.40,19.41,19.41,19.42,19.45,24.60,24.61,24.62,24.63,2.44
Effective Concurrency,6.24,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.99
Effective Decode Concurrency,6.07,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.13
Effective Decode Throughput (tokens/sec),130.17,0.00,75848.70,,,,,,136.42,,175.02,184.90,214.78,116.40
Effective Decode Throughput Per User (tokens/sec/user),21.76,0.00,9481.09,,,,,,21.52,,27.16,29.11,35.56,17.01
Effective Latency (CO-aware) (ms),49007.20,41581.18,52791.49,588086.39,41584.79,41599.25,41616.28,41636.91,52653.23,52719.63,52752.22,52769.89,52787.17,5225.77
Effective Prefill Concurrency,0.17,0.00,8.00,,,,,,0.00,,0.00,0.00,7.00,0.96
Effective Prefill Throughput (tokens/sec),261.62,0.00,12683.60,,,,,,0.00,,0.00,0.00,11040.00,1528.89
Effective Prefill Throughput Per User (tokens/sec/user),58.60,0.00,4839.34,,,,,,0.00,,0.00,0.00,1870.51,333.02
Effective Total Throughput (tokens/sec),391.79,0.00,12683.60,,,,,,159.90,,159.90,159.90,11040.00,1511.36
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1021.17,1018.00,1023.00,12254.00,1018.11,1018.55,1019.10,1020.00,1022.00,1022.00,1022.00,1022.45,1022.89,1.46
HTTP Chunks Sent,1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),244.77,244.54,244.92,2937.28,244.55,244.59,244.62,244.67,244.80,244.87,244.89,244.90,244.91,0.12
HTTP Data Sent (KB),8.88,8.57,9.24,106.51,8.57,8.58,8.61,8.72,8.84,9.02,9.20,9.23,9.23,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),49005.37,41578.36,52790.26,588064.41,41582.00,41596.55,41613.62,41634.15,52652.21,52718.49,52751.12,52768.73,52785.95,5226.45
HTTP Receiving (ms),47706.26,40505.62,51967.37,572475.15,40505.73,40506.18,40533.54,41101.11,50704.55,51258.89,51569.33,51748.45,51923.58,4936.04
HTTP Sending (ms),0.19,0.12,0.25,2.30,0.12,0.13,0.14,0.16,0.20,0.22,0.23,0.24,0.25,0.04
HTTP Total Time (ms),49005.37,41578.36,52790.26,588064.41,41582.00,41596.55,41613.62,41634.15,52652.21,52718.49,52751.12,52768.73,52785.95,5226.45
HTTP Waiting (TTFB) (ms),1298.91,424.64,2135.73,15586.96,447.14,537.12,649.79,1013.34,1104.67,1677.52,2046.33,2086.56,2125.89,543.74
Input Sequence Length (tokens),2056.00,2056.00,2056.00,24672.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,0.00
Inter Chunk Latency (ms),46.88,0.00,494.08,572475.14,20.37,33.07,36.55,40.79,46.73,51.24,55.57,57.99,82.77,16.77
Inter Token Latency (ms),46.63,39.59,50.80,559.60,39.60,39.60,39.62,40.18,49.56,50.11,50.41,50.58,50.76,4.83
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),21.69,19.69,25.26,260.33,19.70,19.77,19.84,19.96,20.18,24.89,25.24,25.26,25.26,2.42
Prefill Throughput Per User (tokens/sec/user),1976.97,962.53,4839.33,23723.60,967.16,985.65,1004.56,1242.86,1861.49,2052.25,3185.77,3974.25,4666.32,1076.27
Request Latency (ms),49005.45,41578.44,52790.34,588065.36,41582.07,41596.62,41613.70,41634.21,52652.30,52718.57,52751.21,52768.82,52786.04,5226.46
Time to First Output Token (ms),1299.19,424.85,2136.03,15590.22,447.36,537.37,650.08,1013.59,1104.92,1677.81,2046.66,2086.88,2126.20,543.77
Time to First Token (ms),1299.19,424.85,2136.03,15590.22,447.36,537.37,650.08,1013.59,1104.92,1677.81,2046.66,2086.88,2126.20,543.77
Time to Second Token (ms),282.54,29.01,494.08,3390.43,29.48,31.36,33.38,67.17,373.32,469.42,489.32,492.68,493.80,202.80
Tokens In Flight (tokens),15932.52,0.00,24623.91,,,,,,17049.04,,23160.41,23878.09,24481.19,5443.57
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
