Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),197.40,2.61,42603.64,,,,,,233.96,,310.36,333.26,396.78,191.16
Active Decode Throughput Per User (tokens/sec/user),20.23,2.22,2662.73,,,,,,18.71,,29.45,32.72,39.49,13.04
Active Prefill Throughput (tokens/sec),5986.27,426.47,12479.12,,,,,,5606.27,,12479.12,12479.12,12479.12,3572.93
Active Prefill Throughput Per User (tokens/sec/user),799.75,426.47,1651.48,,,,,,607.72,,1401.57,1401.57,1651.48,376.77
Active Total Throughput (tokens/sec),985.56,27.61,12479.12,,,,,,279.61,,3802.72,5750.51,12479.12,2363.00
Credit-to-Start Latency (ms),1.71,0.61,3.90,34.15,0.64,0.77,0.79,0.84,1.32,2.37,3.01,3.47,3.82,0.99
Decode Duration (ms),6754.68,4600.33,7756.05,135093.65,4600.50,4601.16,4722.34,7033.66,7036.04,7426.53,7458.86,7748.91,7754.62,1067.10
E2E Output Token Throughput (tokens/sec/user),17.68,15.37,25.35,353.63,15.43,15.67,15.69,15.69,15.86,15.97,25.32,25.35,25.35,3.83
Effective Concurrency,11.43,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,5.81
Effective Decode Concurrency,10.29,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,6.13
Effective Decode Throughput (tokens/sec),193.42,0.00,42603.64,,,,,,204.04,,308.68,333.26,396.78,191.25
Effective Decode Throughput Per User (tokens/sec/user),19.82,0.00,2662.73,,,,,,18.62,,29.27,32.66,39.49,13.22
Effective Latency (CO-aware) (ms),7506.67,5049.98,8329.32,150133.42,5050.21,5051.13,5055.77,8016.90,8073.08,8159.56,8161.63,8170.31,8297.52,1228.17
Effective Prefill Concurrency,1.14,0.00,16.00,,,,,,0.00,,4.00,8.00,16.00,3.50
Effective Prefill Throughput (tokens/sec),791.94,0.00,12479.12,,,,,,0.00,,3667.36,5606.27,12479.12,2408.82
Effective Prefill Throughput Per User (tokens/sec/user),105.80,0.00,1651.48,,,,,,0.00,,458.42,779.94,1401.57,303.64
Effective Total Throughput (tokens/sec),985.36,0.00,12479.12,,,,,,279.61,,3802.72,5750.51,12479.12,2362.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.05,128.00,129.00,2561.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.05,128.81,0.22
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),53.05,0.00,141.20,1061.03,0.00,0.00,0.00,0.00,0.00,127.58,138.54,140.22,141.01,65.09
HTTP Connection Overhead (ms),53.37,0.00,142.33,1067.39,0.00,0.00,0.00,0.00,0.00,127.58,140.50,141.26,142.12,65.50
HTTP Connection Reused (ratio),0.60,0.00,1.00,12.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),31.13,31.05,31.18,622.63,31.06,31.08,31.10,31.12,31.13,31.15,31.17,31.17,31.18,0.03
HTTP Data Sent (KB),2.36,2.14,2.60,47.23,2.17,2.26,2.27,2.32,2.35,2.41,2.44,2.53,2.59,0.09
HTTP DNS Lookup (ms),0.32,0.00,2.17,6.36,0.00,0.00,0.00,0.00,0.00,0.00,2.06,2.13,2.16,0.76
HTTP Duration (excl. conn) (ms),7504.87,5049.06,8326.91,150097.43,5049.30,5050.22,5054.90,8016.01,8071.71,8157.02,8159.19,8168.90,8295.31,1227.68
HTTP Receiving (ms),6754.71,4600.33,7756.06,135094.23,4600.49,4601.16,4722.34,7033.67,7036.10,7426.65,7458.86,7748.92,7754.63,1067.11
HTTP Sending (ms),53.29,0.13,141.42,1065.73,0.13,0.13,0.13,0.20,0.26,127.89,138.92,140.62,141.26,65.13
HTTP Total Time (ms),7558.24,5049.06,8467.33,151164.82,5049.30,5050.22,5054.90,8016.01,8071.71,8284.60,8300.04,8309.67,8435.80,1258.39
HTTP Waiting (TTFB) (ms),696.87,261.57,1080.40,13937.47,261.58,261.62,309.08,452.71,644.83,992.34,994.95,999.37,1064.19,279.37
Input Sequence Length (tokens),520.00,520.00,520.00,10400.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,0.00
Inter Chunk Latency (ms),53.40,0.10,458.01,135093.65,10.63,29.66,34.48,44.62,54.02,58.76,61.61,66.58,111.90,28.55
Inter Token Latency (ms),53.19,36.22,61.07,1063.73,36.22,36.23,37.18,55.38,55.40,58.48,58.73,61.02,61.06,8.40
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,2560.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,2560.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),19.42,16.37,27.61,388.42,16.38,16.39,17.03,17.10,18.05,18.06,26.90,27.60,27.61,3.93
Prefill Throughput Per User (tokens/sec/user),904.27,426.47,1985.84,18085.38,433.26,460.42,462.26,463.21,806.05,1148.17,1686.39,1985.26,1985.73,511.17
Request Latency (ms),7504.94,5049.14,8327.10,150098.86,5049.37,5050.28,5054.97,8016.09,8071.79,8157.10,8159.37,8169.07,8295.49,1227.68
Time to First Output Token (ms),750.26,261.85,1219.32,15005.21,261.87,261.93,309.28,452.91,645.12,1122.59,1124.91,1129.75,1201.41,338.75
