Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),153.40,0.00,23421.77,,,,,,163.04,,215.47,239.43,341.69,87.13
Active Decode Throughput Per User (tokens/sec/user),23.32,0.00,5855.44,,,,,,23.34,,30.11,33.96,45.82,16.29
Active Prefill Throughput (tokens/sec),5510.31,728.59,9367.70,,,,,,5151.28,,9367.70,9367.70,9367.70,1947.40
Active Prefill Throughput Per User (tokens/sec/user),1081.43,728.59,2388.58,,,,,,937.46,,1593.64,1953.32,2108.21,362.18
Active Total Throughput (tokens/sec),751.84,27.52,9367.70,,,,,,182.33,,2520.69,5195.01,9367.70,1799.27
Credit-to-Start Latency (ms),0.80,0.58,1.20,16.02,0.59,0.60,0.61,0.69,0.80,0.89,0.91,0.94,1.15,0.14
Decode Duration (ms),5346.69,4615.58,5808.30,106933.73,4616.24,4618.87,4750.51,5349.64,5423.00,5501.65,5696.39,5808.25,5808.29,348.47
E2E Output Token Throughput (tokens/sec/user),21.92,20.95,25.41,438.38,20.95,20.96,20.97,20.98,21.11,21.27,25.22,25.40,25.41,1.68
Effective Concurrency,6.82,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.83
Effective Decode Concurrency,6.21,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.45
Effective Decode Throughput (tokens/sec),147.53,0.00,23421.77,,,,,,161.01,,213.96,237.33,341.69,90.37
Effective Decode Throughput Per User (tokens/sec/user),22.43,0.00,5855.44,,,,,,23.19,,29.67,33.33,45.82,16.59
Effective Latency (CO-aware) (ms),5871.40,5038.54,6109.62,117427.99,5038.90,5040.33,5076.12,6017.54,6064.21,6100.88,6103.96,6106.30,6108.95,403.29
Effective Prefill Concurrency,0.61,0.00,8.00,,,,,,0.00,,2.00,6.00,8.00,1.87
Effective Prefill Throughput (tokens/sec),604.07,0.00,9367.70,,,,,,0.00,,2467.91,5151.28,9367.70,1838.33
Effective Prefill Throughput Per User (tokens/sec/user),118.55,0.00,2388.58,,,,,,0.00,,728.68,937.46,1593.64,358.51
Effective Total Throughput (tokens/sec),751.60,0.00,9367.70,,,,,,182.33,,2520.69,5195.01,9367.70,1799.03
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.95,127.00,129.00,2559.00,127.00,127.00,127.90,128.00,128.00,128.00,128.00,128.05,128.81,0.38
