Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),60.12,1.15,58085.45,,,,,,52.32,,107.91,115.26,144.70,203.81
Active Decode Throughput Per User (tokens/sec/user),15.04,0.38,14521.36,,,,,,13.08,,26.98,28.82,36.17,50.95
Active Prefill Throughput (tokens/sec),6961.72,1740.57,12808.02,,,,,,6746.63,,12808.02,12808.02,12808.02,3934.66
Active Prefill Throughput Per User (tokens/sec/user),2285.29,1740.57,6061.39,,,,,,2248.88,,3202.01,3202.01,3202.01,616.93
Active Total Throughput (tokens/sec),180.46,15.22,12808.02,,,,,,60.57,,60.57,60.57,3511.28,1040.07
Credit-to-Start Latency (ms),1.07,0.98,1.24,4.27,0.98,0.99,0.99,1.01,1.03,1.09,1.18,1.21,1.23,0.10
Decode Duration (ms),67563.98,67211.93,68061.78,270255.92,67212.08,67212.66,67213.39,67215.59,67491.11,67839.50,67972.87,68017.33,68052.89,364.98
E2E Output Token Throughput (tokens/sec/user),14.97,14.97,14.97,59.88,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,14.97,0.00
Effective Concurrency,4.00,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.05
Effective Decode Concurrency,3.95,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.39
Effective Decode Throughput (tokens/sec),59.82,0.00,58085.45,,,,,,52.27,,107.81,115.26,144.70,203.33
Effective Decode Throughput Per User (tokens/sec/user),14.96,0.00,14521.36,,,,,,13.07,,26.95,28.82,36.17,50.83
Effective Latency (CO-aware) (ms),68400.70,68398.15,68403.29,273602.79,68398.15,68398.15,68398.16,68398.17,68400.68,68403.20,68403.25,68403.27,68403.28,2.53
Effective Prefill Concurrency,0.05,0.00,4.00,,,,,,0.00,,0.00,0.00,2.00,0.38
Effective Prefill Throughput (tokens/sec),120.63,0.00,12808.02,,,,,,0.00,,0.00,0.00,3481.15,1045.69
Effective Prefill Throughput Per User (tokens/sec/user),39.60,0.00,6061.39,,,,,,0.00,,0.00,0.00,1740.58,309.06
Effective Total Throughput (tokens/sec),180.44,0.00,12808.02,,,,,,60.57,,60.57,60.57,3511.28,1040.02
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1019.75,1019.00,1021.00,4079.00,1019.00,1019.00,1019.00,1019.00,1019.50,1020.25,1020.70,1020.85,1020.97,0.83
HTTP Chunks Sent,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
