Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),56.75,0.00,66362.23,,,,,,57.83,,81.54,91.07,117.51,95.03
Active Decode Throughput Per User (tokens/sec/user),14.19,0.00,16590.56,,,,,,14.46,,20.38,22.77,29.38,23.76
Active Prefill Throughput (tokens/sec),7132.05,1745.67,7696.13,,,,,,7436.39,,7696.13,7696.13,7696.13,1299.89
Active Prefill Throughput Per User (tokens/sec/user),1857.60,1745.67,1952.27,,,,,,1859.10,,1924.03,1924.03,1924.03,50.77
Active Total Throughput (tokens/sec),168.25,12.72,7696.13,,,,,,52.89,,70.05,70.05,7217.34,896.07
Credit-to-Start Latency (ms),2.85,0.74,4.88,34.23,0.76,0.82,0.96,1.81,3.13,3.74,4.19,4.50,4.80,1.27
Decode Duration (ms),72094.73,58369.09,80512.53,865136.76,58376.46,58405.92,58436.05,58436.13,77381.76,80463.83,80512.49,80512.51,80512.53,9753.94
E2E Output Token Throughput (tokens/sec/user),14.27,12.55,17.21,171.22,12.55,12.55,12.55,12.55,13.04,17.21,17.21,17.21,17.21,2.09
Effective Concurrency,4.00,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.04
Effective Decode Concurrency,3.94,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.49
Effective Decode Throughput (tokens/sec),55.89,0.00,66362.23,,,,,,57.68,,81.44,90.78,117.49,94.56
Effective Decode Throughput Per User (tokens/sec/user),13.98,0.00,16590.56,,,,,,14.42,,20.36,22.69,29.37,23.64
Effective Latency (CO-aware) (ms),73202.83,59491.77,81606.99,878433.92,59491.82,59492.01,59492.21,59493.81,78510.23,81604.07,81606.56,81606.86,81606.96,9776.58
Effective Prefill Concurrency,0.06,0.00,4.00,,,,,,0.00,,0.00,0.00,4.00,0.49
Effective Prefill Throughput (tokens/sec),112.34,0.00,7696.13,,,,,,0.00,,0.00,0.00,7217.34,902.87
Effective Prefill Throughput Per User (tokens/sec/user),29.26,0.00,1952.27,,,,,,0.00,,0.00,0.00,1839.33,231.38
Effective Total Throughput (tokens/sec),168.23,0.00,7696.13,,,,,,52.89,,70.05,70.05,7217.34,896.03
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1021.67,1019.00,1023.00,12260.00,1019.11,1019.55,1020.10,1021.75,1022.00,1022.00,1022.90,1023.00,1023.00,1.11
HTTP Chunks Sent,1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,12.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),286.62,286.19,286.87,3439.47,286.22,286.34,286.46,286.46,286.65,286.76,286.87,286.87,286.87,0.20
HTTP Data Sent (KB),8.91,8.58,9.32,106.87,8.58,8.59,8.61,8.74,8.87,9.07,9.22,9.27,9.31,0.23
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),73199.90,59486.80,81603.85,878398.77,59486.93,59487.44,59487.97,59490.64,78508.76,81601.10,81603.46,81603.65,81603.81,9777.33
HTTP Receiving (ms),72094.72,58369.09,80512.52,865136.67,58376.45,58405.91,58436.04,58436.13,77381.75,80463.82,80512.49,80512.50,80512.51,9753.93
HTTP Sending (ms),0.17,0.12,0.25,2.00,0.13,0.14,0.15,0.15,0.15,0.18,0.19,0.22,0.24,0.03
HTTP Total Time (ms),73199.90,59486.80,81603.85,878398.77,59486.93,59487.44,59487.97,59490.64,78508.76,81601.10,81603.46,81603.65,81603.81,9777.33
HTTP Waiting (TTFB) (ms),1105.01,1051.66,1177.55,13260.10,1051.67,1051.70,1052.10,1081.77,1104.38,1127.26,1150.09,1163.84,1174.81,38.61
Input Sequence Length (tokens),2056.00,2056.00,2056.00,24672.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,2056.00,0.00
Inter Chunk Latency (ms),70.58,0.00,3935.30,865136.76,23.03,35.56,42.89,51.21,64.34,73.81,96.35,106.06,142.91,117.98
Inter Token Latency (ms),70.47,57.06,78.70,845.69,57.06,57.09,57.12,57.12,75.64,78.65,78.70,78.70,78.70,9.53
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,12288.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
