Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),29.09,0.00,21153.90,,,,,,12.89,,59.49,64.56,87.01,58.39
Active Decode Throughput Per User (tokens/sec/user),29.09,0.00,21153.90,,,,,,12.89,,59.49,64.56,87.01,58.39
Active Prefill Throughput (tokens/sec),4435.31,4435.31,4435.31,,,,,,4435.31,,4435.31,4435.31,4435.31,0.00
Active Prefill Throughput Per User (tokens/sec/user),4435.31,4435.31,4435.31,,,,,,4435.31,,4435.31,4435.31,4435.31,0.00
Active Total Throughput (tokens/sec),86.60,29.09,4435.31,,,,,,29.09,,29.09,29.09,4435.31,500.09
Credit-to-Start Latency (ms),1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,0.00
Decode Duration (ms),35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,35171.78,0.00
E2E Output Token Throughput (tokens/sec/user),28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Throughput (tokens/sec),28.70,0.00,21153.90,,,,,,12.87,,59.37,64.44,86.39,58.10
Effective Decode Throughput Per User (tokens/sec/user),28.70,0.00,21153.90,,,,,,12.87,,59.37,64.44,86.39,58.10
Effective Latency (CO-aware) (ms),35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,35638.02,0.00
Effective Prefill Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),57.88,0.00,4435.31,,,,,,0.00,,0.00,0.00,4435.31,503.35
Effective Prefill Throughput Per User (tokens/sec/user),57.88,0.00,4435.31,,,,,,0.00,,0.00,0.00,4435.31,503.35
Effective Total Throughput (tokens/sec),86.58,0.00,4435.31,,,,,,29.09,,29.09,29.09,4435.31,500.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,922.00,922.00,922.00,922.00,922.00,922.00,922.00,922.00,922.00,922.00,922.00,922.00,922.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,0.00
HTTP Connection Overhead (ms),5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),286.61,286.61,286.61,286.61,286.61,286.61,286.61,286.61,286.61,286.61,286.61,286.61,286.61,0.00
HTTP Data Sent (KB),8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,8.53,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,35636.69,0.00
HTTP Receiving (ms),35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,35171.80,0.00
