Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),70.57,0.00,2085.98,,,,,,66.83,,115.67,122.32,148.34,39.44
Active Decode Throughput Per User (tokens/sec/user),17.67,0.00,521.50,,,,,,17.01,,28.92,30.58,37.08,9.84
Active Prefill Throughput (tokens/sec),7271.13,1817.78,12038.27,,,,,,5453.77,,12038.27,12038.27,12038.27,2944.06
Active Prefill Throughput Per User (tokens/sec/user),2146.90,1817.78,3009.57,,,,,,1817.92,,3009.57,3009.57,3009.57,532.73
Active Total Throughput (tokens/sec),211.25,17.89,12038.27,,,,,,71.34,,71.34,71.34,5471.43,1075.58
Credit-to-Start Latency (ms),1.68,1.14,3.19,6.74,1.14,1.15,1.16,1.18,1.21,1.71,2.60,2.89,3.13,0.87
Decode Duration (ms),57364.84,57170.36,57948.18,229459.35,57170.36,57170.36,57170.36,57170.37,57170.41,57364.87,57714.86,57831.52,57924.84,336.79
E2E Output Token Throughput (tokens/sec/user),17.57,17.56,17.58,70.27,17.56,17.56,17.56,17.56,17.56,17.57,17.57,17.57,17.58,0.01
Effective Concurrency,4.00,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.06
Effective Decode Concurrency,3.94,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.46
Effective Decode Throughput (tokens/sec),70.18,0.00,2085.98,,,,,,66.13,,115.63,122.11,148.34,39.67
Effective Decode Throughput Per User (tokens/sec/user),17.57,0.00,521.50,,,,,,16.53,,28.91,30.53,37.08,9.90
Effective Latency (CO-aware) (ms),58292.81,58263.61,58302.59,233171.22,58264.78,58269.44,58275.27,58292.75,58302.51,58302.56,58302.58,58302.59,58302.59,16.86
Effective Prefill Concurrency,0.06,0.00,4.00,,,,,,0.00,,0.00,0.00,3.00,0.46
Effective Prefill Throughput (tokens/sec),141.04,0.00,12038.27,,,,,,0.00,,0.00,0.00,5453.77,1083.39
