Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),120.39,0.00,60992.23,,,,,,118.72,,137.82,149.57,181.13,169.19
Active Decode Throughput Per User (tokens/sec/user),30.11,0.00,15248.06,,,,,,29.68,,34.45,37.39,45.28,42.30
Active Prefill Throughput (tokens/sec),6419.52,1566.41,6651.50,,,,,,6439.60,,6651.50,6651.50,6651.50,329.14
Active Prefill Throughput Per User (tokens/sec/user),1611.38,1566.41,1662.87,,,,,,1609.90,,1662.87,1662.87,1662.87,28.69
Active Total Throughput (tokens/sec),569.89,28.98,6651.50,,,,,,121.51,,121.93,6410.49,6651.50,1623.85
Credit-to-Start Latency (ms),0.79,0.57,1.13,15.83,0.58,0.60,0.67,0.71,0.75,0.85,0.98,1.07,1.11,0.14
Decode Duration (ms),4217.93,4162.37,4383.00,84358.67,4163.38,4167.43,4167.71,4171.51,4179.41,4187.57,4382.93,4382.95,4382.99,82.85
E2E Output Token Throughput (tokens/sec/user),28.20,27.19,28.54,563.98,27.19,27.19,27.19,28.37,28.45,28.48,28.51,28.51,28.53,0.51
Effective Concurrency,4.00,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.09
Effective Decode Concurrency,3.71,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,1.03
Effective Decode Throughput (tokens/sec),111.82,0.00,60992.23,,,,,,116.99,,137.26,148.47,177.83,165.97
Effective Decode Throughput Per User (tokens/sec/user),27.97,0.00,15248.06,,,,,,29.28,,34.31,37.12,45.28,41.49
Effective Latency (CO-aware) (ms),4541.43,4486.57,4708.21,90828.69,4487.43,4490.86,4491.23,4495.59,4499.80,4512.38,4708.14,4708.14,4708.20,83.68
Effective Prefill Concurrency,0.28,0.00,4.00,,,,,,0.00,,0.00,4.00,4.00,1.03
Effective Prefill Throughput (tokens/sec),457.85,0.00,6651.50,,,,,,0.00,,0.00,6410.49,6651.50,1654.47
Effective Prefill Throughput Per User (tokens/sec/user),114.93,0.00,1662.87,,,,,,0.00,,0.00,1602.62,1662.87,414.78
Effective Total Throughput (tokens/sec),569.67,0.00,6651.50,,,,,,121.51,,121.93,6410.49,6651.50,1623.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.45,125.00,128.00,2549.00,125.19,125.95,126.00,127.00,128.00,128.00,128.00,128.00,128.00,0.92
HTTP Chunks Sent,1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),36.63,36.38,36.71,732.50,36.38,36.39,36.41,36.64,36.66,36.68,36.69,36.70,36.71,0.10
HTTP Data Sent (KB),2.38,2.15,2.53,47.64,2.17,2.27,2.28,2.34,2.39,2.44,2.48,2.51,2.53,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4540.57,4485.43,4707.41,90811.50,4486.35,4490.05,4490.33,4494.76,4499.07,4511.32,4707.39,4707.40,4707.41,83.72
HTTP Receiving (ms),4217.93,4162.37,4383.00,84358.58,4163.38,4167.43,4167.71,4171.51,4179.40,4187.56,4382.93,4382.94,4382.99,82.85
HTTP Sending (ms),0.15,0.11,0.19,2.90,0.11,0.11,0.11,0.12,0.15,0.16,0.17,0.18,0.19,0.03
HTTP Total Time (ms),4540.57,4485.43,4707.41,90811.50,4486.35,4490.05,4490.33,4494.76,4499.07,4511.32,4707.39,4707.40,4707.41,83.72
HTTP Waiting (TTFB) (ms),322.50,311.26,331.77,6450.02,311.28,311.34,311.40,322.12,323.31,324.30,331.62,331.74,331.76,5.90
Input Sequence Length (tokens),520.00,520.00,520.00,10400.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,520.00,0.00
Inter Chunk Latency (ms),33.25,0.00,139.03,84358.67,6.63,24.94,27.55,30.86,33.27,35.72,37.99,41.62,47.93,7.55
