Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),166.27,1.84,349.48,,,,,,178.19,,210.30,228.90,253.29,54.88
Active Decode Throughput Per User (tokens/sec/user),20.93,1.84,43.68,,,,,,22.27,,26.29,28.61,31.66,6.49
Active Prefill Throughput (tokens/sec),6063.25,758.58,9736.27,,,,,,6631.00,,9736.27,9736.27,9736.27,2966.93
Active Prefill Throughput Per User (tokens/sec/user),964.30,758.38,1325.68,,,,,,947.29,,1217.03,1217.03,1217.03,163.44
Active Total Throughput (tokens/sec),833.06,22.03,9736.27,,,,,,176.61,,1647.83,6651.78,9736.27,2098.93
Credit-to-Start Latency (ms),1.25,1.14,1.42,10.01,1.14,1.14,1.15,1.15,1.27,1.29,1.35,1.39,1.41,0.09
Decode Duration (ms),5756.80,5572.23,6110.31,46054.40,5573.13,5576.72,5581.22,5710.29,5752.32,5764.97,5868.76,5989.54,6086.16,153.59
E2E Output Token Throughput (tokens/sec/user),20.40,20.38,20.42,163.22,20.38,20.38,20.38,20.38,20.40,20.42,20.42,20.42,20.42,0.02
Effective Concurrency,7.99,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.26
Effective Decode Concurrency,7.33,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.04
Effective Decode Throughput (tokens/sec),161.68,0.00,349.48,,,,,,175.08,,210.30,225.82,253.29,60.59
Effective Decode Throughput Per User (tokens/sec/user),20.35,0.00,43.68,,,,,,21.89,,26.29,28.23,31.66,7.26
Effective Latency (CO-aware) (ms),6275.01,6268.58,6281.37,50200.07,6268.59,6268.61,6268.65,6268.72,6275.01,6281.34,6281.35,6281.36,6281.37,6.31
Effective Prefill Concurrency,0.66,0.00,8.00,,,,,,0.00,,2.00,7.00,8.00,2.03
Effective Prefill Throughput (tokens/sec),670.92,0.00,9736.27,,,,,,0.00,,1516.76,6631.00,9736.27,2142.86
Effective Prefill Throughput Per User (tokens/sec/user),106.70,0.00,1325.68,,,,,,0.00,,758.38,947.29,1217.03,307.35
Effective Total Throughput (tokens/sec),832.60,0.00,9736.27,,,,,,176.61,,1647.83,6651.78,9736.27,2098.45
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.50,127.00,128.00,1020.00,127.00,127.00,127.00,127.00,127.50,128.00,128.00,128.00,128.00,0.50
HTTP Chunks Sent,1.00,1.00,1.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),6.93,4.25,14.38,55.48,4.26,4.28,4.30,4.46,4.66,7.01,14.14,14.26,14.35,4.20
HTTP Connection Overhead (ms),6.93,4.25,14.38,55.48,4.26,4.28,4.30,4.46,4.66,7.01,14.14,14.26,14.35,4.20
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),36.52,36.33,36.69,292.15,36.33,36.34,36.35,36.38,36.52,36.67,36.68,36.68,36.69,0.15
HTTP Data Sent (KB),2.39,2.05,2.54,19.14,2.07,2.13,2.20,2.28,2.48,2.51,2.52,2.53,2.54,0.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6273.56,6267.08,6280.04,50188.49,6267.10,6267.17,6267.26,6267.35,6273.46,6279.86,6279.94,6279.99,6280.03,6.28
HTTP Receiving (ms),5756.83,5572.26,6110.34,46054.62,5573.16,5576.75,5581.25,5710.32,5752.35,5765.00,5868.78,5989.56,6086.18,153.59
HTTP Sending (ms),7.37,4.64,14.87,58.94,4.64,4.67,4.70,4.88,5.09,7.45,14.61,14.74,14.84,4.23
HTTP Total Time (ms),6280.50,6271.99,6293.59,50243.97,6271.99,6272.00,6272.01,6272.03,6282.78,6284.30,6287.27,6290.43,6292.96,7.35
HTTP Waiting (TTFB) (ms),509.37,164.88,679.96,4074.93,189.03,285.63,406.39,509.91,510.06,552.64,679.96,679.96,679.96,148.69
Input Sequence Length (tokens),527.00,527.00,527.00,4216.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,0.00
Inter Chunk Latency (ms),45.51,22.95,548.22,46054.40,27.68,32.63,35.98,41.27,43.97,47.59,49.81,55.99,71.14,20.61
Inter Token Latency (ms),45.33,43.88,48.11,362.63,43.88,43.91,43.95,44.96,45.29,45.39,46.21,47.16,47.92,1.21
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),22.08,20.78,22.79,176.61,20.87,21.22,21.66,22.03,22.08,22.24,22.75,22.77,22.79,0.57
Prefill Throughput Per User (tokens/sec/user),1217.03,758.18,3105.27,9736.26,758.21,758.32,758.46,956.31,1022.75,1023.07,1648.12,2376.69,2959.55,722.38
Request Latency (ms),6273.76,6267.32,6280.22,50190.06,6267.33,6267.39,6267.47,6267.53,6273.68,6280.04,6280.12,6280.17,6280.21,6.27
Time to First Output Token (ms),516.96,169.71,695.09,4135.66,193.87,290.51,411.30,515.12,515.28,560.34,694.83,694.96,695.06,151.63
Time to First Token (ms),516.96,169.71,695.09,4135.66,193.87,290.51,411.30,515.12,515.28,560.34,694.83,694.96,695.06,151.63
Time to Second Token (ms),201.10,22.95,548.22,1608.82,22.95,22.96,22.97,157.79,202.91,203.06,306.62,427.42,524.06,151.65
Tokens In Flight (tokens),4677.86,0.00,5232.97,,,,,,4680.80,,5129.57,5184.79,5223.94,348.71
Usage Completion Tokens (tokens),128.00,128.00,128.00,1024.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),527.00,527.00,527.00,4216.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,527.00,0.00
Usage Total Tokens (tokens),655.00,655.00,655.00,5240.00,655.00,655.00,655.00,655.00,655.00,655.00,655.00,655.00,655.00,0.00

Metric,Value
Benchmark Duration (sec),6.28
Input Token Throughput (tokens/sec),670.92
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),162.96
Request Count,8.00
Request Throughput (requests/sec),1.27
Total Input Sequence Length (tokens),4216.00
Total Output Sequence Length (tokens),1024.00
Total Output Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),833.87
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Tokens (tokens),4216.00
Total Usage Total Tokens (tokens),5240.00
