Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),23.97,0.00,114.31,,,,,,20.41,,50.76,53.28,56.60,12.00
Active Decode Throughput Per User (tokens/sec/user),23.97,0.00,114.31,,,,,,20.41,,50.76,53.28,56.60,12.00
Active Prefill Throughput (tokens/sec),2360.28,2303.61,2419.81,,,,,,2303.61,,2419.81,2419.81,2419.81,58.08
Active Prefill Throughput Per User (tokens/sec/user),2360.28,2303.61,2419.81,,,,,,2303.61,,2419.81,2419.81,2419.81,58.08
Active Total Throughput (tokens/sec),116.36,19.01,2419.81,,,,,,19.01,,32.43,32.43,2419.81,455.53
Credit-to-Start Latency (ms),1.05,0.85,1.25,2.10,0.86,0.87,0.89,0.95,1.05,1.15,1.21,1.23,1.25,0.20
Decode Duration (ms),5299.02,3916.10,6681.95,10598.05,3943.76,4054.39,4192.69,4607.56,5299.02,5990.48,6405.36,6543.65,6654.29,1382.92
E2E Output Token Throughput (tokens/sec/user),24.77,18.54,31.00,49.54,18.66,19.16,19.78,21.65,24.77,27.88,29.75,30.38,30.88,6.23
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),23.01,0.00,114.31,,,,,,20.25,,50.48,53.10,56.60,12.67
Effective Decode Throughput Per User (tokens/sec/user),23.01,0.00,114.31,,,,,,20.25,,50.48,53.10,56.60,12.67
Effective Latency (CO-aware) (ms),5518.27,4129.78,6906.76,11036.54,4157.55,4268.63,4407.48,4824.03,5518.27,6212.51,6629.06,6767.91,6878.99,1388.49
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),93.30,0.00,2419.81,,,,,,0.00,,0.00,0.00,2419.81,460.04
Effective Prefill Throughput Per User (tokens/sec/user),93.30,0.00,2419.81,,,,,,0.00,,0.00,0.00,2419.81,460.04
Effective Total Throughput (tokens/sec),116.31,0.00,2419.81,,,,,,19.01,,32.43,32.43,2419.81,455.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.50,127.00,128.00,255.00,127.01,127.05,127.10,127.25,127.50,127.75,127.90,127.95,127.99,0.50
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),4.31,0.00,8.61,8.61,0.09,0.43,0.86,2.15,4.31,6.46,7.75,8.18,8.53,4.31
HTTP Connection Overhead (ms),4.31,0.00,8.61,8.61,0.09,0.43,0.86,2.15,4.31,6.46,7.75,8.18,8.53,4.31
