Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),211.28,11.21,1907.43,,,,,,214.10,,237.08,245.78,281.02,38.00
Active Decode Throughput Per User (tokens/sec/user),13.31,2.79,210.11,,,,,,13.38,,14.82,15.36,17.56,3.15
Active Prefill Throughput (tokens/sec),7285.16,417.48,8778.66,,,,,,8057.82,,8778.66,8778.66,8778.66,2408.45
Active Prefill Throughput Per User (tokens/sec/user),506.03,417.48,607.40,,,,,,503.61,,548.67,548.67,548.67,44.96
Active Total Throughput (tokens/sec),969.41,13.69,8778.66,,,,,,214.25,,2236.78,8057.82,8778.66,2321.52
Credit-to-Start Latency (ms),1.90,0.65,4.85,60.83,0.66,0.71,0.77,1.13,1.30,2.99,3.77,4.09,4.68,1.20
Decode Duration (ms),9528.20,9272.74,9583.47,304902.25,9272.75,9272.76,9274.31,9568.34,9570.49,9582.82,9582.86,9582.90,9583.29,109.47
E2E Output Token Throughput (tokens/sec/user),12.17,12.08,12.28,389.47,12.09,12.09,12.09,12.09,12.14,12.28,12.28,12.28,12.28,0.09
Effective Concurrency,15.95,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.72
Effective Decode Concurrency,14.45,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.60
Effective Decode Throughput (tokens/sec),192.64,0.00,1907.43,,,,,,211.79,,236.35,245.60,281.02,70.04
Effective Decode Throughput Per User (tokens/sec/user),12.13,0.00,210.11,,,,,,13.24,,14.78,15.35,17.56,4.83
Effective Latency (CO-aware) (ms),10519.21,10422.43,10593.33,336614.70,10423.23,10425.03,10425.54,10429.00,10544.18,10587.82,10589.04,10590.00,10592.50,73.29
Effective Prefill Concurrency,1.50,0.00,16.00,,,,,,0.00,,5.00,16.00,16.00,4.55
Effective Prefill Throughput (tokens/sec),776.64,0.00,8778.66,,,,,,0.00,,2091.00,8057.82,8778.66,2381.84
Effective Prefill Throughput Per User (tokens/sec/user),53.95,0.00,607.40,,,,,,0.00,,418.20,503.61,548.67,156.85
Effective Total Throughput (tokens/sec),969.28,0.00,8778.66,,,,,,214.25,,2236.78,8057.82,8778.66,2321.39
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),26.41,0.00,137.32,845.20,0.00,0.00,0.00,0.00,10.82,12.69,136.12,136.97,137.31,47.66
HTTP Connection Overhead (ms),26.41,0.00,137.32,845.20,0.00,0.00,0.00,0.00,10.82,12.69,136.12,136.97,137.31,47.66
HTTP Connection Reused (ratio),0.41,0.00,1.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),32.14,31.88,32.25,1028.35,31.89,32.00,32.09,32.11,32.15,32.17,32.20,32.20,32.24,0.07
HTTP Data Sent (KB),2.35,2.12,2.58,75.10,2.14,2.21,2.24,2.28,2.34,2.41,2.45,2.49,2.55,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),10517.19,10421.71,10592.03,336550.04,10422.06,10423.47,10424.16,10426.64,10541.80,10586.08,10586.29,10587.87,10591.33,73.35
HTTP Receiving (ms),9528.20,9272.73,9583.47,304902.35,9272.74,9272.76,9274.30,9568.35,9570.48,9582.81,9582.85,9582.89,9583.29,109.48
HTTP Sending (ms),26.68,0.13,137.54,853.67,0.14,0.16,0.16,0.22,11.14,13.10,136.28,137.16,137.51,47.64
HTTP Total Time (ms),10543.60,10421.71,10637.44,337395.23,10422.06,10423.47,10424.16,10426.64,10596.82,10598.79,10633.96,10635.73,10637.09,86.92
HTTP Waiting (TTFB) (ms),962.31,838.65,1088.86,30794.02,839.03,840.45,841.18,843.44,1004.20,1005.80,1088.18,1088.83,1088.86,91.64
Input Sequence Length (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),75.03,1.12,361.31,304902.25,49.01,64.05,66.82,70.49,74.04,77.18,80.35,84.72,126.51,18.11
Inter Token Latency (ms),75.03,73.01,75.46,2400.81,73.01,73.01,73.03,75.34,75.36,75.46,75.46,75.46,75.46,0.86
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),13.33,13.25,13.70,426.58,13.25,13.25,13.25,13.25,13.27,13.27,13.69,13.70,13.70,0.16
Prefill Throughput Per User (tokens/sec/user),526.14,417.48,610.34,16836.48,417.54,417.77,418.51,502.98,504.08,606.84,608.50,609.02,610.07,66.16
Request Latency (ms),10517.31,10421.78,10592.27,336553.87,10422.13,10423.54,10424.24,10426.72,10541.89,10586.30,10586.43,10588.07,10591.52,73.39
Time to First Output Token (ms),989.11,838.88,1226.40,31651.62,839.25,840.70,841.42,843.71,1015.71,1017.94,1223.39,1225.56,1226.23,128.25
Time to First Token (ms),989.11,838.88,1226.40,31651.62,839.25,840.70,841.42,843.71,1015.71,1017.94,1223.39,1225.56,1226.23,128.25
Time to Second Token (ms),79.82,61.34,89.26,2554.39,62.67,65.64,66.31,77.40,77.95,88.13,89.23,89.25,89.26,7.84
Tokens In Flight (tokens),9104.98,0.00,10225.00,,,,,,9131.00,,10016.00,10128.00,10208.00,748.61
Usage Completion Tokens (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,20480.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),21.09
Input Token Throughput (tokens/sec),776.64
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),194.16
Request Count,32.00
Request Throughput (requests/sec),1.52
Total Input Sequence Length (tokens),16384.00
Total Output Sequence Length (tokens),4096.00
Total Output Tokens (tokens),4096.00
Total Token Throughput (tokens/sec),970.80
Total Usage Completion Tokens (tokens),4096.00
Total Usage Prompt Tokens (tokens),16384.00
