Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),314.18,0.00,923.00,,,,,,354.06,,395.25,412.69,470.37,125.38
Active Decode Throughput Per User (tokens/sec/user),9.87,0.00,28.84,,,,,,11.06,,12.35,12.90,14.70,3.80
Active Prefill Throughput (tokens/sec),8280.45,261.20,15155.41,,,,,,9059.72,,15155.41,15155.41,15155.41,4153.76
Active Prefill Throughput Per User (tokens/sec/user),331.51,258.88,1215.73,,,,,,335.55,,473.61,473.61,473.61,68.42
Active Total Throughput (tokens/sec),1496.30,10.67,15155.41,,,,,,337.88,,4333.90,11868.00,15155.41,3223.17
Credit-to-Start Latency (ms),2.23,0.58,5.59,142.90,0.64,0.69,0.74,0.96,1.84,3.25,3.92,5.24,5.59,1.46
Decode Duration (ms),12202.00,11487.66,13024.25,780927.71,11488.22,11501.59,11502.72,11902.89,12115.59,12808.34,12810.38,13013.00,13021.65,502.69
E2E Output Token Throughput (tokens/sec/user),9.37,9.21,9.53,599.88,9.21,9.22,9.22,9.23,9.37,9.52,9.53,9.53,9.53,0.14
Effective Concurrency,31.98,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.60
Effective Decode Concurrency,28.57,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,8.90
Effective Decode Throughput (tokens/sec),297.36,0.00,923.00,,,,,,352.10,,394.55,412.17,470.37,141.00
Effective Decode Throughput Per User (tokens/sec/user),9.34,0.00,28.84,,,,,,11.00,,12.33,12.88,14.70,4.31
Effective Latency (CO-aware) (ms),13661.45,13430.56,13900.32,874332.49,13430.63,13438.49,13438.86,13450.50,13661.36,13867.72,13878.93,13879.52,13892.08,209.33
Effective Prefill Concurrency,3.41,0.00,32.00,,,,,,0.00,,16.00,32.00,32.00,8.88
Effective Prefill Throughput (tokens/sec),1198.80,0.00,15155.41,,,,,,0.00,,4175.26,11868.00,15155.41,3314.72
Effective Prefill Throughput Per User (tokens/sec/user),47.99,0.00,1215.73,,,,,,0.00,,261.62,370.88,473.61,119.52
Effective Total Throughput (tokens/sec),1496.16,0.00,15155.41,,,,,,337.88,,4333.90,11868.00,15155.41,3223.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),9.95,0.00,33.31,636.90,0.00,0.00,0.00,0.00,0.00,20.71,22.44,22.63,27.88,10.66
HTTP Connection Overhead (ms),9.95,0.00,33.31,636.90,0.00,0.00,0.00,0.00,0.00,20.71,22.44,22.63,27.88,10.66
HTTP Connection Reused (ratio),0.52,0.00,1.00,33.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.13,31.88,32.25,2056.48,31.90,32.07,32.08,32.11,32.14,32.16,32.18,32.19,32.24,0.06
HTTP Data Sent (KB),2.34,2.09,2.58,149.68,2.11,2.17,2.21,2.27,2.34,2.40,2.47,2.49,2.53,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13659.12,13429.15,13899.35,874183.94,13429.17,13435.72,13437.33,13448.49,13657.56,13866.60,13877.62,13878.78,13891.22,210.24
HTTP Receiving (ms),12202.00,11487.69,13024.24,780927.77,11488.23,11501.59,11502.71,11902.89,12115.60,12808.33,12810.38,13013.00,13021.65,502.69
HTTP Sending (ms),10.14,0.06,33.49,648.82,0.06,0.09,0.11,0.14,0.23,20.87,22.89,23.10,28.20,10.71
HTTP Total Time (ms),13669.08,13437.60,13932.65,874820.85,13439.67,13444.59,13455.89,13472.63,13668.16,13866.60,13877.62,13878.78,13903.54,201.55
HTTP Waiting (TTFB) (ms),1446.99,405.06,1962.14,92607.35,405.29,420.07,1057.97,1068.71,1305.45,1941.31,1960.46,1960.69,1961.46,481.60
Input Sequence Length (tokens),512.00,512.00,512.00,32768.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),96.08,34.29,1625.54,780927.71,63.89,76.68,79.10,83.17,87.91,92.54,97.56,101.68,148.54,89.76
Inter Token Latency (ms),96.08,90.45,102.55,6149.04,90.46,90.56,90.57,93.72,95.40,100.85,100.87,102.46,102.53,3.96
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),10.43,9.75,11.06,667.24,9.75,9.76,9.91,9.92,10.48,10.67,11.04,11.04,11.05,0.43
Prefill Throughput Per User (tokens/sec/user),422.24,256.55,1226.52,27023.41,259.38,261.09,261.12,261.56,386.01,478.99,483.86,1215.93,1225.67,248.47
Request Latency (ms),13659.21,13429.36,13899.41,874189.59,13429.40,13435.77,13437.55,13448.69,13657.60,13866.66,13877.69,13878.85,13891.28,210.21
