Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),327.62,0.89,546.24,,,,,,350.48,,387.13,402.32,455.22,97.25
Active Decode Throughput Per User (tokens/sec/user),10.28,0.89,17.07,,,,,,10.95,,12.10,12.57,14.23,2.92
Active Prefill Throughput (tokens/sec),8221.95,258.13,12602.54,,,,,,11847.11,,12602.54,12602.54,12602.54,4070.27
Active Prefill Throughput Per User (tokens/sec/user),323.88,257.67,534.73,,,,,,370.22,,393.83,393.83,393.83,60.25
Active Total Throughput (tokens/sec),1524.77,11.29,12602.54,,,,,,347.45,,4731.92,11847.11,12602.54,3221.92
Credit-to-Start Latency (ms),2.83,0.58,6.08,181.14,0.60,0.80,1.02,1.29,2.87,3.58,5.11,5.46,5.98,1.52
Decode Duration (ms),11913.99,11250.36,12618.80,762495.56,11250.41,11250.59,11251.68,11508.69,11681.49,12183.58,12613.97,12616.98,12617.98,506.97
E2E Output Token Throughput (tokens/sec/user),9.55,9.43,9.67,611.21,9.43,9.43,9.43,9.43,9.55,9.67,9.67,9.67,9.67,0.12
Effective Concurrency,31.98,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.58
Effective Decode Concurrency,28.43,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.14
Effective Decode Throughput (tokens/sec),303.01,0.00,546.24,,,,,,348.15,,385.30,401.19,434.98,127.29
Effective Decode Throughput Per User (tokens/sec/user),9.51,0.00,17.07,,,,,,10.88,,12.04,12.54,13.59,3.90
Effective Latency (CO-aware) (ms),13407.72,13235.93,13581.18,858094.38,13235.94,13236.16,13237.89,13241.45,13408.02,13575.57,13577.24,13577.76,13579.60,166.54
Effective Prefill Concurrency,3.56,0.00,32.00,,,,,,0.00,,17.00,32.00,32.00,9.12
Effective Prefill Throughput (tokens/sec),1221.60,0.00,12602.54,,,,,,0.00,,4580.87,11847.11,12602.54,3318.60
Effective Prefill Throughput Per User (tokens/sec/user),48.12,0.00,534.73,,,,,,0.00,,269.46,370.22,393.83,117.51
Effective Total Throughput (tokens/sec),1524.61,0.00,12602.54,,,,,,347.45,,4731.92,11847.11,12602.54,3221.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),8.53,0.00,21.56,545.94,0.00,0.00,0.00,0.00,0.00,17.89,19.16,20.29,20.92,8.93
HTTP Connection Overhead (ms),8.53,0.00,21.56,545.94,0.00,0.00,0.00,0.00,0.00,17.89,19.16,20.29,20.92,8.93
HTTP Connection Reused (ratio),0.52,0.00,1.00,33.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.13,31.88,32.25,2056.56,31.90,32.06,32.08,32.11,32.14,32.16,32.18,32.20,32.24,0.06
HTTP Data Sent (KB),2.34,2.09,2.58,149.68,2.11,2.17,2.21,2.27,2.34,2.40,2.47,2.49,2.53,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13404.81,13233.31,13577.52,857907.81,13233.45,13234.51,13235.36,13237.67,13406.08,13571.83,13574.10,13574.38,13577.20,166.35
HTTP Receiving (ms),11913.99,11250.35,12618.81,762495.62,11250.41,11250.59,11251.68,11508.69,11681.49,12183.58,12613.97,12616.99,12617.98,506.97
HTTP Sending (ms),8.72,0.06,21.79,557.88,0.07,0.08,0.10,0.14,0.24,18.08,19.34,20.81,21.31,8.99
HTTP Total Time (ms),13413.34,13233.31,13597.30,858453.75,13233.45,13234.51,13235.36,13237.67,13418.33,13588.87,13591.97,13593.90,13596.18,174.29
HTTP Waiting (TTFB) (ms),1482.10,936.21,1985.93,94854.30,936.26,936.42,939.31,1055.65,1873.74,1966.77,1985.42,1985.66,1985.87,467.64
Input Sequence Length (tokens),512.00,512.00,512.00,32768.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),93.81,55.07,1121.84,762495.56,63.92,77.48,81.21,85.87,89.96,93.73,97.67,102.76,132.00,60.90
Inter Token Latency (ms),93.81,88.59,99.36,6003.90,88.59,88.59,88.60,90.62,91.98,95.93,99.32,99.35,99.35,3.99
