Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),29.08,0.00,39093.83,,,,,,31.78,,38.22,41.18,56.88,78.89
Active Decode Throughput Per User (tokens/sec/user),14.54,0.00,19546.91,,,,,,15.89,,19.11,20.59,28.44,39.45
Active Prefill Throughput (tokens/sec),3952.01,1976.05,3952.24,,,,,,3952.24,,3952.24,3952.24,3952.24,21.18
Active Prefill Throughput Per User (tokens/sec/user),1976.12,1976.05,1976.18,,,,,,1976.12,,1976.12,1976.12,1976.12,0.00
Active Total Throughput (tokens/sec),142.73,14.54,3952.24,,,,,,29.08,,29.08,29.08,3952.24,657.99
Credit-to-Start Latency (ms),1.27,1.17,1.37,2.54,1.18,1.18,1.19,1.22,1.27,1.32,1.35,1.36,1.37,0.10
Decode Duration (ms),8735.22,8735.16,8735.28,17470.44,8735.16,8735.17,8735.17,8735.19,8735.22,8735.25,8735.26,8735.27,8735.27,0.06
E2E Output Token Throughput (tokens/sec/user),14.23,14.23,14.23,28.46,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.04
Effective Decode Concurrency,1.94,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.34
Effective Decode Throughput (tokens/sec),28.22,0.00,39093.83,,,,,,31.75,,37.54,41.18,56.88,77.88
Effective Decode Throughput Per User (tokens/sec/user),14.11,0.00,19546.91,,,,,,15.88,,18.77,20.59,28.44,38.94
Effective Latency (CO-aware) (ms),8997.10,8997.07,8997.13,17994.20,8997.07,8997.07,8997.08,8997.09,8997.10,8997.12,8997.13,8997.13,8997.13,0.03
Effective Prefill Concurrency,0.06,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.34
Effective Prefill Throughput (tokens/sec),114.45,0.00,3952.24,,,,,,0.00,,0.00,0.00,3952.24,662.75
Effective Prefill Throughput Per User (tokens/sec/user),57.23,0.00,1976.18,,,,,,0.00,,0.00,0.00,1976.12,331.39
Effective Total Throughput (tokens/sec),142.68,0.00,3952.24,,,,,,29.08,,29.08,29.08,3952.24,657.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.85,5.80,5.90,11.70,5.80,5.81,5.81,5.83,5.85,5.87,5.89,5.89,5.90,0.05
HTTP Connection Overhead (ms),5.85,5.80,5.90,11.70,5.80,5.81,5.81,5.83,5.85,5.87,5.89,5.89,5.90,0.05
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.15,32.09,32.21,64.30,32.09,32.09,32.10,32.12,32.15,32.18,32.20,32.20,32.21,0.06
HTTP Data Sent (KB),2.10,1.99,2.21,4.20,2.00,2.00,2.01,2.05,2.10,2.16,2.19,2.20,2.21,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),8995.63,8995.58,8995.68,17991.26,8995.58,8995.59,8995.59,8995.61,8995.63,8995.66,8995.67,8995.68,8995.68,0.05
HTTP Receiving (ms),8735.23,8735.18,8735.28,17470.47,8735.18,8735.19,8735.19,8735.21,8735.23,8735.26,8735.27,8735.28,8735.28,0.05
HTTP Sending (ms),6.27,6.21,6.34,12.54,6.21,6.21,6.22,6.24,6.27,6.30,6.32,6.33,6.33,0.07
HTTP Total Time (ms),9001.48,9001.48,9001.49,18002.96,9001.48,9001.48,9001.48,9001.48,9001.48,9001.48,9001.49,9001.49,9001.49,0.00
HTTP Waiting (TTFB) (ms),254.13,254.06,254.19,508.26,254.06,254.07,254.08,254.10,254.13,254.16,254.18,254.19,254.19,0.07
Input Sequence Length (tokens),515.00,515.00,515.00,1030.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Inter Chunk Latency (ms),68.78,0.05,1099.81,17470.44,22.95,47.22,49.99,58.20,61.87,64.76,69.44,73.56,116.05,92.40
Inter Token Latency (ms),68.78,68.78,68.78,137.56,68.78,68.78,68.78,68.78,68.78,68.78,68.78,68.78,68.78,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),14.54,14.54,14.54,29.08,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,14.54,0.00
Prefill Throughput Per User (tokens/sec/user),1976.12,1976.05,1976.18,3952.23,1976.05,1976.06,1976.06,1976.08,1976.12,1976.15,1976.17,1976.18,1976.18,0.07
Request Latency (ms),8995.83,8995.76,8995.90,17991.66,8995.76,8995.77,8995.78,8995.80,8995.83,8995.86,8995.88,8995.89,8995.90,0.07
Time to First Output Token (ms),260.61,260.60,260.62,521.22,260.60,260.60,260.61,260.61,260.61,260.62,260.62,260.62,260.62,0.01
Time to First Token (ms),260.61,260.60,260.62,521.22,260.60,260.60,260.61,260.61,260.61,260.62,260.62,260.62,260.62,0.01
Time to Second Token (ms),55.77,55.76,55.78,111.54,55.76,55.76,55.76,55.77,55.77,55.78,55.78,55.78,55.78,0.01
Tokens In Flight (tokens),1148.54,0.00,1285.00,,,,,,1144.00,,1258.00,1272.00,1282.00,78.61
Usage Completion Tokens (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),515.00,515.00,515.00,1030.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Usage Total Tokens (tokens),643.00,643.00,643.00,1286.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,0.00

Metric,Value
Benchmark Duration (sec),9.00
Input Token Throughput (tokens/sec),114.45
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.45
Request Count,2.00
Request Throughput (requests/sec),0.22
Total Input Sequence Length (tokens),1030.00
Total Output Sequence Length (tokens),256.00
Total Output Tokens (tokens),256.00
Total Token Throughput (tokens/sec),142.90
Total Usage Completion Tokens (tokens),256.00
Total Usage Prompt Tokens (tokens),1030.00
Total Usage Total Tokens (tokens),1286.00
