Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),181.23,5.26,60689.01,,,,,,181.37,,206.72,212.02,277.50,261.26
Active Decode Throughput Per User (tokens/sec/user),22.67,5.05,7586.13,,,,,,22.67,,25.84,26.50,34.69,32.65
Active Prefill Throughput (tokens/sec),7459.98,905.16,9265.31,,,,,,7707.45,,9265.31,9265.31,9265.31,2394.44
Active Prefill Throughput Per User (tokens/sec/user),1028.47,905.16,1242.42,,,,,,963.43,,1158.16,1158.16,1158.16,102.40
Active Total Throughput (tokens/sec),841.09,22.71,9265.31,,,,,,185.86,,185.86,7707.45,9265.31,2207.81
Credit-to-Start Latency (ms),1.12,0.76,1.85,17.86,0.76,0.76,0.77,0.99,1.13,1.20,1.35,1.53,1.79,0.27
Decode Duration (ms),5586.41,5466.41,5745.45,89382.58,5466.41,5466.41,5466.42,5466.44,5528.78,5744.47,5744.99,5745.45,5745.45,128.87
E2E Output Token Throughput (tokens/sec/user),21.07,20.79,21.34,337.05,20.79,20.79,20.79,20.79,21.06,21.34,21.34,21.34,21.34,0.28
Effective Concurrency,8.00,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.17
Effective Decode Concurrency,7.35,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.15
Effective Decode Throughput (tokens/sec),167.10,0.00,60689.01,,,,,,179.95,,206.01,210.23,264.40,255.53
Effective Decode Throughput Per User (tokens/sec/user),20.90,0.00,7586.13,,,,,,22.49,,25.75,26.28,33.05,31.93
Effective Latency (CO-aware) (ms),6078.47,5998.59,6158.17,97255.51,5998.59,5998.62,5998.78,5999.09,6078.62,6157.90,6158.00,6158.04,6158.14,79.41
Effective Prefill Concurrency,0.65,0.00,8.00,,,,,,0.00,,0.00,8.00,8.00,2.14
Effective Prefill Throughput (tokens/sec),673.65,0.00,9265.31,,,,,,0.00,,0.00,7707.45,9265.31,2255.96
Effective Prefill Throughput Per User (tokens/sec/user),92.87,0.00,1242.42,,,,,,0.00,,0.00,963.43,1158.16,296.38
Effective Total Throughput (tokens/sec),840.75,0.00,9265.31,,,,,,185.86,,185.86,7707.45,9265.31,2207.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,2048.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.44,0.00,9.50,39.04,0.00,0.00,0.00,0.00,0.00,5.07,7.16,9.26,9.45,3.38
HTTP Connection Overhead (ms),2.44,0.00,9.50,39.04,0.00,0.00,0.00,0.00,0.00,5.07,7.16,9.26,9.45,3.38
HTTP Connection Reused (ratio),0.62,0.00,1.00,10.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),32.16,32.08,32.23,514.57,32.08,32.09,32.10,32.13,32.17,32.19,32.21,32.22,32.23,0.04
HTTP Data Sent (KB),2.34,2.20,2.48,37.51,2.20,2.22,2.23,2.26,2.36,2.41,2.45,2.46,2.47,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6077.21,5996.67,6156.79,97235.41,5996.74,5997.02,5997.44,5997.99,6077.39,6156.67,6156.75,6156.78,6156.79,79.42
HTTP Receiving (ms),5586.42,5466.41,5745.45,89382.70,5466.41,5466.41,5466.42,5466.44,5528.79,5744.50,5745.00,5745.45,5745.45,128.88
HTTP Sending (ms),2.75,0.16,9.98,44.02,0.16,0.16,0.17,0.18,0.25,5.58,7.69,9.84,9.95,3.52
HTTP Total Time (ms),6079.65,5996.67,6166.01,97274.45,5996.74,5997.02,5997.44,5997.99,6077.65,6161.75,6163.64,6165.56,6165.92,81.89
HTTP Waiting (TTFB) (ms),488.04,406.58,555.41,7808.69,406.59,406.60,406.61,409.95,530.82,531.52,543.57,555.31,555.39,62.41
Input Sequence Length (tokens),512.00,512.00,512.00,8192.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),43.99,0.07,212.01,89382.58,7.14,33.91,38.11,40.67,43.39,45.78,49.98,53.62,89.54,12.21
Inter Token Latency (ms),43.99,43.04,45.24,703.80,43.04,43.04,43.04,43.04,43.53,45.23,45.24,45.24,45.24,1.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,2048.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,2048.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),22.75,22.10,23.23,363.93,22.10,22.10,22.11,22.11,22.97,23.23,23.23,23.23,23.23,0.52
Prefill Throughput Per User (tokens/sec/user),1060.80,905.16,1244.49,16972.76,905.23,905.51,933.86,962.82,964.09,1241.34,1243.06,1244.44,1244.48,141.88
Request Latency (ms),6077.35,5996.74,6156.98,97237.65,5996.81,5997.09,5997.51,5998.06,6077.57,6156.88,6156.91,6156.93,6156.97,79.48
Time to First Output Token (ms),490.94,411.41,565.64,7855.07,411.42,411.43,411.89,412.46,531.07,531.77,548.76,565.43,565.60,62.02
Time to First Token (ms),490.94,411.41,565.64,7855.07,411.42,411.43,411.89,412.46,531.07,531.77,548.76,565.43,565.60,62.02
Time to Second Token (ms),100.11,36.01,212.01,1601.74,36.68,39.36,40.49,40.52,40.60,189.50,201.08,211.95,212.00,75.57
Tokens In Flight (tokens),4566.47,0.00,5113.00,,,,,,4568.00,,5008.00,5064.00,5104.00,331.60
Usage Completion Tokens (tokens),128.00,128.00,128.00,2048.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,8192.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,10240.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),12.16
Input Token Throughput (tokens/sec),673.65
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),168.41
Request Count,16.00
Request Throughput (requests/sec),1.32
Total Input Sequence Length (tokens),8192.00
Total Output Sequence Length (tokens),2048.00
Total Output Tokens (tokens),2048.00
Total Token Throughput (tokens/sec),842.06
Total Usage Completion Tokens (tokens),2048.00
Total Usage Prompt Tokens (tokens),8192.00
Total Usage Total Tokens (tokens),10240.00
