Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),76.86,0.00,41111.02,,,,,,77.27,,85.78,92.57,119.12,69.75
Active Decode Throughput Per User (tokens/sec/user),38.45,0.00,20555.51,,,,,,38.64,,42.89,46.29,59.56,34.86
Active Prefill Throughput (tokens/sec),6636.38,3319.36,9505.02,,,,,,9505.02,,9505.02,9505.02,9505.02,3084.15
Active Prefill Throughput Per User (tokens/sec/user),4088.65,3319.36,6185.67,,,,,,4752.51,,4752.51,4752.51,4752.51,715.65
Active Total Throughput (tokens/sec),228.11,38.85,9505.02,,,,,,77.28,,77.28,77.28,9505.02,1088.45
Credit-to-Start Latency (ms),1.16,0.99,1.33,2.33,1.00,1.01,1.03,1.08,1.16,1.25,1.30,1.32,1.33,0.17
Decode Duration (ms),26476.75,26333.48,26620.01,52953.49,26336.34,26347.81,26362.13,26405.11,26476.75,26548.38,26591.36,26605.69,26617.15,143.27
E2E Output Token Throughput (tokens/sec/user),37.99,37.99,37.99,75.99,37.99,37.99,37.99,37.99,37.99,37.99,37.99,37.99,37.99,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.03
Effective Decode Concurrency,1.96,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.24
Effective Decode Throughput (tokens/sec),75.90,0.00,41111.02,,,,,,77.14,,85.77,92.25,119.12,69.83
Effective Decode Throughput Per User (tokens/sec/user),37.97,0.00,20555.51,,,,,,38.57,,42.88,46.12,59.56,34.90
Effective Latency (CO-aware) (ms),26952.64,26952.58,26952.70,53905.28,26952.58,26952.59,26952.59,26952.61,26952.64,26952.67,26952.69,26952.70,26952.70,0.06
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.24
Effective Prefill Throughput (tokens/sec),152.17,0.00,9505.02,,,,,,0.00,,0.00,0.00,9505.02,1097.63
Effective Prefill Throughput Per User (tokens/sec/user),93.75,0.00,6185.67,,,,,,0.00,,0.00,0.00,4752.51,621.50
Effective Total Throughput (tokens/sec),228.07,0.00,9505.02,,,,,,77.28,,77.28,77.28,9505.02,1088.35
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1023.00,1023.00,1023.00,2046.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),6.93,6.89,6.98,13.87,6.89,6.89,6.90,6.91,6.93,6.96,6.97,6.98,6.98,0.05
HTTP Connection Overhead (ms),6.93,6.89,6.98,13.87,6.89,6.89,6.90,6.91,6.93,6.96,6.97,6.98,6.98,0.05
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),255.41,254.96,255.86,510.81,254.97,255.00,255.05,255.18,255.41,255.63,255.77,255.81,255.85,0.45
HTTP Data Sent (KB),8.25,8.02,8.47,16.49,8.03,8.04,8.07,8.13,8.25,8.36,8.42,8.45,8.46,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),26951.30,26951.20,26951.40,53902.60,26951.20,26951.21,26951.22,26951.25,26951.30,26951.35,26951.38,26951.39,26951.40,0.10
HTTP Receiving (ms),26476.76,26333.49,26620.03,52953.52,26336.36,26347.82,26362.15,26405.13,26476.76,26548.39,26591.37,26605.70,26617.16,143.27
HTTP Sending (ms),7.34,7.30,7.39,14.69,7.30,7.30,7.31,7.32,7.34,7.37,7.38,7.38,7.39,0.04
HTTP Total Time (ms),26958.23,26958.09,26958.38,53916.47,26958.09,26958.10,26958.12,26958.16,26958.23,26958.31,26958.35,26958.37,26958.38,0.15
HTTP Waiting (TTFB) (ms),467.20,323.99,610.41,934.39,326.85,338.31,352.63,395.59,467.20,538.80,581.77,596.09,607.54,143.21
Input Sequence Length (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Inter Chunk Latency (ms),25.88,0.00,310.31,52953.49,14.11,20.18,22.65,24.49,25.66,27.00,28.69,30.94,38.23,7.69
Inter Token Latency (ms),25.88,25.74,26.02,51.76,25.74,25.76,25.77,25.81,25.88,25.95,25.99,26.01,26.02,0.14
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),38.64,38.43,38.85,77.28,38.43,38.45,38.47,38.53,38.64,38.74,38.81,38.83,38.84,0.21
Prefill Throughput Per User (tokens/sec/user),4752.51,3319.36,6185.67,9505.02,3348.02,3462.67,3605.99,4035.93,4752.51,5469.09,5899.04,6042.35,6157.00,1433.16
Request Latency (ms),26951.48,26951.37,26951.59,53902.96,26951.37,26951.38,26951.39,26951.42,26951.48,26951.53,26951.56,26951.58,26951.58,0.11
Time to First Output Token (ms),474.73,331.57,617.89,949.46,334.44,345.89,360.20,403.15,474.73,546.31,589.26,603.58,615.03,143.16
Time to First Token (ms),474.73,331.57,617.89,949.46,334.44,345.89,360.20,403.15,474.73,546.31,589.26,603.58,615.03,143.16
Time to Second Token (ms),167.05,23.78,310.31,334.09,26.64,38.11,52.43,95.41,167.05,238.68,281.66,295.99,307.45,143.27
Tokens In Flight (tokens),5109.24,0.00,6149.00,,,,,,5114.00,,5944.00,6048.00,6128.00,608.61
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Usage Total Tokens (tokens),3075.00,3075.00,3075.00,6150.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,0.00

Metric,Value
Benchmark Duration (sec),26.95
Input Token Throughput (tokens/sec),152.17
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),75.97
Request Count,2.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),4102.00
Total Output Sequence Length (tokens),2048.00
Total Output Tokens (tokens),2048.00
Total Token Throughput (tokens/sec),228.14
Total Usage Completion Tokens (tokens),2048.00
Total Usage Prompt Tokens (tokens),4102.00
Total Usage Total Tokens (tokens),6150.00
