Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),104.14,0.00,98480.89,,,,,,103.79,,121.51,127.28,150.26,113.79
Active Decode Throughput Per User (tokens/sec/user),26.05,0.00,24620.22,,,,,,25.95,,30.38,31.82,37.57,28.43
Active Prefill Throughput (tokens/sec),7643.47,1898.64,14159.66,,,,,,7033.04,,14159.66,14159.66,14159.66,4345.88
Active Prefill Throughput Per User (tokens/sec/user),2527.81,1898.64,6773.23,,,,,,2344.35,,3539.91,3539.91,3539.91,642.78
Active Total Throughput (tokens/sec),310.24,24.84,14159.66,,,,,,99.20,,112.31,112.31,7404.17,1419.32
Credit-to-Start Latency (ms),3.17,1.13,4.39,25.35,1.14,1.16,1.18,2.08,3.82,4.28,4.37,4.38,4.38,1.31
Decode Duration (ms),38843.93,36116.98,41691.75,310751.44,36116.99,36117.04,36117.09,36494.89,38910.78,41191.60,41341.65,41516.70,41656.74,2426.53
E2E Output Token Throughput (tokens/sec/user),25.96,24.38,27.53,207.66,24.38,24.38,24.38,24.38,25.96,27.53,27.53,27.53,27.53,1.57
Effective Concurrency,4.00,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.05
Effective Decode Concurrency,3.92,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.49
Effective Decode Throughput (tokens/sec),103.33,0.00,98480.89,,,,,,103.64,,121.50,127.23,149.32,113.72
Effective Decode Throughput Per User (tokens/sec/user),25.85,0.00,24620.22,,,,,,25.91,,30.37,31.81,37.33,28.41
Effective Latency (CO-aware) (ms),39597.26,37196.55,41998.50,316778.07,37196.55,37196.57,37196.59,37196.72,39597.01,41997.54,41998.43,41998.47,41998.49,2400.57
Effective Prefill Concurrency,0.08,0.00,4.00,,,,,,0.00,,0.00,0.00,3.00,0.48
Effective Prefill Throughput (tokens/sec),206.86,0.00,14159.66,,,,,,0.00,,0.00,0.00,7376.44,1431.61
Effective Prefill Throughput Per User (tokens/sec/user),68.41,0.00,6773.23,,,,,,0.00,,0.00,0.00,2458.81,423.60
Effective Total Throughput (tokens/sec),310.19,0.00,14159.66,,,,,,99.20,,112.31,112.31,7404.17,1419.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
