Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),220.55,0.27,87273.08,,,,,,228.37,,251.27,261.33,313.41,188.05
Active Decode Throughput Per User (tokens/sec/user),13.80,0.27,5454.57,,,,,,14.27,,15.70,16.33,19.59,11.74
Active Prefill Throughput (tokens/sec),8386.54,519.92,22018.56,,,,,,6687.85,,17326.88,17326.88,22018.56,5817.28
Active Prefill Throughput Per User (tokens/sec/user),760.08,519.90,1830.49,,,,,,668.79,,1082.93,1082.93,1376.16,232.74
Active Total Throughput (tokens/sec),656.34,14.71,22018.56,,,,,,230.76,,230.76,1233.01,15459.72,2256.80
Credit-to-Start Latency (ms),4.32,0.65,18.66,138.38,0.67,0.74,0.86,1.30,3.46,4.63,10.05,13.84,17.18,4.36
Decode Duration (ms),72435.65,69525.61,76038.42,2317940.88,69525.62,69527.91,69629.77,71181.76,72373.82,73849.10,74806.26,75239.37,75951.58,1842.21
E2E Output Token Throughput (tokens/sec/user),13.69,13.41,13.96,437.94,13.41,13.41,13.41,13.41,13.68,13.96,13.96,13.96,13.96,0.27
Effective Concurrency,16.00,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.18
Effective Decode Concurrency,15.48,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,2.44
Effective Decode Throughput (tokens/sec),218.63,0.00,87273.08,,,,,,228.24,,251.19,261.14,313.41,188.35
Effective Decode Throughput Per User (tokens/sec/user),13.67,0.00,5454.57,,,,,,14.27,,15.70,16.32,19.59,11.76
Effective Latency (CO-aware) (ms),74857.50,73343.24,76367.82,2395440.06,73344.97,73350.54,73356.68,73358.76,74859.98,76353.95,76362.02,76364.38,76367.27,1492.41
Effective Prefill Concurrency,0.52,0.00,16.00,,,,,,0.00,,0.00,2.00,15.00,2.43
Effective Prefill Throughput (tokens/sec),437.68,0.00,22018.56,,,,,,0.00,,0.00,1039.81,15446.27,2290.23
Effective Prefill Throughput Per User (tokens/sec/user),39.67,0.00,1830.49,,,,,,0.00,,0.00,519.90,1029.75,177.21
Effective Total Throughput (tokens/sec),656.31,0.00,22018.56,,,,,,230.76,,230.76,1233.01,15459.72,2256.75
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1022.78,1017.00,1024.00,32729.00,1017.31,1018.55,1020.10,1022.75,1024.00,1024.00,1024.00,1024.00,1024.00,1.87
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),13.24,0.00,46.78,423.74,0.00,0.00,0.00,0.00,7.96,23.10,28.58,28.63,41.17,13.24
HTTP Connection Overhead (ms),13.24,0.00,46.78,423.74,0.00,0.00,0.00,0.00,7.96,23.10,28.58,28.63,41.17,13.24
HTTP Connection Reused (ratio),0.41,0.00,1.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),255.36,254.44,256.27,8171.53,254.48,254.59,254.73,255.12,255.35,255.74,255.83,255.94,256.19,0.42
HTTP Data Sent (KB),8.88,8.46,9.43,284.02,8.49,8.56,8.59,8.69,8.84,9.02,9.21,9.26,9.39,0.24
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),74853.04,73337.91,76364.44,2395297.40,73339.31,73342.72,73343.99,73350.86,74856.69,76350.70,76360.34,76362.49,76364.28,1494.27
HTTP Receiving (ms),72435.65,69525.61,76038.41,2317940.93,69525.61,69527.91,69629.77,71181.75,72373.82,73849.13,74806.27,75239.38,75951.57,1842.21
HTTP Sending (ms),13.54,0.14,47.01,433.23,0.14,0.15,0.16,0.21,8.15,23.63,28.81,28.89,41.42,13.32
HTTP Total Time (ms),74866.29,73337.91,76392.50,2395721.14,73339.48,73343.36,73347.17,73353.80,74894.19,76375.95,76383.54,76385.80,76391.01,1502.96
HTTP Waiting (TTFB) (ms),2403.85,311.25,3910.43,76923.25,398.08,811.70,995.66,1522.98,2482.22,3413.33,3816.83,3859.20,3910.42,1074.51
Input Sequence Length (tokens),2048.00,2048.00,2048.00,65536.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Inter Chunk Latency (ms),70.81,0.00,3687.29,2317940.88,18.75,58.83,62.20,66.38,69.42,72.42,75.66,79.09,126.76,58.35
Inter Token Latency (ms),70.81,67.96,74.33,2265.83,67.96,67.96,68.06,69.58,70.75,72.19,73.12,73.55,74.24,1.80
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,32768.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
