Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),390.16,0.07,53366.92,,,,,,419.19,,472.92,495.66,570.48,144.93
Active Decode Throughput Per User (tokens/sec/user),6.10,0.07,833.86,,,,,,6.55,,7.39,7.74,8.91,2.25
Active Prefill Throughput (tokens/sec),8545.86,133.39,32808.79,,,,,,6160.70,,20083.39,26262.31,31391.18,7489.25
Active Prefill Throughput Per User (tokens/sec/user),211.93,133.39,1982.84,,,,,,181.20,,334.72,416.86,512.64,86.78
Active Total Throughput (tokens/sec),1166.56,6.57,32808.79,,,,,,410.79,,410.79,5865.00,20107.72,3270.19
Credit-to-Start Latency (ms),26.91,1.07,83.61,3444.54,1.10,1.76,3.73,6.08,15.61,46.46,59.91,69.66,76.72,23.68
Decode Duration (ms),160248.43,152331.48,168193.06,20511799.55,152479.59,153775.81,153921.79,156617.34,160423.01,164207.05,166224.93,167193.60,168142.47,4448.19
E2E Output Token Throughput (tokens/sec/user),6.08,6.05,6.11,778.21,6.05,6.05,6.05,6.05,6.08,6.11,6.11,6.11,6.11,0.03
Effective Concurrency,63.98,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,1.07
Effective Decode Concurrency,60.87,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,11.35
Effective Decode Throughput (tokens/sec),388.58,0.00,53366.92,,,,,,419.02,,472.74,495.66,567.71,146.74
Effective Decode Throughput Per User (tokens/sec/user),6.08,0.00,833.86,,,,,,6.55,,7.39,7.74,8.87,2.28
Effective Latency (CO-aware) (ms),168457.60,167681.05,169271.57,21562572.60,167681.37,167681.82,167690.89,167702.12,168448.76,169212.17,169228.33,169244.24,169262.00,756.01
Effective Prefill Concurrency,3.11,0.00,64.00,,,,,,0.00,,0.00,32.00,60.00,11.30
Effective Prefill Throughput (tokens/sec),777.92,0.00,32808.79,,,,,,0.00,,0.00,5666.33,20083.39,3338.94
Effective Prefill Throughput Per User (tokens/sec/user),19.29,0.00,1982.84,,,,,,0.00,,0.00,177.07,334.72,66.35
Effective Total Throughput (tokens/sec),1166.50,0.00,32808.79,,,,,,410.79,,410.79,5865.00,20107.72,3270.12
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1023.90,1023.00,1024.00,131059.00,1023.00,1023.00,1023.70,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.30
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),7.91,0.00,21.28,1012.83,0.00,0.00,0.00,0.00,6.26,15.34,17.37,18.33,21.21,8.05
HTTP Connection Overhead (ms),7.91,0.00,21.28,1012.83,0.00,0.00,0.00,0.00,6.26,15.34,17.37,18.33,21.21,8.05
HTTP Connection Reused (ratio),0.50,0.00,1.00,64.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),255.29,254.02,256.71,32677.75,254.29,254.63,254.79,255.06,255.29,255.57,255.78,255.86,256.18,0.40
HTTP Data Sent (KB),8.85,8.15,9.46,1132.45,8.16,8.47,8.57,8.69,8.84,8.99,9.20,9.27,9.43,0.26
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),168430.62,167675.10,169230.99,21559118.73,167676.43,167680.49,167684.66,167696.46,168423.68,169161.95,169179.38,169193.74,169225.08,734.67
HTTP Receiving (ms),160248.43,152331.48,168193.05,20511798.92,152479.59,153775.80,153921.79,156617.34,160423.01,164207.06,166224.93,167193.60,168142.47,4448.19
HTTP Sending (ms),8.06,0.06,21.76,1031.99,0.06,0.07,0.07,0.09,6.45,15.57,17.50,18.81,21.66,8.10
HTTP Total Time (ms),168438.53,167675.10,169246.28,21560131.56,167682.24,167698.47,167701.51,167710.57,168430.69,169161.95,169179.38,169193.74,169240.42,727.36
HTTP Waiting (TTFB) (ms),8174.12,312.48,15339.67,1046287.82,715.53,1537.03,1986.62,4403.45,8201.40,11995.00,14367.10,14848.69,15326.51,4387.03
Input Sequence Length (tokens),2048.00,2048.00,2048.00,262144.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Inter Chunk Latency (ms),156.65,0.00,15194.70,20511799.55,96.44,124.44,131.76,141.62,150.30,158.12,165.44,173.37,207.11,262.52
Inter Token Latency (ms),156.65,148.91,164.41,20050.63,149.05,150.32,150.46,153.10,156.82,160.52,162.49,163.43,164.36,4.35
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,131072.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,131072.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),6.39,6.08,6.72,817.76,6.08,6.12,6.15,6.23,6.38,6.53,6.65,6.65,6.71,0.18
Prefill Throughput Per User (tokens/sec/user),475.20,133.39,6546.48,60825.33,133.50,137.80,142.55,170.54,249.23,463.26,1030.83,1318.25,3032.08,717.64
Request Latency (ms),168430.69,167675.20,169231.05,21559128.06,167676.53,167680.71,167684.69,167696.50,168423.71,169161.99,169179.43,169193.82,169225.12,734.66
Time to First Output Token (ms),8182.25,312.84,15353.06,1047328.51,715.83,1553.58,1986.76,4420.86,8217.32,12008.85,14367.20,14861.98,15340.64,4387.18
Time to First Token (ms),8182.25,312.84,15353.06,1047328.51,715.83,1553.58,1986.76,4420.86,8217.32,12008.85,14367.20,14861.98,15340.64,4387.18
Time to Second Token (ms),7285.55,137.57,15194.70,932549.92,138.22,639.58,1053.28,3493.70,7287.17,11085.38,13454.23,13955.02,14773.32,4391.22
Tokens In Flight (tokens),161746.07,0.00,196545.00,,,,,,162047.47,,189887.90,193231.95,195904.00,20547.77
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,131072.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2048.00,2048.00,2048.00,262144.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Usage Total Tokens (tokens),3072.00,3072.00,3072.00,393216.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,0.00

Metric,Value
Benchmark Duration (sec),336.97
Input Token Throughput (tokens/sec),777.92
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),388.96
Request Count,128.00
Request Throughput (requests/sec),0.38
Total Input Sequence Length (tokens),262144.00
Total Output Sequence Length (tokens),131072.00
Total Output Tokens (tokens),131072.00
Total Token Throughput (tokens/sec),1166.88
Total Usage Completion Tokens (tokens),131072.00
Total Usage Prompt Tokens (tokens),262144.00
Total Usage Total Tokens (tokens),393216.00
