Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),76.34,3.02,444.85,,,,,,76.61,,84.93,91.42,113.41,14.17
Active Decode Throughput Per User (tokens/sec/user),38.19,3.02,222.43,,,,,,38.30,,42.46,45.71,56.70,7.00
Active Prefill Throughput (tokens/sec),6128.88,3064.44,8732.39,,,,,,8732.39,,8732.39,8732.39,8732.39,2824.59
Active Prefill Throughput Per User (tokens/sec/user),3768.25,3064.44,4366.20,,,,,,4366.20,,4366.20,4366.20,4366.20,648.72
Active Total Throughput (tokens/sec),226.33,38.17,8732.39,,,,,,76.78,,76.78,76.78,8732.39,1038.90
Credit-to-Start Latency (ms),1.11,1.06,1.17,2.23,1.06,1.07,1.07,1.09,1.11,1.14,1.16,1.16,1.17,0.05
Decode Duration (ms),26647.67,26493.99,26801.35,53295.34,26497.07,26509.36,26524.73,26570.83,26647.67,26724.51,26770.61,26785.98,26798.27,153.68
E2E Output Token Throughput (tokens/sec/user),37.70,37.70,37.70,75.40,37.70,37.70,37.70,37.70,37.70,37.70,37.70,37.70,37.70,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.03
Effective Decode Concurrency,1.96,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.25
Effective Decode Throughput (tokens/sec),75.30,0.00,444.85,,,,,,76.49,,84.88,91.12,113.41,16.62
Effective Decode Throughput Per User (tokens/sec/user),37.67,0.00,222.43,,,,,,38.24,,42.44,45.56,56.70,8.24
Effective Latency (CO-aware) (ms),27164.36,27164.27,27164.45,54328.72,27164.27,27164.28,27164.29,27164.31,27164.36,27164.40,27164.43,27164.44,27164.45,0.09
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.25
Effective Prefill Throughput (tokens/sec),150.97,0.00,8732.39,,,,,,0.00,,0.00,0.00,8732.39,1048.34
Effective Prefill Throughput Per User (tokens/sec/user),92.82,0.00,4366.20,,,,,,0.00,,0.00,0.00,4366.20,592.90
Effective Total Throughput (tokens/sec),226.27,0.00,8732.39,,,,,,76.78,,76.78,76.78,8732.39,1038.76
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1023.00,1023.00,1023.00,2046.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),23.37,23.31,23.43,46.74,23.31,23.31,23.32,23.34,23.37,23.40,23.42,23.42,23.43,0.06
HTTP Connection Overhead (ms),23.37,23.31,23.43,46.74,23.31,23.31,23.32,23.34,23.37,23.40,23.42,23.42,23.43,0.06
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),255.41,254.96,255.86,510.81,254.97,255.00,255.05,255.18,255.41,255.63,255.77,255.81,255.85,0.45
HTTP Data Sent (KB),8.25,8.02,8.47,16.49,8.03,8.04,8.07,8.13,8.25,8.36,8.42,8.45,8.46,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),27163.06,27163.02,27163.09,54326.12,27163.03,27163.03,27163.03,27163.04,27163.06,27163.07,27163.08,27163.09,27163.09,0.03
HTTP Receiving (ms),26647.69,26494.00,26801.38,53295.38,26497.08,26509.37,26524.74,26570.85,26647.69,26724.53,26770.64,26786.01,26798.30,153.69
HTTP Sending (ms),23.77,23.69,23.86,47.55,23.69,23.70,23.71,23.73,23.77,23.81,23.84,23.85,23.85,0.08
HTTP Total Time (ms),27186.43,27186.33,27186.52,54372.85,27186.33,27186.34,27186.35,27186.38,27186.43,27186.47,27186.50,27186.51,27186.52,0.10
HTTP Waiting (TTFB) (ms),491.59,337.96,645.23,983.19,341.03,353.32,368.68,414.77,491.59,568.41,614.50,629.87,642.16,153.64
Input Sequence Length (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Inter Chunk Latency (ms),26.05,0.00,331.97,53295.34,15.17,20.92,22.98,24.46,25.83,27.27,28.96,31.12,37.86,7.68
Inter Token Latency (ms),26.05,25.90,26.20,52.10,25.90,25.91,25.93,25.97,26.05,26.12,26.17,26.18,26.20,0.15
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),38.39,38.17,38.61,76.78,38.17,38.19,38.21,38.28,38.39,38.50,38.57,38.59,38.61,0.22
Prefill Throughput Per User (tokens/sec/user),4366.20,3064.44,5667.96,8732.40,3090.47,3194.61,3324.79,3715.32,4366.20,5017.08,5407.61,5537.78,5641.92,1301.76
Request Latency (ms),27163.25,27163.21,27163.28,54326.49,27163.21,27163.21,27163.21,27163.23,27163.25,27163.26,27163.28,27163.28,27163.28,0.04
Time to First Output Token (ms),515.57,361.86,669.29,1031.15,364.93,377.23,392.60,438.72,515.57,592.43,638.55,653.92,666.22,153.72
Time to First Token (ms),515.57,361.86,669.29,1031.15,364.93,377.23,392.60,438.72,515.57,592.43,638.55,653.92,666.22,153.72
Time to Second Token (ms),178.27,24.58,331.97,356.55,27.65,39.95,55.32,101.43,178.27,255.12,301.23,316.60,328.90,153.70
Tokens In Flight (tokens),5105.76,0.00,6149.00,,,,,,5108.00,,5942.00,6046.00,6128.00,610.46
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Usage Total Tokens (tokens),3075.00,3075.00,3075.00,6150.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,0.00

Metric,Value
Benchmark Duration (sec),27.16
Input Token Throughput (tokens/sec),150.97
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),75.37
Request Count,2.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),4102.00
Total Output Sequence Length (tokens),2048.00
Total Output Tokens (tokens),2048.00
Total Token Throughput (tokens/sec),226.34
Total Usage Completion Tokens (tokens),2048.00
Total Usage Prompt Tokens (tokens),4102.00
Total Usage Total Tokens (tokens),6150.00
