Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),216.85,0.27,188730.89,,,,,,223.57,,247.65,258.70,301.60,319.46
Active Decode Throughput Per User (tokens/sec/user),13.56,0.27,11795.68,,,,,,13.97,,15.48,16.17,18.85,19.96
Active Prefill Throughput (tokens/sec),8333.40,519.17,22537.11,,,,,,6700.78,,16924.65,16924.65,22537.11,5802.52
Active Prefill Throughput Per User (tokens/sec/user),748.76,519.12,1980.21,,,,,,670.08,,1057.79,1057.79,1408.57,226.61
Active Total Throughput (tokens/sec),645.29,13.88,22537.11,,,,,,226.54,,226.54,1228.41,15679.89,2234.31
Credit-to-Start Latency (ms),5.32,0.60,19.42,170.33,0.65,0.78,0.92,1.27,3.34,7.28,12.40,15.82,18.40,5.12
Decode Duration (ms),73689.57,70818.88,77226.92,2358066.40,70821.73,70828.10,70931.44,72501.10,73711.82,75037.71,76003.29,76436.04,77143.57,1796.22
E2E Output Token Throughput (tokens/sec/user),13.45,13.21,13.70,430.56,13.21,13.21,13.21,13.21,13.45,13.70,13.70,13.70,13.70,0.25
Effective Concurrency,16.00,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.20
Effective Decode Concurrency,15.48,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,2.43
Effective Decode Throughput (tokens/sec),214.95,0.00,188730.89,,,,,,223.38,,247.62,258.47,301.60,318.70
Effective Decode Throughput Per User (tokens/sec/user),13.44,0.00,11795.68,,,,,,13.96,,15.48,16.15,18.85,19.91
Effective Latency (CO-aware) (ms),76137.16,74728.92,77542.25,2436389.18,74729.93,74733.55,74735.05,74746.65,76141.86,77527.66,77536.77,77538.18,77541.21,1393.53
Effective Prefill Concurrency,0.51,0.00,16.00,,,,,,0.00,,0.00,2.00,15.00,2.42
Effective Prefill Throughput (tokens/sec),430.32,0.00,22537.11,,,,,,0.00,,0.00,1038.25,15666.64,2267.03
Effective Prefill Throughput Per User (tokens/sec/user),38.66,0.00,1980.21,,,,,,0.00,,0.00,519.12,1044.44,173.51
Effective Total Throughput (tokens/sec),645.26,0.00,22537.11,,,,,,226.54,,226.54,1228.41,15679.89,2234.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1022.47,1013.00,1024.00,32719.00,1013.62,1016.10,1017.40,1023.00,1023.50,1024.00,1024.00,1024.00,1024.00,2.78
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),11.06,0.00,28.40,353.77,0.00,0.00,0.00,0.00,11.90,19.11,25.19,27.29,28.09,10.15
HTTP Connection Overhead (ms),11.06,0.00,28.40,353.77,0.00,0.00,0.00,0.00,11.90,19.11,25.19,27.29,28.09,10.15
HTTP Connection Reused (ratio),0.41,0.00,1.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),255.31,254.44,256.27,8169.96,254.48,254.59,254.73,255.07,255.27,255.62,255.83,255.94,256.19,0.42
HTTP Data Sent (KB),8.88,8.46,9.43,284.02,8.49,8.56,8.59,8.69,8.84,9.02,9.21,9.26,9.39,0.24
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),76131.72,74718.47,77540.80,2436214.97,74719.76,74725.03,74727.43,74734.61,76137.69,77526.19,77532.81,77535.07,77539.35,1396.23
HTTP Receiving (ms),73689.58,70818.87,77226.91,2358066.50,70821.73,70828.10,70931.44,72501.09,73711.82,75037.73,76003.30,76436.05,77143.57,1796.22
HTTP Sending (ms),11.34,0.15,28.61,362.82,0.15,0.16,0.17,0.23,12.22,19.60,25.37,27.50,28.29,10.19
HTTP Total Time (ms),76142.77,74718.47,77553.78,2436568.74,74719.76,74725.03,74730.62,74744.00,76148.69,77542.89,77548.04,77550.32,77553.20,1399.14
HTTP Waiting (TTFB) (ms),2430.80,297.71,3927.66,77785.66,380.79,821.97,1033.78,1518.52,2470.78,3437.67,3880.79,3901.80,3927.60,1088.87
