Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),77.12,3.19,37212.08,,,,,,77.87,,87.09,94.54,125.04,84.77
Active Decode Throughput Per User (tokens/sec/user),38.58,3.19,18606.04,,,,,,38.93,,43.54,47.27,62.52,42.37
Active Prefill Throughput (tokens/sec),6407.33,3203.75,9109.60,,,,,,9109.60,,9109.60,9109.60,9109.60,2942.22
Active Prefill Throughput Per User (tokens/sec/user),3936.67,3203.75,5905.84,,,,,,4554.80,,4554.80,4554.80,4554.80,673.16
Active Total Throughput (tokens/sec),228.75,38.56,9109.60,,,,,,77.55,,77.55,77.55,9109.60,1067.89
Credit-to-Start Latency (ms),0.97,0.92,1.01,1.94,0.92,0.93,0.93,0.94,0.97,0.99,1.01,1.01,1.01,0.05
Decode Duration (ms),26382.53,26236.07,26528.99,52765.06,26239.00,26250.71,26265.36,26309.30,26382.53,26455.76,26499.70,26514.35,26526.06,146.46
E2E Output Token Throughput (tokens/sec/user),38.10,38.10,38.10,76.20,38.10,38.10,38.10,38.10,38.10,38.10,38.10,38.10,38.10,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.03
Effective Decode Concurrency,1.96,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.25
Effective Decode Throughput (tokens/sec),76.11,0.00,37212.08,,,,,,77.78,,87.02,94.11,125.04,84.67
Effective Decode Throughput Per User (tokens/sec/user),38.07,0.00,18606.04,,,,,,38.89,,43.51,47.06,62.52,42.32
Effective Latency (CO-aware) (ms),26877.23,26877.18,26877.29,53754.47,26877.18,26877.18,26877.19,26877.21,26877.23,26877.26,26877.28,26877.29,26877.29,0.06
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.25
Effective Prefill Throughput (tokens/sec),152.59,0.00,9109.60,,,,,,0.00,,0.00,0.00,9109.60,1077.31
Effective Prefill Throughput Per User (tokens/sec/user),93.75,0.00,5905.84,,,,,,0.00,,0.00,0.00,4554.80,609.17
Effective Total Throughput (tokens/sec),228.71,0.00,9109.60,,,,,,77.55,,77.55,77.55,9109.60,1067.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1015.00,1014.00,1016.00,2030.00,1014.02,1014.10,1014.20,1014.50,1015.00,1015.50,1015.80,1015.90,1015.98,1.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),21.61,21.61,21.62,43.23,21.61,21.61,21.61,21.61,21.61,21.62,21.62,21.62,21.62,0.00
HTTP Connection Overhead (ms),21.61,21.61,21.62,43.23,21.61,21.61,21.61,21.61,21.61,21.62,21.62,21.62,21.62,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),255.41,254.96,255.86,510.81,254.97,255.00,255.05,255.18,255.41,255.63,255.77,255.81,255.85,0.45
HTTP Data Sent (KB),8.25,8.02,8.47,16.49,8.03,8.04,8.07,8.13,8.25,8.36,8.42,8.45,8.46,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),26876.09,26876.09,26876.09,53752.18,26876.09,26876.09,26876.09,26876.09,26876.09,26876.09,26876.09,26876.09,26876.09,0.00
HTTP Receiving (ms),26382.56,26236.09,26529.03,52765.11,26239.02,26250.74,26265.38,26309.32,26382.56,26455.79,26499.73,26514.38,26526.10,146.47
HTTP Sending (ms),22.04,22.04,22.04,44.08,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,0.00
HTTP Total Time (ms),26897.70,26897.70,26897.71,53795.41,26897.70,26897.70,26897.70,26897.70,26897.70,26897.70,26897.71,26897.71,26897.71,0.00
HTTP Waiting (TTFB) (ms),471.49,325.03,617.96,942.99,327.96,339.67,354.32,398.26,471.49,544.73,588.67,603.31,615.03,146.47
Input Sequence Length (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Inter Chunk Latency (ms),25.79,0.00,315.63,52765.06,0.07,18.15,21.91,24.23,25.59,27.05,29.35,31.57,48.63,9.42
Inter Token Latency (ms),25.79,25.65,25.93,51.58,25.65,25.66,25.67,25.72,25.79,25.86,25.90,25.92,25.93,0.14
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),38.78,38.56,38.99,77.55,38.57,38.58,38.60,38.67,38.78,38.88,38.95,38.97,38.99,0.22
Prefill Throughput Per User (tokens/sec/user),4554.80,3203.75,5905.85,9109.60,3230.77,3338.86,3473.96,3879.28,4554.80,5230.32,5635.64,5770.74,5878.82,1351.05
Request Latency (ms),26876.27,26876.25,26876.28,53752.53,26876.26,26876.26,26876.26,26876.26,26876.27,26876.27,26876.27,26876.28,26876.28,0.01
Time to First Output Token (ms),493.73,347.28,640.19,987.47,350.21,361.93,376.57,420.51,493.73,566.96,610.90,625.54,637.26,146.45
Time to First Token (ms),493.73,347.28,640.19,987.47,350.21,361.93,376.57,420.51,493.73,566.96,610.90,625.54,637.26,146.45
Time to Second Token (ms),169.17,22.71,315.63,338.34,25.64,37.35,52.00,95.94,169.17,242.40,286.34,300.98,312.70,146.46
Tokens In Flight (tokens),5108.34,0.00,6149.00,,,,,,5114.00,,5942.00,6046.00,6128.00,607.92
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Usage Total Tokens (tokens),3075.00,3075.00,3075.00,6150.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,0.00

Metric,Value
Benchmark Duration (sec),26.88
Input Token Throughput (tokens/sec),152.59
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),76.19
Request Count,2.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),4102.00
Total Output Sequence Length (tokens),2048.00
Total Output Tokens (tokens),2048.00
Total Token Throughput (tokens/sec),228.78
Total Usage Completion Tokens (tokens),2048.00
Total Usage Prompt Tokens (tokens),4102.00
Total Usage Total Tokens (tokens),6150.00
