Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),396.02,0.06,46181.00,,,,,,426.58,,477.97,501.27,573.59,159.26
Active Decode Throughput Per User (tokens/sec/user),6.19,0.06,721.58,,,,,,6.67,,7.47,7.83,8.96,2.48
Active Prefill Throughput (tokens/sec),8417.39,131.47,33021.31,,,,,,6069.01,,19740.12,26364.36,27483.79,7383.58
Active Prefill Throughput Per User (tokens/sec/user),209.36,131.47,1937.60,,,,,,178.50,,329.00,418.48,515.96,89.27
Active Total Throughput (tokens/sec),1184.01,6.77,33021.31,,,,,,416.56,,416.56,5789.98,19764.99,3266.31
Credit-to-Start Latency (ms),27.57,1.12,95.65,3528.36,1.15,1.27,3.89,4.22,8.26,50.87,68.06,78.81,88.88,27.34
Decode Duration (ms),157644.96,150056.80,165961.76,20178554.99,150079.52,151039.11,151250.31,153924.23,157758.96,161607.52,163778.11,164547.52,165445.54,4464.88
E2E Output Token Throughput (tokens/sec/user),6.17,6.16,6.19,789.86,6.16,6.16,6.16,6.16,6.17,6.18,6.18,6.18,6.18,0.01
Effective Concurrency,63.98,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,1.02
Effective Decode Concurrency,60.78,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,11.49
Effective Decode Throughput (tokens/sec),394.41,0.00,46181.00,,,,,,426.49,,477.92,501.17,573.59,160.92
Effective Decode Throughput Per User (tokens/sec/user),6.17,0.00,721.58,,,,,,6.66,,7.47,7.83,8.96,2.50
Effective Latency (CO-aware) (ms),165971.97,165590.95,166350.23,21244412.58,165602.29,165617.97,165628.01,165643.14,165981.25,166299.58,166319.25,166327.38,166342.45,331.13
Effective Prefill Concurrency,3.20,0.00,64.00,,,,,,0.00,,0.00,32.00,60.00,11.45
Effective Prefill Throughput (tokens/sec),789.58,0.00,33021.31,,,,,,0.00,,0.00,5586.80,19740.12,3337.17
Effective Prefill Throughput Per User (tokens/sec/user),19.64,0.00,1937.60,,,,,,0.00,,0.00,174.59,329.00,66.88
Effective Total Throughput (tokens/sec),1183.99,0.00,33021.31,,,,,,416.56,,416.56,5789.98,19764.99,3266.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1024.00,1024.00,1024.00,131072.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,128.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),10.41,0.00,26.62,1332.02,0.00,0.00,0.00,0.00,6.09,21.13,22.01,23.74,24.60,10.53
HTTP Connection Overhead (ms),10.41,0.00,26.62,1332.02,0.00,0.00,0.00,0.00,6.09,21.13,22.01,23.74,24.60,10.53
HTTP Connection Reused (ratio),0.50,0.00,1.00,64.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),255.27,254.02,256.69,32674.09,254.29,254.56,254.77,255.01,255.27,255.50,255.76,255.98,256.15,0.42
HTTP Data Sent (KB),8.85,8.15,9.46,1132.45,8.16,8.47,8.57,8.69,8.84,8.99,9.20,9.27,9.43,0.26
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),165944.34,165557.88,166346.08,21240875.44,165562.74,165570.01,165579.51,165590.50,165955.34,166295.04,166314.18,166322.60,166334.37,354.00
HTTP Receiving (ms),157644.96,150056.79,165961.75,20178554.75,150079.52,151039.10,151250.31,153924.23,157758.95,161607.52,163778.13,164547.52,165445.55,4464.88
HTTP Sending (ms),10.55,0.06,27.01,1350.94,0.07,0.07,0.09,0.10,6.31,21.23,22.19,24.29,25.07,10.56
HTTP Total Time (ms),165954.75,165557.88,166368.73,21242207.46,165562.74,165570.01,165579.51,165590.50,165964.36,166318.11,166334.05,166342.74,166352.88,363.97
HTTP Waiting (TTFB) (ms),8288.83,307.34,15559.88,1060969.76,699.43,1513.36,2013.33,4400.82,8316.91,12182.51,14540.75,15064.75,15545.30,4454.40
Input Sequence Length (tokens),2048.00,2048.00,2048.00,262144.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Inter Chunk Latency (ms),154.10,0.67,15411.65,20178554.99,92.53,123.82,130.47,140.30,148.02,154.22,160.91,167.62,203.92,266.55
Inter Token Latency (ms),154.10,146.68,162.23,19724.88,146.71,147.64,147.85,150.46,154.21,157.97,160.10,160.85,161.73,4.36
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,131072.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,131072.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),6.49,6.16,6.82,831.29,6.18,6.22,6.25,6.33,6.48,6.65,6.76,6.77,6.82,0.18
Prefill Throughput Per User (tokens/sec/user),472.70,131.47,6656.95,60505.10,131.61,135.78,140.84,167.82,245.61,463.10,1017.13,1331.15,3151.55,728.60
Request Latency (ms),165944.41,165557.94,166346.35,21240884.23,165562.83,165570.05,165579.57,165590.54,165955.43,166295.10,166314.24,166322.66,166334.42,354.01
Time to First Output Token (ms),8299.45,307.65,15577.97,1062329.23,699.78,1538.52,2013.52,4422.38,8338.51,12203.44,14540.91,15083.25,15560.96,4454.63
Time to First Token (ms),8299.45,307.65,15577.97,1062329.23,699.78,1538.52,2013.52,4422.38,8338.51,12203.44,14540.91,15083.25,15560.96,4454.63
Time to Second Token (ms),7392.08,137.63,15411.65,946186.32,138.99,632.89,1109.02,3515.22,7381.16,11296.94,13675.82,14184.76,15012.75,4461.16
Tokens In Flight (tokens),161556.47,0.00,196545.00,,,,,,161792.00,,189824.00,193216.00,195904.00,20544.24
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,131072.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2048.00,2048.00,2048.00,262144.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Usage Total Tokens (tokens),3072.00,3072.00,3072.00,393216.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,0.00

Metric,Value
Benchmark Duration (sec),332.00
Input Token Throughput (tokens/sec),789.58
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),394.79
Request Count,128.00
Request Throughput (requests/sec),0.39
Total Input Sequence Length (tokens),262144.00
Total Output Sequence Length (tokens),131072.00
Total Output Tokens (tokens),131072.00
Total Token Throughput (tokens/sec),1184.37
Total Usage Completion Tokens (tokens),131072.00
Total Usage Prompt Tokens (tokens),262144.00
Total Usage Total Tokens (tokens),393216.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
