Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),53.37,0.00,14781.95,,,,,,52.76,,60.12,64.96,95.75,58.26
Active Decode Throughput Per User (tokens/sec/user),53.37,0.00,14781.95,,,,,,52.76,,60.12,64.96,95.75,58.26
Active Prefill Throughput (tokens/sec),3189.93,3036.80,3359.33,,,,,,3036.80,,3359.33,3359.33,3359.33,161.06
Active Prefill Throughput Per User (tokens/sec/user),3189.93,3036.80,3359.33,,,,,,3036.80,,3359.33,3359.33,3359.33,161.06
Active Total Throughput (tokens/sec),252.65,52.83,3359.33,,,,,,53.92,,53.92,3036.80,3359.33,766.15
Credit-to-Start Latency (ms),1.06,0.93,1.20,2.13,0.93,0.94,0.96,1.00,1.06,1.13,1.17,1.18,1.19,0.13
Decode Duration (ms),2379.63,2355.22,2404.04,4759.26,2355.71,2357.66,2360.10,2367.42,2379.63,2391.83,2399.16,2401.60,2403.55,24.41
E2E Output Token Throughput (tokens/sec/user),50.37,50.05,50.70,100.75,50.06,50.08,50.12,50.21,50.37,50.54,50.63,50.66,50.69,0.32
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.25
Effective Decode Throughput (tokens/sec),49.93,0.00,14781.95,,,,,,52.40,,59.36,64.21,93.82,57.85
Effective Decode Throughput Per User (tokens/sec/user),49.93,0.00,14781.95,,,,,,52.40,,59.36,64.21,93.82,57.85
Effective Latency (CO-aware) (ms),2542.14,2526.00,2558.27,5084.27,2526.32,2527.61,2529.23,2534.07,2542.14,2550.21,2555.05,2556.66,2557.95,16.14
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),202.45,0.00,3359.33,,,,,,0.00,,0.00,3036.80,3359.33,778.76
Effective Prefill Throughput Per User (tokens/sec/user),202.45,0.00,3359.33,,,,,,0.00,,0.00,3036.80,3359.33,778.76
Effective Total Throughput (tokens/sec),252.38,0.00,3359.33,,,,,,53.92,,53.92,3036.80,3359.33,765.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.50,127.00,128.00,255.00,127.01,127.05,127.10,127.25,127.50,127.75,127.90,127.95,127.99,0.50
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),3.66,0.00,7.33,7.33,0.07,0.37,0.73,1.83,3.66,5.49,6.59,6.96,7.25,3.66
HTTP Connection Overhead (ms),3.66,0.00,7.33,7.33,0.07,0.37,0.73,1.83,3.66,5.49,6.59,6.96,7.25,3.66
HTTP Connection Reused (ratio),0.50,0.00,1.00,1.00,0.01,0.05,0.10,0.25,0.50,0.75,0.90,0.95,0.99,0.50
HTTP Data Received (KB),32.13,32.12,32.14,64.26,32.12,32.12,32.12,32.13,32.13,32.14,32.14,32.14,32.14,0.01
HTTP Data Sent (KB),2.10,1.99,2.21,4.20,2.00,2.00,2.01,2.05,2.10,2.16,2.19,2.20,2.21,0.11
