Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),276.19,1.56,527.08,,,,,,284.30,,320.81,338.26,391.54,64.09
Active Decode Throughput Per User (tokens/sec/user),17.31,1.55,32.94,,,,,,17.77,,20.05,21.14,24.47,3.83
Active Prefill Throughput (tokens/sec),8133.84,505.65,12410.25,,,,,,8199.46,,12410.25,12410.25,12410.25,2573.31
Active Prefill Throughput Per User (tokens/sec/user),565.55,505.54,982.17,,,,,,512.47,,775.64,775.64,775.64,107.95
Active Total Throughput (tokens/sec),1267.43,17.90,12410.25,,,,,,286.50,,5164.11,8199.46,12410.25,2754.76
Credit-to-Start Latency (ms),1.71,0.60,3.44,54.62,0.60,0.61,0.67,1.07,1.40,2.22,3.25,3.28,3.39,0.91
Decode Duration (ms),7168.34,7020.40,7616.10,229386.95,7020.51,7020.78,7020.80,7022.86,7092.00,7094.94,7615.04,7615.64,7616.06,216.84
E2E Output Token Throughput (tokens/sec/user),15.88,15.81,15.94,508.05,15.81,15.81,15.82,15.82,15.88,15.93,15.94,15.94,15.94,0.06
Effective Concurrency,15.99,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,0.37
Effective Decode Concurrency,14.22,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.81
Effective Decode Throughput (tokens/sec),251.86,0.00,527.08,,,,,,280.62,,319.39,337.29,391.54,99.37
Effective Decode Throughput Per User (tokens/sec/user),15.78,0.00,32.94,,,,,,17.54,,19.96,21.08,24.47,6.12
Effective Latency (CO-aware) (ms),8063.96,8033.71,8098.77,258046.64,8033.72,8033.80,8033.94,8034.26,8062.96,8092.97,8093.49,8096.25,8098.63,29.17
Effective Prefill Concurrency,1.77,0.00,16.00,,,,,,0.00,,10.00,16.00,16.00,4.80
Effective Prefill Throughput (tokens/sec),1015.37,0.00,12410.25,,,,,,0.00,,5064.05,8199.46,12410.25,2838.04
Effective Prefill Throughput Per User (tokens/sec/user),70.60,0.00,982.17,,,,,,0.00,,506.40,512.47,775.64,190.78
Effective Total Throughput (tokens/sec),1267.23,0.00,12410.25,,,,,,286.50,,5164.11,8199.46,12410.25,2754.58
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),3.80,0.00,7.21,121.69,0.00,0.00,0.00,0.00,5.07,6.71,7.11,7.14,7.19,3.21
HTTP Connection Overhead (ms),3.80,0.00,7.21,121.69,0.00,0.00,0.00,0.00,5.07,6.71,7.11,7.14,7.19,3.21
HTTP Connection Reused (ratio),0.41,0.00,1.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),32.15,32.06,32.20,1028.81,32.07,32.08,32.09,32.14,32.16,32.18,32.19,32.20,32.20,0.04
HTTP Data Sent (KB),2.35,2.12,2.58,75.10,2.14,2.21,2.24,2.28,2.34,2.41,2.45,2.49,2.55,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),8062.13,8030.49,8097.69,257988.10,8030.51,8030.61,8030.66,8032.72,8061.81,8091.32,8092.80,8094.69,8097.43,29.55
HTTP Receiving (ms),7168.35,7020.42,7616.12,229387.09,7020.53,7020.80,7020.82,7022.86,7092.00,7094.94,7615.04,7615.65,7616.08,216.84
HTTP Sending (ms),4.09,0.16,7.72,130.79,0.16,0.16,0.17,0.21,5.32,7.19,7.33,7.59,7.68,3.29
HTTP Total Time (ms),8065.93,8030.49,8099.92,258109.79,8030.65,8033.51,8035.67,8039.28,8065.81,8091.93,8098.21,8099.07,8099.88,28.11
HTTP Waiting (TTFB) (ms),889.69,411.73,1005.18,28470.22,411.81,411.98,412.35,991.22,998.58,1003.94,1004.86,1004.99,1005.14,229.02
Input Sequence Length (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),56.44,30.29,643.46,229386.95,40.42,46.19,48.66,51.55,55.29,59.26,62.32,64.97,81.84,23.50
Inter Token Latency (ms),56.44,55.28,59.97,1806.20,55.28,55.28,55.28,55.30,55.84,55.87,59.96,59.97,59.97,1.71
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),17.73,16.68,18.09,567.43,16.68,16.68,16.68,17.90,17.91,18.08,18.09,18.09,18.09,0.51
Prefill Throughput Per User (tokens/sec/user),644.05,505.43,1232.56,20609.71,505.47,505.61,505.85,507.28,512.61,512.76,1220.49,1225.66,1232.26,278.80
Request Latency (ms),8062.25,8030.57,8097.81,257992.02,8030.60,8030.70,8030.76,8032.95,8061.95,8091.39,8092.86,8094.78,8097.54,29.50
Time to First Output Token (ms),893.91,415.40,1012.99,28605.06,415.50,417.74,419.50,998.52,998.81,1009.30,1012.16,1012.65,1012.92,228.59
Time to First Token (ms),893.91,415.40,1012.99,28605.06,415.50,417.74,419.50,998.52,998.81,1009.30,1012.16,1012.65,1012.92,228.59
Time to Second Token (ms),156.65,40.66,643.46,5012.68,40.66,40.70,40.72,40.75,44.67,50.49,643.08,643.31,643.42,233.74
Tokens In Flight (tokens),9105.72,0.00,10225.00,,,,,,9104.00,,10016.00,10128.00,10208.00,682.66
Usage Completion Tokens (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,20480.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),16.13
Input Token Throughput (tokens/sec),1015.37
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),253.84
Request Count,32.00
Request Throughput (requests/sec),1.98
Total Input Sequence Length (tokens),16384.00
Total Output Sequence Length (tokens),4096.00
Total Output Tokens (tokens),4096.00
Total Token Throughput (tokens/sec),1269.21
Total Usage Completion Tokens (tokens),4096.00
Total Usage Prompt Tokens (tokens),16384.00
Total Usage Total Tokens (tokens),20480.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
