Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),378.51,0.52,955.55,,,,,,422.26,,488.84,499.59,615.12,153.69
Active Decode Throughput Per User (tokens/sec/user),11.89,0.52,29.86,,,,,,13.20,,15.28,15.61,19.22,4.65
Active Prefill Throughput (tokens/sec),8139.43,250.99,15050.03,,,,,,10184.57,,13024.31,13024.31,15050.03,4417.75
Active Prefill Throughput Per User (tokens/sec/user),332.87,250.89,954.91,,,,,,339.49,,407.01,407.01,470.31,67.13
Active Total Throughput (tokens/sec),1806.47,13.40,15050.03,,,,,,421.86,,5027.36,13024.31,13024.31,3503.99
Credit-to-Start Latency (ms),2.71,0.70,5.95,173.23,0.73,1.06,1.15,1.51,2.51,3.77,4.25,4.90,5.95,1.37
Decode Duration (ms),9873.14,9049.72,11453.34,631881.23,9049.73,9051.49,9178.31,9548.95,10010.29,10387.00,10390.07,10390.52,11372.23,508.35
E2E Output Token Throughput (tokens/sec/user),11.32,11.01,11.63,724.60,11.02,11.02,11.02,11.02,11.32,11.63,11.63,11.63,11.63,0.30
Effective Concurrency,31.98,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,0.67
Effective Decode Concurrency,27.91,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,9.64
Effective Decode Throughput (tokens/sec),358.99,0.00,955.55,,,,,,419.83,,487.79,499.04,615.12,171.48
Effective Decode Throughput Per User (tokens/sec/user),11.28,0.00,29.86,,,,,,13.12,,15.24,15.60,19.22,5.24
Effective Latency (CO-aware) (ms),11316.40,11006.90,11622.58,724249.57,11008.17,11010.04,11010.80,11012.44,11316.48,11619.97,11621.34,11621.57,11622.09,303.46
Effective Prefill Concurrency,4.07,0.00,32.00,,,,,,0.00,,16.00,32.00,32.00,9.62
Effective Prefill Throughput (tokens/sec),1447.29,0.00,15050.03,,,,,,0.00,,4824.39,13024.31,13024.31,3627.08
Effective Prefill Throughput Per User (tokens/sec/user),59.19,0.00,954.91,,,,,,0.00,,301.52,407.01,407.01,130.38
Effective Total Throughput (tokens/sec),1806.28,0.00,15050.03,,,,,,421.86,,5027.36,13024.31,13024.31,3503.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),37.39,0.00,81.62,2392.88,0.00,0.00,0.00,0.00,0.00,78.84,80.78,81.39,81.59,39.37
HTTP Connection Overhead (ms),37.39,0.00,81.62,2392.88,0.00,0.00,0.00,0.00,0.00,78.84,80.78,81.39,81.59,39.37
HTTP Connection Reused (ratio),0.52,0.00,1.00,33.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),32.13,31.88,32.25,2056.55,31.90,32.07,32.08,32.11,32.14,32.16,32.18,32.20,32.24,0.06
HTTP Data Sent (KB),2.34,2.09,2.58,149.68,2.11,2.17,2.21,2.27,2.34,2.40,2.47,2.49,2.53,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),11313.60,11004.92,11620.43,724070.67,11006.34,11007.96,11009.10,11010.19,11314.19,11617.31,11618.04,11618.28,11620.08,303.09
HTTP Receiving (ms),9873.15,9049.72,11453.33,631881.43,9049.73,9051.48,9178.30,9548.97,10010.28,10387.02,10390.10,10390.52,11372.22,508.35
HTTP Sending (ms),37.59,0.06,82.09,2405.46,0.06,0.08,0.09,0.14,0.25,79.04,81.39,81.83,82.07,39.43
HTTP Total Time (ms),11350.99,11004.92,11701.99,726463.55,11006.34,11007.96,11009.10,11010.19,11330.16,11695.58,11698.71,11699.63,11701.34,340.27
HTTP Waiting (TTFB) (ms),1402.87,164.25,1962.64,89783.79,244.40,996.85,997.21,999.09,1149.04,1959.79,1961.73,1962.29,1962.64,452.61
Input Sequence Length (tokens),512.00,512.00,512.00,32768.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),77.74,32.97,1928.19,631881.23,37.95,62.20,64.61,68.49,73.83,77.97,82.18,86.98,116.49,63.81
Inter Token Latency (ms),77.74,71.26,90.18,4975.44,71.26,71.27,72.27,75.19,78.82,81.79,81.81,81.82,89.55,4.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,8192.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),12.90,11.09,14.03,825.39,11.17,12.22,12.22,12.23,12.69,13.30,13.84,14.03,14.03,0.65
Prefill Throughput Per User (tokens/sec/user),438.66,250.62,3110.77,28074.33,250.77,250.94,250.98,261.19,415.87,512.33,513.34,513.53,2256.43,390.91
Request Latency (ms),11313.69,11004.98,11620.66,724076.35,11006.39,11008.03,11009.15,11010.26,11314.26,11617.50,11618.17,11618.49,11620.33,303.12
Time to First Output Token (ms),1440.55,164.59,2042.90,92195.11,244.73,997.02,997.40,999.36,1231.16,1960.26,2040.02,2040.35,2041.70,463.63
