Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),205.34,0.00,88102.58,,,,,,185.04,,316.68,328.70,719.85,476.15
Active Decode Throughput Per User (tokens/sec/user),16.53,0.00,5506.41,,,,,,16.72,,21.33,22.54,44.99,29.88
Active Prefill Throughput (tokens/sec),3179.36,266.18,5301.03,,,,,,3356.27,,4325.56,4325.56,4325.56,1047.52
Active Prefill Throughput Per User (tokens/sec/user),1391.37,266.18,3356.27,,,,,,1491.11,,2494.29,3157.51,3356.27,965.92
Active Total Throughput (tokens/sec),949.90,16.61,5489.90,,,,,,254.96,,3756.38,4325.56,4335.37,1411.57
Credit-to-Start Latency (ms),1.36,0.66,3.35,43.52,0.66,0.67,0.68,0.81,1.07,1.26,3.12,3.16,3.30,0.88
Decode Duration (ms),7956.17,4529.38,12231.63,254597.34,4628.97,4927.55,5043.98,5641.11,8256.69,9549.57,11010.82,11640.88,12070.88,2263.38
E2E Output Token Throughput (tokens/sec/user),15.28,9.16,25.32,488.90,9.24,9.51,10.70,11.70,14.37,18.03,21.77,23.08,24.95,4.30
Effective Concurrency,13.43,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,4.41
Effective Decode Concurrency,11.83,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,5.59
Effective Decode Throughput (tokens/sec),188.76,0.00,88102.58,,,,,,176.16,,314.99,328.42,699.01,459.93
Effective Decode Throughput Per User (tokens/sec/user),15.20,0.00,5506.41,,,,,,16.20,,21.21,22.39,44.99,29.00
Effective Latency (CO-aware) (ms),9034.64,5056.99,13967.75,289108.59,5132.93,5556.82,5885.06,7101.01,8910.93,10938.88,11969.08,13459.08,13863.58,2426.33
Effective Prefill Concurrency,1.60,0.00,16.00,,,,,,0.00,,2.00,16.00,16.00,4.47
Effective Prefill Throughput (tokens/sec),761.00,0.00,5301.03,,,,,,0.00,,3735.03,4325.56,4325.56,1450.18
Effective Prefill Throughput Per User (tokens/sec/user),333.03,0.00,3356.27,,,,,,0.00,,1701.47,2384.98,3157.51,758.80
Effective Total Throughput (tokens/sec),949.76,0.00,5489.90,,,,,,254.96,,3756.38,4325.56,4335.37,1411.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,81.50,49.00,116.00,2608.00,49.31,51.10,52.10,56.25,83.50,103.25,109.90,112.35,115.38,22.78
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),5.08,0.00,9.76,162.71,0.00,0.00,0.00,0.00,5.44,9.57,9.68,9.69,9.74,4.04
HTTP Connection Overhead (ms),5.08,0.00,9.76,162.71,0.00,0.00,0.00,0.00,5.44,9.57,9.68,9.69,9.74,4.04
HTTP Connection Reused (ratio),0.34,0.00,1.00,11.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),20.81,12.88,29.22,665.85,12.94,13.27,13.70,14.56,21.27,26.09,27.95,28.47,29.08,5.61
HTTP Data Sent (KB),2.35,2.12,2.58,75.10,2.14,2.21,2.24,2.28,2.34,2.41,2.45,2.49,2.55,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),9033.16,5055.80,13966.76,289061.21,5131.83,5556.00,5884.14,7099.20,8910.12,10937.35,11967.62,13455.76,13861.83,2426.12
HTTP Receiving (ms),7956.17,4529.40,12231.64,254597.48,4628.98,4927.55,5043.98,5641.14,8256.69,9549.59,11010.81,11640.89,12070.90,2263.38
HTTP Sending (ms),5.36,0.14,10.26,171.48,0.15,0.15,0.16,0.21,5.67,10.05,10.15,10.16,10.23,4.13
HTTP Total Time (ms),9038.25,5055.80,13966.76,289223.92,5131.83,5556.00,5887.61,7108.49,8910.12,10947.08,11977.30,13459.26,13864.24,2426.90
HTTP Waiting (TTFB) (ms),1071.63,152.34,1913.20,34292.25,155.31,180.16,203.54,248.48,1039.55,1907.59,1912.17,1913.01,1913.14,818.15
Input Sequence Length (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),98.57,0.00,325.19,254597.34,0.23,12.80,36.56,77.72,92.08,110.48,152.53,201.07,300.31,51.96
Inter Token Latency (ms),62.65,35.66,96.31,2004.70,36.45,38.80,39.72,44.42,65.01,75.19,86.70,91.66,95.05,17.82
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),17.41,10.38,28.04,557.15,10.53,10.91,11.53,13.30,15.38,22.52,25.18,25.78,27.46,5.25
Prefill Throughput Per User (tokens/sec/user),1193.32,266.18,3356.27,38186.15,266.19,266.20,266.34,266.94,876.49,2043.65,2489.64,2823.12,3294.66,1005.64
Request Latency (ms),9033.28,5055.91,13966.85,289065.07,5131.93,5556.07,5884.22,7099.36,8910.21,10937.57,11967.87,13455.84,13861.92,2426.14
Time to First Output Token (ms),1077.12,152.55,1923.51,34467.74,155.53,183.42,205.66,250.55,1042.09,1918.00,1922.36,1923.34,1923.47,821.23
Time to First Token (ms),1077.12,152.55,1923.51,34467.74,155.53,183.42,205.66,250.55,1042.09,1918.00,1922.36,1923.34,1923.47,821.23
Time to Second Token (ms),111.12,0.06,280.22,3555.83,5.80,53.44,87.15,92.05,96.83,102.18,174.99,223.62,279.64,55.28
Tokens In Flight (tokens),7613.42,0.00,9547.16,,,,,,8741.80,,9340.06,9417.66,9509.87,2409.92
Usage Completion Tokens (tokens),128.00,128.00,128.00,4096.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),512.00,512.00,512.00,16384.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Usage Total Tokens (tokens),640.00,640.00,640.00,20480.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,640.00,0.00

Metric,Value
Benchmark Duration (sec),21.53
Input Token Throughput (tokens/sec),761.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),190.25
Request Count,32.00
Request Throughput (requests/sec),1.49
Total Input Sequence Length (tokens),16384.00
Total Output Sequence Length (tokens),4096.00
