Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),74.68,0.00,162.24,,,,,,84.48,,94.86,97.86,104.47,23.86
Active Decode Throughput Per User (tokens/sec/user),42.11,0.00,90.74,,,,,,43.78,,48.46,51.46,52.23,8.25
Active Prefill Throughput (tokens/sec),2149.32,1074.79,2716.28,,,,,,2716.28,,2716.28,2716.28,2716.28,780.48
Active Prefill Throughput Per User (tokens/sec/user),1260.33,1074.79,1641.49,,,,,,1358.14,,1358.14,1358.14,1358.14,134.79
Active Total Throughput (tokens/sec),345.65,39.25,2716.28,,,,,,86.11,,1121.65,2716.28,2716.28,751.68
Credit-to-Start Latency (ms),1.21,1.19,1.24,2.42,1.19,1.19,1.19,1.20,1.21,1.22,1.23,1.23,1.24,0.03
Decode Duration (ms),2973.00,2710.53,3235.47,5946.01,2715.78,2736.78,2763.03,2841.77,2973.00,3104.24,3182.98,3209.23,3230.23,262.47
E2E Output Token Throughput (tokens/sec/user),38.39,34.46,42.32,76.78,34.54,34.85,35.24,36.42,38.39,40.36,41.54,41.93,42.25,3.93
Effective Concurrency,1.81,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.39
Effective Decode Concurrency,1.60,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.64
Effective Decode Throughput (tokens/sec),68.32,0.00,162.24,,,,,,82.97,,94.31,97.86,104.47,30.91
Effective Decode Throughput Per User (tokens/sec/user),38.52,0.00,90.74,,,,,,43.07,,48.24,51.46,52.23,14.16
Effective Latency (CO-aware) (ms),3370.66,3025.51,3715.82,6741.33,3032.41,3060.02,3094.54,3198.09,3370.66,3543.24,3646.79,3681.31,3708.92,345.16
Effective Prefill Concurrency,0.21,0.00,2.00,,,,,,0.00,,1.00,2.00,2.00,0.58
Effective Prefill Throughput (tokens/sec),277.06,0.00,2716.28,,,,,,0.00,,1074.79,2716.28,2716.28,772.82
Effective Prefill Throughput Per User (tokens/sec/user),162.46,0.00,1641.49,,,,,,0.00,,1074.79,1358.14,1358.14,425.09
Effective Total Throughput (tokens/sec),345.38,0.00,2716.28,,,,,,86.11,,1121.65,2716.28,2716.28,751.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,63.50,55.00,72.00,127.00,55.17,55.85,56.70,59.25,63.50,67.75,70.30,71.15,71.83,8.50
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),8.88,8.87,8.88,17.75,8.87,8.87,8.87,8.87,8.88,8.88,8.88,8.88,8.88,0.01
HTTP Connection Overhead (ms),8.88,8.87,8.88,17.75,8.87,8.87,8.87,8.87,8.88,8.88,8.88,8.88,8.88,0.01
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),16.26,14.11,18.41,32.52,14.16,14.33,14.54,15.19,16.26,17.34,17.98,18.20,18.37,2.15
HTTP Data Sent (KB),2.10,1.99,2.21,4.20,2.00,2.00,2.01,2.05,2.10,2.16,2.19,2.20,2.21,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3369.23,3024.02,3714.45,6738.46,3030.92,3058.54,3093.06,3196.62,3369.23,3541.84,3645.40,3679.92,3707.54,345.21
HTTP Receiving (ms),2973.01,2710.53,3235.49,5946.01,2715.78,2736.78,2763.02,2841.77,2973.01,3104.25,3182.99,3209.24,3230.24,262.48
