Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),323.97,0.00,607.77,,,,,,360.78,,502.24,541.75,590.14,143.79
Active Decode Throughput Per User (tokens/sec/user),12.83,0.00,71.51,,,,,,13.00,,18.53,19.91,32.52,5.62
Active Prefill Throughput (tokens/sec),3573.63,241.69,8531.92,,,,,,2534.21,,8531.92,8531.92,8531.92,2513.71
Active Prefill Throughput Per User (tokens/sec/user),1340.33,241.69,2577.59,,,,,,1447.42,,2226.61,2276.78,2577.59,677.94
Active Total Throughput (tokens/sec),1560.99,13.94,8531.92,,,,,,375.05,,3964.62,7624.40,8531.92,2193.19
Credit-to-Start Latency (ms),2.42,0.51,8.15,154.61,0.55,0.60,0.64,0.74,1.10,4.10,5.43,5.93,8.04,2.07
Decode Duration (ms),10347.17,4574.60,16928.89,662218.76,4658.44,5456.16,6068.27,7662.81,10203.63,12668.71,15544.30,15934.81,16575.26,3284.41
E2E Output Token Throughput (tokens/sec/user),12.50,6.78,25.95,800.24,6.91,7.19,7.53,9.16,11.90,15.52,18.29,21.17,24.96,4.48
Effective Concurrency,28.07,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,7.70
Effective Decode Concurrency,25.27,0.00,32.00,,,,,,31.00,,32.00,32.00,32.00,10.17
Effective Decode Throughput (tokens/sec),310.21,0.00,607.77,,,,,,354.12,,496.32,537.82,590.14,155.13
Effective Decode Throughput Per User (tokens/sec/user),12.28,0.00,71.51,,,,,,12.74,,18.50,19.82,26.50,6.08
Effective Latency (CO-aware) (ms),11492.90,4932.26,18872.28,735545.59,5132.70,6047.86,6999.31,8250.31,10760.21,13982.37,17000.35,17807.92,18518.63,3740.50
Effective Prefill Concurrency,2.79,0.00,32.00,,,,,,0.00,,3.00,30.00,32.00,8.13
Effective Prefill Throughput (tokens/sec),1250.60,0.00,8531.92,,,,,,0.00,,3659.49,7608.36,8531.92,2261.95
Effective Prefill Throughput Per User (tokens/sec/user),469.05,0.00,2577.59,,,,,,0.00,,1729.63,2066.54,2279.75,754.66
Effective Total Throughput (tokens/sec),1560.81,0.00,8531.92,,,,,,375.05,,3964.62,7624.40,8531.92,2193.12
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,76.59,39.00,111.00,4902.00,40.89,45.30,48.30,57.50,78.00,95.00,102.10,106.55,110.37,20.32
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),7.82,0.00,26.83,500.75,0.00,0.00,0.00,0.00,0.00,15.74,17.00,18.25,21.59,8.25
HTTP Connection Overhead (ms),7.82,0.00,26.83,500.75,0.00,0.00,0.00,0.00,0.00,15.74,17.00,18.25,21.59,8.25
HTTP Connection Reused (ratio),0.52,0.00,1.00,33.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),19.54,10.25,28.03,1250.39,10.76,11.89,12.64,14.86,19.90,24.04,25.82,26.89,27.86,4.99
HTTP Data Sent (KB),2.34,2.09,2.58,149.68,2.11,2.17,2.21,2.27,2.34,2.40,2.47,2.49,2.53,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),11490.39,4931.57,18869.68,735385.05,5131.92,6047.08,6998.58,8249.64,10759.43,13978.00,16997.79,17802.75,18516.06,3739.57
