Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1090.63,0.18,9521.60,,,,,,1590.17,,1935.42,2072.00,2860.37,893.39
Active Decode Throughput Per User (tokens/sec/user),8.65,0.18,74.39,,,,,,12.42,,15.21,16.23,24.01,7.04
Active Prefill Throughput (tokens/sec),11301.92,89.28,33643.49,,,,,,9803.03,,28030.01,28627.58,30302.35,8899.82
Active Prefill Throughput Per User (tokens/sec/user),152.07,89.25,2272.34,,,,,,124.09,,220.71,225.41,630.76,184.24
Active Total Throughput (tokens/sec),5450.16,12.75,33643.49,,,,,,1417.94,,18856.80,28038.61,28636.19,7350.71
Credit-to-Start Latency (ms),7.59,0.56,22.25,1943.24,0.78,1.21,1.89,2.99,5.57,12.42,16.03,17.01,20.49,5.57
Decode Duration (ms),11708.97,9222.77,14771.15,2997495.15,9223.84,9233.58,9302.85,10584.46,11998.06,13406.44,14076.03,14115.24,14117.87,1597.84
E2E Output Token Throughput (tokens/sec/user),8.55,8.48,8.63,2188.68,8.51,8.51,8.51,8.53,8.56,8.57,8.57,8.58,8.58,0.02
Effective Concurrency,127.69,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,4.91
Effective Decode Concurrency,99.86,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,42.20
Effective Decode Throughput (tokens/sec),1083.11,0.00,9521.60,,,,,,1577.79,,1935.42,2064.67,2852.33,894.86
Effective Decode Throughput Per User (tokens/sec/user),8.59,0.00,74.39,,,,,,12.37,,15.14,16.22,24.01,7.05
Effective Latency (CO-aware) (ms),14979.28,14837.48,15086.80,3834696.24,14915.30,14918.63,14942.76,14945.22,14962.48,15002.73,15054.05,15056.89,15059.89,46.15
Effective Prefill Concurrency,27.83,0.00,128.00,,,,,,0.00,,111.00,127.00,127.00,42.05
Effective Prefill Throughput (tokens/sec),4366.57,0.00,33643.49,,,,,,0.00,,18704.25,28030.01,28627.58,7802.93
Effective Prefill Throughput Per User (tokens/sec/user),58.75,0.00,2272.34,,,,,,0.00,,168.51,220.71,236.74,136.37
Effective Total Throughput (tokens/sec),5449.69,0.00,33643.49,,,,,,1417.94,,18856.80,28038.61,28636.19,7350.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
