Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),115.07,10.65,20558.13,,,,,,118.94,,133.88,139.06,186.40,173.45
Active Decode Throughput Per User (tokens/sec/user),57.73,5.33,10279.07,,,,,,59.47,,66.94,69.53,93.20,86.61
Active Prefill Throughput (tokens/sec),5096.82,2550.03,6758.78,,,,,,6758.78,,6758.78,6758.78,6758.78,2056.69
Active Prefill Throughput Per User (tokens/sec/user),3052.73,2550.03,4208.75,,,,,,3379.39,,3379.39,3379.39,3379.39,406.30
Active Total Throughput (tokens/sec),551.12,59.69,6758.78,,,,,,117.22,,117.22,6758.78,6758.78,1529.44
Credit-to-Start Latency (ms),1.09,0.96,1.21,2.17,0.96,0.97,0.99,1.02,1.09,1.15,1.19,1.20,1.21,0.12
Decode Duration (ms),2167.55,2127.69,2207.41,4335.11,2128.49,2131.68,2135.67,2147.62,2167.55,2187.48,2199.44,2203.43,2206.62,39.86
E2E Output Token Throughput (tokens/sec/user),54.94,54.94,54.94,109.88,54.94,54.94,54.94,54.94,54.94,54.94,54.94,54.94,54.94,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.08
Effective Decode Concurrency,1.86,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.48
Effective Decode Throughput (tokens/sec),108.87,0.00,20558.13,,,,,,118.60,,133.24,138.46,186.40,170.70
Effective Decode Throughput Per User (tokens/sec/user),54.62,0.00,10279.07,,,,,,59.30,,66.62,69.23,93.20,85.25
Effective Latency (CO-aware) (ms),2330.80,2330.74,2330.86,4661.60,2330.74,2330.75,2330.75,2330.77,2330.80,2330.83,2330.85,2330.86,2330.86,0.06
Effective Prefill Concurrency,0.14,0.00,2.00,,,,,,0.00,,0.00,2.00,2.00,0.47
Effective Prefill Throughput (tokens/sec),441.48,0.00,6758.78,,,,,,0.00,,0.00,6758.78,6758.78,1556.15
Effective Prefill Throughput Per User (tokens/sec/user),264.42,0.00,4208.75,,,,,,0.00,,0.00,3379.39,3379.39,866.94
Effective Total Throughput (tokens/sec),550.35,0.00,6758.78,,,,,,117.22,,117.22,6758.78,6758.78,1528.50
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,127.00,126.00,128.00,254.00,126.02,126.10,126.20,126.50,127.00,127.50,127.80,127.90,127.98,1.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),8.32,8.22,8.43,16.65,8.22,8.23,8.24,8.27,8.32,8.38,8.41,8.42,8.43,0.11
HTTP Connection Overhead (ms),8.32,8.22,8.43,16.65,8.22,8.23,8.24,8.27,8.32,8.38,8.41,8.42,8.43,0.11
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.02,31.97,32.06,64.03,31.97,31.98,31.98,31.99,32.02,32.04,32.05,32.06,32.06,0.05
HTTP Data Sent (KB),2.10,1.99,2.21,4.20,1.99,2.00,2.01,2.05,2.10,2.15,2.19,2.20,2.21,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2329.49,2329.41,2329.57,4658.98,2329.41,2329.42,2329.42,2329.45,2329.49,2329.53,2329.56,2329.56,2329.57,0.08
HTTP Receiving (ms),2167.58,2127.73,2207.43,4335.16,2128.53,2131.72,2135.70,2147.66,2167.58,2187.51,2199.46,2203.45,2206.63,39.85
HTTP Sending (ms),8.75,8.69,8.80,17.50,8.69,8.70,8.70,8.72,8.75,8.78,8.79,8.80,8.80,0.06
HTTP Total Time (ms),2337.81,2337.63,2338.00,4675.63,2337.63,2337.64,2337.66,2337.72,2337.81,2337.91,2337.96,2337.98,2338.00,0.19
HTTP Waiting (TTFB) (ms),153.16,113.34,192.98,306.32,114.13,117.32,121.30,133.25,153.16,173.07,185.02,189.00,192.19,39.82
Input Sequence Length (tokens),515.00,515.00,515.00,1030.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Inter Chunk Latency (ms),17.07,0.00,95.39,4335.11,0.05,11.53,14.52,15.97,16.73,17.74,18.92,20.37,38.29,6.67
Inter Token Latency (ms),17.07,16.75,17.38,34.13,16.76,16.78,16.82,16.91,17.07,17.22,17.32,17.35,17.37,0.31
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),58.61,57.53,59.69,117.22,57.55,57.64,57.75,58.07,58.61,59.15,59.47,59.58,59.67,1.08
Prefill Throughput Per User (tokens/sec/user),3379.39,2550.03,4208.75,6758.78,2566.61,2632.96,2715.90,2964.71,3379.39,3794.07,4042.88,4125.81,4192.16,829.36
Request Latency (ms),2329.72,2329.65,2329.78,4659.43,2329.65,2329.66,2329.67,2329.68,2329.72,2329.75,2329.76,2329.77,2329.78,0.06
Time to First Output Token (ms),162.16,122.36,201.96,324.32,123.16,126.34,130.32,142.26,162.16,182.06,194.00,197.98,201.16,39.80
Time to First Token (ms),162.16,122.36,201.96,324.32,123.16,126.34,130.32,142.26,162.16,182.06,194.00,197.98,201.16,39.80
Time to Second Token (ms),55.52,15.65,95.39,111.04,16.45,19.64,23.62,35.58,55.52,75.45,87.41,91.40,94.59,39.87
Tokens In Flight (tokens),1145.37,0.00,1285.00,,,,,,1146.00,,1254.00,1272.00,1282.00,89.71
Usage Completion Tokens (tokens),128.00,128.00,128.00,256.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),515.00,515.00,515.00,1030.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,515.00,0.00
Usage Total Tokens (tokens),643.00,643.00,643.00,1286.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,643.00,0.00

Metric,Value
Benchmark Duration (sec),2.33
Input Token Throughput (tokens/sec),441.48
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),109.73
Request Count,2.00
Request Throughput (requests/sec),0.86
Total Input Sequence Length (tokens),1030.00
Total Output Sequence Length (tokens),256.00
Total Output Tokens (tokens),256.00
Total Token Throughput (tokens/sec),551.20
Total Usage Completion Tokens (tokens),256.00
Total Usage Prompt Tokens (tokens),1030.00
Total Usage Total Tokens (tokens),1286.00
