Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),835.95,0.00,5226.90,,,,,,954.59,,1127.29,1202.40,1526.06,389.38
Active Decode Throughput Per User (tokens/sec/user),6.54,0.00,40.84,,,,,,7.46,,8.81,9.39,11.92,3.03
Active Prefill Throughput (tokens/sec),10692.07,82.02,49703.83,,,,,,7752.16,,25474.92,30070.60,36945.29,9680.43
Active Prefill Throughput Per User (tokens/sec/user),139.13,82.02,1664.44,,,,,,114.93,,210.54,246.48,327.23,97.15
Active Total Throughput (tokens/sec),2500.05,7.46,49703.83,,,,,,912.02,,5528.01,13134.75,28564.32,5254.83
Credit-to-Start Latency (ms),48.48,0.84,183.24,12410.49,1.14,3.54,4.21,6.04,12.21,96.37,128.56,142.31,158.72,51.21
Decode Duration (ms),144436.07,132064.31,156995.14,36975633.15,132232.57,133833.41,134813.55,138492.07,144479.00,150426.77,153862.54,155322.20,156064.68,6929.57
E2E Output Token Throughput (tokens/sec/user),6.52,6.51,6.53,1668.08,6.51,6.51,6.51,6.51,6.52,6.52,6.52,6.52,6.53,0.01
Effective Concurrency,127.93,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,2.37
Effective Decode Concurrency,117.58,0.00,128.00,,,,,,128.00,,128.00,128.00,128.00,28.39
Effective Decode Throughput (tokens/sec),832.78,0.00,5226.90,,,,,,954.04,,1126.95,1201.84,1520.90,392.02
Effective Decode Throughput Per User (tokens/sec/user),6.51,0.00,40.84,,,,,,7.45,,8.80,9.39,11.88,3.05
Effective Latency (CO-aware) (ms),157202.11,156996.23,157419.39,40243740.13,157000.74,157031.12,157039.87,157084.63,157218.79,157310.28,157373.19,157385.91,157403.90,127.58
Effective Prefill Concurrency,10.35,0.00,128.00,,,,,,0.00,,49.00,90.00,122.00,28.28
Effective Prefill Throughput (tokens/sec),1667.20,0.00,49703.83,,,,,,0.00,,4983.46,12881.13,28538.09,5445.95
Effective Prefill Throughput Per User (tokens/sec/user),21.69,0.00,1664.44,,,,,,0.00,,104.02,139.63,230.15,63.40
Effective Total Throughput (tokens/sec),2499.98,0.00,49703.83,,,,,,912.02,,5528.01,13134.75,28564.32,5254.77
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1024.00,1024.00,1024.00,262144.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,256.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),9.63,0.00,95.23,2464.49,0.00,0.00,0.00,0.00,13.38,17.20,19.20,20.66,53.18,12.17
HTTP Connection Overhead (ms),9.63,0.00,95.23,2464.49,0.00,0.00,0.00,0.00,13.38,17.20,19.20,20.66,53.18,12.17
HTTP Connection Reused (ratio),0.49,0.00,1.00,126.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),254.18,251.35,256.74,65070.48,252.94,253.42,253.62,253.88,254.22,254.47,254.75,254.97,255.24,0.51
HTTP Data Sent (KB),8.87,8.15,9.55,2271.63,8.19,8.48,8.58,8.71,8.86,9.03,9.23,9.31,9.45,0.26
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),157153.56,156901.59,157408.16,40231312.36,156933.28,156951.17,156964.81,156990.66,157169.70,157303.70,157364.41,157376.95,157392.80,166.40
HTTP Receiving (ms),144436.06,132064.31,156995.13,36975632.19,132232.56,133833.41,134813.55,138492.07,144478.99,150426.76,153862.53,155322.22,156064.69,6929.57
HTTP Sending (ms),9.77,0.06,95.39,2499.92,0.06,0.07,0.07,0.10,13.49,17.30,19.34,20.91,53.39,12.18
HTTP Total Time (ms),157163.19,156901.59,157424.23,40233776.85,156933.28,156951.17,156964.81,156990.66,157209.50,157320.35,157380.81,157391.94,157410.06,174.13
HTTP Waiting (TTFB) (ms),12707.74,251.05,24874.58,3253180.24,1015.06,1911.33,3408.96,6548.96,12488.05,18452.78,22163.72,23509.94,24694.88,6929.50
Input Sequence Length (tokens),2048.00,2048.00,2049.00,524289.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.06
Inter Chunk Latency (ms),141.19,1.75,24134.55,36975633.15,66.56,93.40,107.05,118.30,127.90,138.75,155.99,172.12,209.68,425.95
Inter Token Latency (ms),141.19,129.10,153.47,36144.31,129.26,130.82,131.78,135.38,141.23,147.04,150.40,151.83,152.56,6.77
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,262144.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,262144.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),7.10,6.52,7.75,1817.37,6.55,6.59,6.65,6.80,7.08,7.39,7.59,7.64,7.74,0.34
Prefill Throughput Per User (tokens/sec/user),335.66,82.02,8145.97,85929.00,82.93,87.05,92.43,110.99,163.99,312.71,597.36,1058.82,1963.75,655.42
Request Latency (ms),157153.63,156901.63,157408.21,40231329.64,156933.31,156951.25,156964.85,156990.71,157169.80,157303.76,157364.46,157377.00,157392.85,166.40
Time to First Output Token (ms),12717.56,251.41,24970.01,3255696.49,1043.55,1934.22,3428.43,6549.10,12488.20,18452.88,22163.81,23527.22,24694.97,6929.13
Time to First Token (ms),12717.56,251.41,24970.01,3255696.49,1043.55,1934.22,3428.43,6549.10,12488.20,18452.88,22163.81,23527.22,24694.97,6929.13
Time to Second Token (ms),11837.33,121.03,24134.55,3030357.27,135.17,1163.77,2030.18,5852.77,11832.50,17792.63,21354.07,22401.10,24134.36,6933.43
Tokens In Flight (tokens),319578.97,0.00,393090.00,,,,,,319360.00,,379264.00,386433.00,391936.00,42912.56
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,262144.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2048.00,2048.00,2049.00,524289.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.06
Usage Total Tokens (tokens),3072.00,3072.00,3073.00,786433.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,3072.00,0.06

Metric,Value
Benchmark Duration (sec),314.46
Input Token Throughput (tokens/sec),1667.20
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),833.60
Request Count,256.00
Request Throughput (requests/sec),0.81
Total Input Sequence Length (tokens),524289.00
Total Output Sequence Length (tokens),262144.00
Total Output Tokens (tokens),262144.00
Total Token Throughput (tokens/sec),2500.79
Total Usage Completion Tokens (tokens),262144.00
Total Usage Prompt Tokens (tokens),524289.00
Total Usage Total Tokens (tokens),786433.00
