Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),111.65,4.53,36976.80,,,,,,112.48,,125.73,132.82,169.31,113.86
Active Decode Throughput Per User (tokens/sec/user),55.85,4.53,18488.40,,,,,,56.24,,62.87,66.41,84.66,56.91
Active Prefill Throughput (tokens/sec),8421.84,4212.44,11579.80,,,,,,11579.80,,11579.80,11579.80,11579.80,3645.31
Active Prefill Throughput Per User (tokens/sec/user),5114.63,4212.44,7367.36,,,,,,5789.90,,5789.90,5789.90,5789.90,781.68
Active Total Throughput (tokens/sec),330.47,56.47,11579.80,,,,,,112.29,,112.29,112.29,11579.80,1453.70
Credit-to-Start Latency (ms),1.07,1.04,1.10,2.14,1.04,1.04,1.05,1.05,1.07,1.08,1.09,1.09,1.10,0.03
Decode Duration (ms),18221.08,18116.74,18325.41,36442.16,18118.83,18127.17,18137.61,18168.91,18221.08,18273.25,18304.55,18314.98,18323.33,104.34
E2E Output Token Throughput (tokens/sec/user),55.04,55.04,55.04,110.09,55.04,55.04,55.04,55.04,55.04,55.04,55.04,55.04,55.04,0.00
Effective Concurrency,2.00,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.03
Effective Decode Concurrency,1.96,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.27
Effective Decode Throughput (tokens/sec),109.95,0.00,36976.80,,,,,,112.35,,125.71,132.81,169.31,113.82
Effective Decode Throughput Per User (tokens/sec/user),55.00,0.00,18488.40,,,,,,56.17,,62.85,66.40,84.66,56.88
Effective Latency (CO-aware) (ms),18604.79,18604.73,18604.84,37209.57,18604.73,18604.73,18604.74,18604.76,18604.79,18604.82,18604.83,18604.84,18604.84,0.06
Effective Prefill Concurrency,0.04,0.00,2.00,,,,,,0.00,,0.00,0.00,2.00,0.26
Effective Prefill Throughput (tokens/sec),220.43,0.00,11579.80,,,,,,0.00,,0.00,0.00,11579.80,1468.22
Effective Prefill Throughput Per User (tokens/sec/user),133.87,0.00,7367.36,,,,,,0.00,,0.00,0.00,5789.90,826.30
Effective Total Throughput (tokens/sec),330.38,0.00,11579.80,,,,,,112.29,,112.29,112.29,11579.80,1453.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1014.00,1014.00,1014.00,2028.00,1014.00,1014.00,1014.00,1014.00,1014.00,1014.00,1014.00,1014.00,1014.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),13.14,13.04,13.24,26.28,13.05,13.05,13.06,13.09,13.14,13.19,13.22,13.23,13.24,0.10
HTTP Connection Overhead (ms),13.14,13.04,13.24,26.28,13.05,13.05,13.06,13.09,13.14,13.19,13.22,13.23,13.24,0.10
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),254.29,254.24,254.34,508.58,254.24,254.24,254.25,254.26,254.29,254.32,254.33,254.34,254.34,0.05
HTTP Data Sent (KB),8.24,8.02,8.47,16.49,8.03,8.04,8.07,8.13,8.24,8.36,8.42,8.44,8.46,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),18603.49,18603.39,18603.59,37206.99,18603.40,18603.40,18603.41,18603.44,18603.49,18603.54,18603.57,18603.58,18603.59,0.10
HTTP Receiving (ms),18221.09,18116.75,18325.43,36442.18,18118.84,18127.19,18137.62,18168.92,18221.09,18273.26,18304.56,18314.99,18323.34,104.34
HTTP Sending (ms),13.61,13.53,13.70,27.23,13.53,13.54,13.54,13.57,13.61,13.66,13.68,13.69,13.70,0.09
HTTP Total Time (ms),18616.64,18616.44,18616.83,37233.27,18616.44,18616.46,18616.48,18616.54,18616.64,18616.73,18616.79,18616.81,18616.83,0.20
HTTP Waiting (TTFB) (ms),368.79,264.47,473.11,737.58,266.55,274.90,285.33,316.63,368.79,420.95,452.25,462.68,471.03,104.32
Input Sequence Length (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Inter Chunk Latency (ms),17.81,0.00,222.76,36442.16,0.05,13.41,15.52,16.73,17.73,18.66,19.79,21.20,39.40,6.45
Inter Token Latency (ms),17.81,17.71,17.91,35.62,17.71,17.72,17.73,17.76,17.81,17.86,17.89,17.90,17.91,0.10
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),56.15,55.82,56.47,112.29,55.83,55.86,55.89,55.98,56.15,56.31,56.40,56.43,56.46,0.32
Prefill Throughput Per User (tokens/sec/user),5789.90,4212.44,7367.36,11579.80,4243.99,4370.19,4527.93,5001.17,5789.90,6578.63,7051.86,7209.61,7335.81,1577.46
Request Latency (ms),18603.72,18603.63,18603.81,37207.44,18603.63,18603.64,18603.65,18603.68,18603.72,18603.76,18603.79,18603.80,18603.80,0.09
Time to First Output Token (ms),382.64,278.39,486.89,765.28,280.48,288.82,299.24,330.52,382.64,434.77,466.04,476.47,484.81,104.25
Time to First Token (ms),382.64,278.39,486.89,765.28,280.48,288.82,299.24,330.52,382.64,434.77,466.04,476.47,484.81,104.25
Time to Second Token (ms),118.42,14.08,222.76,236.83,16.16,24.51,34.95,66.25,118.42,170.59,201.89,212.32,220.67,104.34
Tokens In Flight (tokens),5105.37,0.00,6149.00,,,,,,5109.00,,5944.00,6046.00,6128.00,610.78
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,2048.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),2051.00,2051.00,2051.00,4102.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,2051.00,0.00
Usage Total Tokens (tokens),3075.00,3075.00,3075.00,6150.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,3075.00,0.00

Metric,Value
Benchmark Duration (sec),18.60
Input Token Throughput (tokens/sec),220.43
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),110.06
Request Count,2.00
Request Throughput (requests/sec),0.11
