Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),680.66,0.08,142517.98,,,,,,758.27,,842.60,875.08,1020.50,356.01
Active Decode Throughput Per User (tokens/sec/user),10.64,0.08,2226.84,,,,,,11.85,,13.17,13.67,15.95,5.55
Active Prefill Throughput (tokens/sec),10945.31,171.39,43058.65,,,,,,7907.85,,25924.58,29479.72,36022.08,9582.07
Active Prefill Throughput Per User (tokens/sec/user),275.87,171.39,2392.95,,,,,,232.58,,432.08,543.64,672.79,134.01
Active Total Throughput (tokens/sec),2032.83,11.72,43058.65,,,,,,729.17,,3176.42,10481.69,29501.05,4796.38
Credit-to-Start Latency (ms),20.19,0.88,82.45,2583.74,1.08,1.34,3.36,3.94,6.99,31.89,59.49,67.04,79.67,22.23
Decode Duration (ms),90285.06,84360.78,96235.21,11556487.23,84474.69,85068.40,85476.58,87309.42,90282.46,93265.89,95067.15,95517.47,96223.94,3441.81
E2E Output Token Throughput (tokens/sec/user),10.60,10.55,10.64,1356.18,10.55,10.55,10.56,10.56,10.60,10.63,10.64,10.64,10.64,0.04
Effective Concurrency,63.97,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,1.04
Effective Decode Concurrency,59.76,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,13.00
Effective Decode Throughput (tokens/sec),677.14,0.00,142517.98,,,,,,757.95,,842.59,874.73,1015.82,358.42
Effective Decode Throughput Per User (tokens/sec/user),10.59,0.00,2226.84,,,,,,11.84,,13.17,13.67,15.87,5.59
Effective Latency (CO-aware) (ms),96669.06,96265.20,97079.59,12373639.48,96271.05,96272.83,96283.19,96307.82,96666.67,97029.93,97053.31,97062.20,97071.60,365.46
Effective Prefill Concurrency,4.21,0.00,64.00,,,,,,0.00,,14.00,40.00,60.00,12.95
Effective Prefill Throughput (tokens/sec),1355.61,0.00,43058.65,,,,,,0.00,,2615.14,10221.49,29479.72,4936.76
Effective Prefill Throughput Per User (tokens/sec/user),34.17,0.00,2392.95,,,,,,0.00,,186.80,255.54,475.48,102.38
Effective Total Throughput (tokens/sec),2032.75,0.00,43058.65,,,,,,729.17,,3176.42,10481.69,29501.05,4796.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
